#Study : TianlinLiuValidation
#Date : 20180411 09:25:16
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:32:46.357 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246423	66			0	67	1	531	102	117	117	2.928615	0	-2.359208	0	-3.523272	0	-1.700265	0	-1.744393	0	-0.7683232	0	-3.265808	0	-2.026904	0	-1.496525	0	-2.780129	0	2.928615	0	-0.7683232	0	-0.6001269	-0.6534047	-0.5180752	-0.4994821	0.3898983	-0.1540832	-1.356802	-0.6275613	0.9113889	0.3148789	-1.621208	-1.029761	-4.206295	0.3720982	-0.05853243	-0.6228625	-0.6068214	-0.8635455	-0.1233444	-0.03451503						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246457	100			1	100	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246490	133			2	133	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246523	166			3	167	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246557	200			4	200	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246590	233			5	234	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246623	266			6	267	0																																																						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246657	300			7	300	1	530	107	113	113	1.678836	0	-1.173581	0	-3.725964	0	-1.891187	0	0.2586591	0	-1.022402	0	-1.579322	0	-0.3902968	0	0.2774843	0	-1.016776	0	1.678836	0	0.2586591	0	-0.8800255	-0.8454112	-0.6450616	-0.5948489	0.1011108	-0.3510425	-1.965624	-1.350887	0.5088252	0.852525	-1.803614	-0.4920684	-2.248806	-0.4460934	0.1262758	0.2209213	-2.509801	-1.689535	0.198055	-0.2056706						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246690	333			8	334	1	530	107	113	113	1.797446	0	-0.993718	0	-3.823718	0	-1.999817	0	0.0552012	0	-0.7629597	0	-1.518755	0	-0.2088935	0	0.4367302	0	-1.008761	0	1.797446	0	0.0552012	0	-0.8691112	-0.8735749	-0.6071875	-0.7669692	0.2048744	-0.2407507	-1.745355	-1.266479	0.54559	0.8826777	-1.798379	-0.4498739	-2.251221	-0.4698397	0.152932	0.2719562	-2.569295	-1.778612	0.2458814	0.002093256						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246724	367			9	367	1	531	108	111	111	1.944092	0	-1.15191	0	-3.674948	0	-1.744081	0	-0.03838698	0	-0.8427472	0	-1.538821	0	-0.2877232	0	0.3390056	0	-1.144359	0	1.944092	0	-0.03838698	0	-0.9032331	-0.8035243	-0.6328842	-0.8119535	0.1593641	-0.3361023	-1.862741	-1.233244	0.7163721	0.9501565	-1.797334	-0.4959726	-2.331033	-0.3734395	0.2574009	0.1664063	-2.243366	-1.389799	0.404563	0.5150739						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246757	400			10	400	1	531	109	110	110	1.977367	0	-1.050536	0	-3.613422	0	-1.91203	0	-0.09989925	0	-0.8022858	0	-1.519033	0	-0.173313	0	0.4276765	0	-1.036347	0	1.977367	0	-0.09989925	0	-0.9066054	-0.8206614	-0.6326368	-0.8682445	0.05034932	-0.2963578	-1.818811	-1.19955	0.5995455	0.9750167	-1.758524	-0.4448666	-2.271905	-0.2984673	0.2180122	0.2364009	-2.339706	-1.546354	0.3620211	0.4777959						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246790	433			11	434	1	532	108	107	107	0.9768826	0	-0.8496468	0	-3.439395	0	-1.79198	0	0.8465935	0	-0.9230936	0	-1.202276	0	0.02042892	0	0.5454983	0	-0.813666	0	0.9768826	0	0.8465935	0	-0.9711418	-0.8632382	-0.5347106	-0.6946182	-0.02796983	-0.330232	-1.603853	-1.460603	0.3658956	0.8923166	-1.406713	-0.188041	-1.689762	-0.176151	0.3279936	0.2489785	-2.492651	-1.416733	0.7149652	0.5054719						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246824	467			12	467	1	530	108	110	110	1.596737	0	-0.8835106	0	-3.770186	0	-2.088558	0	0.2828146	0	-0.902968	0	-1.41264	0	-0.07666192	0	0.6349006	0	-0.9703984	0	1.596737	0	0.2828146	0	-0.922748	-0.8643331	-0.5991912	-0.7549585	0.1428282	-0.1270424	-1.74556	-1.454742	0.4586689	0.916263	-1.514527	-0.350976	-2.1876	-0.3126468	0.2550257	0.2721361	-2.513774	-1.563218	0.5054001	0.00209009						
TianlinLiuValidation	20180411	d81007915_2___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_233246857	500			13	500	0																																																						
