#Study : TianlinLiu
#Date : 20180411 09:08:25
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:30:57.907 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143057973	66			0	67	1	245	42	155	155	-1.472063	0	-0.6115158	0	-2.61938	0	-0.9610592	0	-1.636364	0	1.085175	0	-1.46842	0	-1.601378	0	-1.954405	0	-1.43688	0	-1.472063	0	1.085175	0	-0.9670156	-0.8499607	0.09000161	-1.181269	0.4614923	0.3458119	0.8418891	1.297888	-0.3735816	-1.099758	0.04039064	-0.4438391	-1.8053	0.05528224	-0.6986282	-1.310291	-0.03247816	-0.6311605	-3.087706	0.5242254						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058007	100			1	100	1	245	41	155	155	-1.454602	0	-0.6127492	0	-2.654278	0	-1.000535	0	-1.611606	0	1.074855	0	-1.431911	0	-1.558318	0	-1.911261	0	-1.391443	0	-1.454602	0	1.074855	0	-0.9614742	-0.8484564	0.09692033	-1.213165	0.4622218	0.3421881	0.8321289	1.280387	-0.3519495	-1.096548	0.05169935	-0.4367964	-1.736363	0.03593506	-0.7017468	-1.300821	-0.04244132	-0.6181032	-3.05521	0.5714963						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058040	133			2	133	1	244	42	156	156	-1.836835	0	-0.5521024	0	-2.998273	0	-1.165239	0	-1.472278	0	0.9285781	0	-1.451333	0	-1.287256	0	-1.600947	0	-1.163769	0	-1.836835	0	0.9285781	0	-0.9966194	-0.9556767	0.4005961	-1.170608	0.5647978	0.4672023	1.119179	1.426052	-0.3501001	-0.9849181	0.2595758	-0.1450874	-1.391668	0.1552828	-0.5780144	-1.02866	-0.341329	-0.898829	-2.595708	0.2134849						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058073	166			3	167	1	243	39	156	156	-1.225429	0	-0.631451	0	-2.651456	0	-0.9386743	0	-1.253925	0	0.8873438	0	-1.242073	0	-1.142861	0	-1.419963	0	-0.831755	0	-1.225429	0	0.8873438	0	-0.9597809	-0.8732082	0.0190875	-1.196192	0.4335181	0.2932825	0.7947819	1.275034	-0.185192	-0.8387134	0.07928051	-0.4021819	-1.523483	0.0901342	-0.6786172	-1.094122	-0.2420458	-0.7570875	-2.442643	0.4458246						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058107	200			4	200	1	243	39	156	156	-1.25677	0	-0.6168108	0	-2.694962	0	-0.9438045	0	-1.236114	0	0.868423	0	-1.258544	0	-1.12896	0	-1.387587	0	-0.8227568	0	-1.25677	0	0.868423	0	-0.9852195	-0.8870484	0.0396904	-1.155298	0.4419767	0.3073385	0.8155094	1.275842	-0.1927723	-0.8253025	0.1065538	-0.3647617	-1.49139	0.1106889	-0.6633477	-1.071123	-0.2518237	-0.7709372	-2.429683	0.3787405						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058140	233			5	234	1	241	38	157	157	-0.9285434	0	-0.5201312	0	-2.638483	0	-0.732155	0	-0.6030431	0	0.7387975	0	-1.014934	0	-0.4816957	0	-0.4988706	0	-0.2623886	0	-0.9285434	0	0.7387975	0	-0.8514062	-0.9677548	0.03896723	-0.9127976	0.4328735	0.3252998	0.8594284	1.437651	0.003683004	-0.4341582	0.2214107	-0.2804326	-1.192213	0.2435168	-0.2050262	-0.7076086	-0.4758038	-1.02474	-1.621176	0.03837619						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058173	266			6	267	1	241	38	157	157	-0.909751	0	-0.5220737	0	-2.654654	0	-0.7373816	0	-0.5936214	0	0.7404848	0	-1.008817	0	-0.4498275	0	-0.4717736	0	-0.247014	0	-0.909751	0	0.7404848	0	-0.8340824	-0.9590989	0.04349055	-0.9386766	0.4300326	0.3262332	0.8618882	1.425102	0.02193635	-0.4116046	0.2451258	-0.2606614	-1.137571	0.211699	-0.1530437	-0.673063	-0.5005713	-1.038622	-1.58427	0.04485645						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058207	300			7	300	1	242	39	157	157	-1.874516	0	-0.4585851	0	-3.442978	0	-1.382318	0	-0.8185646	0	0.623434	0	-0.8419117	0	0.1923974	0	-0.6275818	0	-0.2159196	0	-1.874516	0	0.623434	0	-0.6956413	-0.8615144	0.4448012	-1.347056	0.3359787	0.3892035	1.085823	1.162517	-0.1943597	-0.4503005	-0.1256451	-0.2786598	0.004691375	0.03049326	-0.206755	-0.2885632	-1.047896	-1.360421	-2.293598	0.364942						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058240	333			8	334	1	241	38	157	157	-1.328313	0	-0.643809	0	-3.268954	0	-1.514097	0	-0.6475134	0	0.7975892	0	-0.8715604	0	0.2611259	0	-0.5619901	0	-0.05978382	0	-1.328313	0	0.7975892	0	-0.6939087	-0.8354666	0.1810648	-1.470994	0.271359	0.3798172	1.125743	1.104487	-0.07098782	-0.3735013	-0.110556	-0.3814838	-0.3626985	-0.2347851	-0.2540974	-0.3354885	-1.154229	-1.475092	-2.223163	0.6818606						
TianlinLiu	20180411	16f978d4a_2__utterance_40	0	MALE	recording	TestImage	Emotient FACET	20180320_143058274	367			9	367	1	242	39	157	157	-1.430237	0	-0.4142991	0	-2.955001	0	-1.245269	0	-0.5597947	0	0.5027227	0	-0.4308999	0	0.1881088	0	-0.4644525	0	0.1113748	0	-1.430237	0	0.5027227	0	-0.3831673	-0.5640126	0.2192288	-1.301895	0.2318531	0.2269307	0.5437672	0.9952322	0.04916885	-0.4033491	-0.1071181	-0.4002399	0.3176135	-0.06801227	-0.176746	-0.2243753	-0.8244507	-1.246089	-2.147842	0.4553389						
