#Study : TianlinLiuValidation
#Date : 20180411 09:25:15
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:32:58.008 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258074	66			0	67	1	307	190	402	402	0.09077802	0	-1.673483	0	-0.4376509	0	-1.17504	0	-1.092415	0	-0.202124	0	-1.355495	0	-1.685876	0	-1.871545	0	0.2473172	0	0.09077802	0	-0.202124	0	-0.8056909	-0.5717607	-1.442049	-1.208178	-1.720139	-1.17487	-2.929943	-0.4147494	-0.3840977	-0.09702227	-0.8772396	-0.2475967	-0.1705661	-0.7257257	0.0580054	-0.5486729	-0.190901	0.08648951	0.587621	-0.6137916						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258108	100			1	100	1	306	189	404	404	0.123683	0	-1.688625	0	-0.4921481	0	-1.182495	0	-1.189962	0	-0.1700147	0	-1.397315	0	-1.764955	0	-1.914378	0	0.1952431	0	0.123683	0	-0.1700147	0	-0.8013493	-0.5557188	-1.454402	-1.20051	-1.728674	-1.264261	-2.938697	-0.3555389	-0.3660715	-0.0644772	-0.8499029	-0.2423066	-0.2309051	-0.6744599	0.167326	-0.5021053	-0.174718	0.07519089	0.6391027	-0.5812988						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258141	133			2	133	1	308	189	402	402	0.1628012	0	-1.729899	0	-0.3654901	0	-1.039871	0	-1.224773	0	-0.2085088	0	-1.376789	0	-1.810628	0	-2.007519	0	0.1876558	0	0.1628012	0	-0.2085088	0	-0.7968401	-0.5617381	-1.389609	-1.189039	-1.67771	-1.170743	-2.920052	-0.3987635	-0.3457421	-0.1235634	-0.797525	-0.2990713	-0.294931	-0.6963968	0.06783459	-0.5709603	-0.04625618	0.1882183	0.575044	-0.5573289						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258174	166			3	167	1	309	190	401	401	0.1399743	0	-1.763246	0	-0.3386865	0	-1.083203	0	-1.189422	0	-0.2753829	0	-1.377022	0	-1.827739	0	-2.043686	0	0.2308721	0	0.1399743	0	-0.2753829	0	-0.8161728	-0.5827836	-1.407693	-1.207726	-1.726964	-1.186742	-2.952182	-0.4114363	-0.3854173	-0.1276729	-0.8207321	-0.3028814	-0.2540328	-0.6999183	0.008409	-0.5903702	-0.04430005	0.1979811	0.5370541	-0.5810492						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258207	199			4	200	1	309	188	402	402	0.1742531	0	-1.74797	0	-0.1568049	0	-0.9075388	0	-1.35039	0	-0.1037172	0	-1.559237	0	-1.980462	0	-2.135716	0	0.07958969	0	0.1742531	0	-0.1037172	0	-0.6830283	-0.4197296	-1.411817	-1.087157	-1.602828	-1.072128	-2.937658	-0.3270715	-0.3380803	-0.1559252	-0.7558455	-0.3256612	-0.2563392	-0.6801881	0.05327238	-0.637973	0.1365829	0.3120426	0.5532927	-0.6179249						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258241	233			5	233	1	309	187	406	406	0.2693417	0	-2.063399	0	-0.126682	0	-0.7818922	0	-1.611627	0	-0.1429573	0	-1.873417	0	-2.620273	0	-2.640596	0	-0.1519846	0	0.2693417	0	-0.1429573	0	-0.6551089	-0.3776073	-1.428707	-1.018912	-1.523699	-1.203485	-2.847002	-0.1938517	-0.206597	-0.1408103	-0.6093206	-0.3323878	-0.7773225	-0.7109537	0.1260366	-0.6432719	0.1037644	0.2360593	0.5485622	-0.6186098						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258274	266			6	267	1	311	186	403	403	0.4176168	0	-2.298836	0	-0.1804408	0	-0.8039945	0	-1.696399	0	-0.1466224	0	-1.939953	0	-2.860511	0	-2.90785	0	-0.4035557	0	0.4176168	0	-0.1466224	0	-0.6419664	-0.3719473	-1.428611	-1.114557	-1.461858	-1.118864	-2.86034	-0.1690188	-0.0776659	-0.1369708	-0.6340179	-0.3038645	-0.8800234	-0.7575782	0.04297326	-0.743456	0.1510084	0.1847105	0.5225708	-0.7212006						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258307	299			7	300	1	313	185	400	400	0.209516	0	-2.166929	0	0.3391931	0	-0.5464915	0	-1.281581	0	-0.295219	0	-1.571637	0	-2.425142	0	-2.682324	0	0.2065548	0	0.209516	0	-0.295219	0	-0.2369395	0.08870614	-1.412344	-0.8491557	-1.461515	-0.9833438	-2.957463	-0.2912129	-0.2487216	-0.3626068	-0.7309889	-0.4859235	-0.4325716	-0.8945774	-0.2636626	-0.6569238	0.3071065	0.2449998	-0.08892762	-0.8936886						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258341	333			8	333	1	312	184	403	403	0.2275854	0	-2.034009	0	0.2037324	0	-0.5386137	0	-1.182296	0	-0.1894983	0	-1.44346	0	-2.383847	0	-2.454313	0	0.1834126	0	0.2275854	0	-0.1894983	0	-0.2993813	-0.01905145	-1.422566	-0.8748131	-1.369728	-1.016791	-2.968521	-0.3477064	-0.2022182	-0.2697734	-0.653574	-0.3376953	-0.3941233	-0.9464685	-0.08150781	-0.5592436	0.1790041	0.275832	0.229917	-0.7563561						
TianlinLiuValidation	20180411	dce7e5d5f_11___utterance_156	0	MALE	a	TestImage	Emotient FACET	20180325_233258374	366			9	367	1	316	184	397	397	0.3874585	0	-2.258881	0	0.3603127	0	-0.5565982	0	-1.421024	0	-0.2316393	0	-1.909586	0	-2.618987	0	-2.851563	0	0.04096498	0	0.3874585	0	-0.2316393	0	-0.2588684	0.1272063	-1.441388	-0.701058	-1.356959	-0.8745129	-2.833133	-0.3312867	-0.1544062	-0.3418234	-0.831945	-0.5200288	-0.7616905	-0.9880628	-0.280305	-0.7567653	0.2283128	0.07282761	-0.2145083	-0.8361183						
