#Study : TianlinLiuValidation
#Date : 20180411 09:25:14
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:33:01.392 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301458	66			0	67	1	478	160	123	123	0.7191226	0	-4.412738	0	-0.2736176	0	0.2227245	0	-0.5642319	0	-2.290886	0	-3.933829	0	-3.652924	0	-3.127336	0	-0.02286382	0	0.7191226	0	0.2227245	0	-0.01556901	0.3278154	-1.683377	-0.1407569	-1.368436	-1.527708	-4.784403	-0.7123445	0.3354101	-0.05665211	-2.580634	-1.921166	-2.594085	-0.1836453	-0.680832	-1.009719	-0.5304289	-0.4018269	-1.163284	-0.7542862						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301491	99			1	100	1	478	160	124	124	1.042532	0	-4.661863	0	-0.9064255	0	-0.02178745	0	0.07773317	0	-2.323889	0	-4.276474	0	-4.210785	0	-3.34509	0	-0.6574907	0	1.042532	0	0.07773317	0	-0.177543	0.2083381	-1.809761	-0.1556722	-1.265588	-1.546857	-4.539026	-0.5727793	0.5206379	0.2490008	-2.507122	-1.721545	-2.632716	-0.03947969	-0.6414685	-0.8720849	-0.6046667	-0.4310278	-1.018505	-1.105554						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301525	133			2	133	1	479	161	123	123	0.9957515	0	-5.270907	0	-1.293023	0	0.04325712	0	0.06533076	0	-2.727264	0	-4.674195	0	-4.944017	0	-3.985472	0	-1.768095	0	0.9957515	0	0.06533076	0	-0.008318661	0.3270007	-1.770376	-0.07113216	-1.055319	-1.5027	-4.493777	-0.5426978	0.6962519	0.3818023	-2.530224	-1.701155	-3.219534	-0.08242758	-0.6519222	-0.881193	-0.4797404	-0.2327469	-1.077774	-1.174447						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301558	166			3	167	1	479	161	123	123	1.078648	0	-4.85653	0	-0.7458167	0	0.3654071	0	-0.872523	0	-2.651447	0	-4.408714	0	-4.634239	0	-3.67768	0	-1.42874	0	1.078648	0	0.3654071	0	0.1322974	0.4376725	-1.635953	-0.1086124	-1.078238	-1.396882	-4.754593	-0.653937	0.5999805	0.08790201	-2.546869	-1.682502	-3.29231	-0.01232323	-0.556132	-0.8768839	-0.3809166	-0.0836472	-0.9373074	-0.9206376						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301592	200			4	200	1	479	161	124	124	1.104646	0	-4.842335	0	-0.7243225	0	0.4601867	0	-0.9303628	0	-2.633737	0	-4.339806	0	-4.63502	0	-3.675166	0	-1.368098	0	1.104646	0	0.4601867	0	0.1208347	0.4292026	-1.650975	-0.07667462	-1.084536	-1.39682	-4.81921	-0.6107818	0.5947575	0.1100421	-2.489362	-1.704381	-3.374198	0.05021676	-0.5674376	-0.8671497	-0.3743041	-0.08379479	-0.8161035	-1.023959						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301625	233			5	233	1	478	160	126	126	0.9854534	0	-4.744638	0	-0.4234247	0	0.2446555	0	-1.031635	0	-2.527941	0	-4.46966	0	-4.60472	0	-3.597742	0	-1.380776	0	0.9854534	0	0.2446555	0	0.01617315	0.3255594	-1.713285	-0.003872654	-1.163278	-1.41345	-4.706519	-0.5384762	0.4960353	0.01599554	-2.556012	-1.744117	-3.24452	0.0005187069	-0.7212127	-1.085049	-0.1626672	0.137856	-1.023947	-0.8828501						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301658	266			6	267	1	479	161	125	125	0.684038	0	-4.256128	0	0.554387	0	-0.008645337	0	-0.8231171	0	-2.258972	0	-4.102589	0	-3.897519	0	-3.342707	0	-0.3356222	0	0.684038	0	-0.008645337	0	0.1383254	0.5038172	-1.595231	0.07175742	-1.136677	-1.380468	-4.670765	-0.5063211	0.3631875	-0.1096447	-2.401354	-1.752126	-2.290556	-0.5310977	-0.6492488	-1.174324	-0.3028974	-0.1259789	-1.726594	-0.7740404						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301691	299			7	300	1	480	161	123	123	-0.4894618	0	-3.717349	0	1.286159	0	-0.05238933	0	-0.72742	0	-2.024709	0	-3.290615	0	-3.003768	0	-3.222736	0	0.6756567	0	-0.4894618	0	-0.05238933	0	0.07573213	0.5238016	-1.258093	0.05952937	-1.108289	-1.319236	-4.200546	-0.4938206	0.0431008	-0.4585069	-2.160598	-1.776709	-1.186216	-0.6073837	-0.883432	-1.382032	-0.2378486	-0.2841976	-2.600868	-0.293792						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301725	333			8	333	1	480	161	124	124	-0.8835703	0	-3.530057	0	1.754155	0	-0.4296069	0	-1.101707	0	-1.782771	0	-3.490056	0	-3.100868	0	-3.366111	0	0.3355082	0	-0.8835703	0	-0.4296069	0	0.02949644	0.5068428	-1.192822	0.01272112	-1.125224	-1.308719	-3.983618	-0.3675948	-0.08703642	-0.6768389	-2.284391	-1.709049	-1.000689	-0.7642875	-0.9598596	-1.656693	0.1446701	0.0808526	-3.042497	-0.007746054						
TianlinLiuValidation	20180411	e3b57cfd8_5___utterance_64	0	MALE	a	TestImage	Emotient FACET	20180325_233301758	366			9	367	1	480	161	124	124	-1.053877	0	-3.521559	0	1.790404	0	-0.3902771	0	-1.142997	0	-1.801195	0	-3.488145	0	-3.097084	0	-3.405672	0	0.3678738	0	-1.053877	0	-0.3902771	0	0.05764415	0.53526	-1.173247	0.04284542	-1.116853	-1.292488	-4.007252	-0.3664719	-0.1196799	-0.7042778	-2.292124	-1.71025	-1.000257	-0.8015718	-0.9551403	-1.668158	0.1292913	0.05254944	-3.148885	-0.05018157						
