#Study : TianlinLiuValidation
#Date : 20180411 09:25:11
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:33:51.418 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351501	83			0	83	1	580	94	164	164	-3.969266	0	-0.176404	0	-1.849133	0	-2.567064	0	-0.6120405	0	-0.4405584	0	-0.5237159	0	0.4084784	0	0.3924606	0	0.6954972	0	-3.969266	0	-0.176404	0	-0.2981185	-0.6177411	-0.9096109	-2.425717	-1.01808	-0.4155159	-1.007255	-0.112873	-1.140098	-1.264652	1.028867	0.2057054	-0.2921993	-2.074498	-0.1717149	-0.03121078	-2.311221	-2.115975	-2.737727	0.7854003						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351543	125			1	125	1	580	94	163	163	-3.984121	0	-0.1667355	0	-1.836057	0	-2.553687	0	-0.6169041	0	-0.4496838	0	-0.515325	0	0.4282393	0	0.3982557	0	0.688179	0	-3.984121	0	-0.1667355	0	-0.3022037	-0.6178049	-0.8949319	-2.397488	-1.010636	-0.4082011	-1.004414	-0.1239434	-1.143626	-1.270934	1.033973	0.2052317	-0.2890379	-2.075504	-0.1788667	-0.03281233	-2.318493	-2.121289	-2.740803	0.7813694						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351584	166			2	167	1	572	93	166	166	-5.467025	0	-0.5482447	0	-2.252243	0	-3.31661	0	-1.860115	0	0.9083464	0	-0.9012578	0	-0.3190026	0	-0.8281904	0	0.3377711	0	-5.467025	0	0.9083464	0	-0.4342022	-1.026691	-0.1799599	-2.53471	-1.050769	-0.5994536	-0.1669545	0.5368094	-2.648755	-1.903576	0.5610006	-0.2982902	-0.4659424	-1.511056	-0.8175441	-0.8540374	-1.043237	-1.418948	-3.092901	1.281997						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351626	208			3	209	1	568	94	164	164	-5.471347	0	-1.223056	0	-2.594644	0	-3.703083	0	-2.363396	0	1.616611	0	-1.625814	0	-1.431004	0	-1.969211	0	-0.2736384	0	-5.471347	0	1.616611	0	-0.4915918	-1.017144	-0.1888521	-2.463583	-0.9897686	-0.522284	0.001071645	1.053048	-2.913458	-2.198072	0.4980134	-0.3734389	-0.8451596	-1.385748	-1.073561	-1.282565	-0.4313449	-1.329853	-3.488451	0.8404652						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351668	250			4	250	1	565	94	164	164	-5.062046	0	-1.770409	0	-2.243662	0	-3.452285	0	-2.531408	0	2.003301	0	-2.194406	0	-2.473186	0	-2.988643	0	-0.5329529	0	-5.062046	0	2.003301	0	-0.4285326	-0.8666922	-0.4283631	-2.304018	-0.9956846	-0.451881	-0.03026984	1.276823	-2.884212	-2.238767	0.4524304	-0.4155238	-1.327284	-1.170522	-1.200711	-1.576799	-0.1189598	-1.309019	-3.639923	0.6112521						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351709	291			5	292	1	563	94	166	166	-4.54985	0	-2.003099	0	-2.524649	0	-3.191872	0	-2.607343	0	2.29125	0	-2.307402	0	-2.762045	0	-3.245517	0	-1.161353	0	-4.54985	0	2.29125	0	-0.2515875	-0.6665771	-0.3758263	-2.268918	-0.791485	-0.1987406	0.08343991	1.445343	-2.570858	-2.12633	0.6341409	-0.3326637	-1.516999	-0.9491461	-1.377079	-1.578797	-0.02497952	-1.282899	-3.646692	0.9522926						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351751	333			6	334	1	564	93	168	168	-4.859373	0	-1.974245	0	-3.694185	0	-3.772898	0	-2.737304	0	2.510228	0	-2.460571	0	-2.440748	0	-3.176355	0	-1.628642	0	-4.859373	0	2.510228	0	-0.2689409	-0.784627	0.03640623	-2.885465	-0.9517228	-0.2144842	0.6749386	1.624478	-2.637735	-2.239766	0.3762207	-0.3223677	-1.680155	-0.6750045	-1.276261	-1.465078	0.126351	-1.015647	-3.081293	2.611159						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351793	375			7	375	1	567	91	172	172	-4.478245	0	-0.8593541	0	-2.480098	0	-2.961194	0	-1.708175	0	1.286127	0	-1.63886	0	-0.6830913	0	-1.264926	0	-0.3079895	0	-4.478245	0	1.286127	0	-0.2552193	-0.8270093	-0.2540797	-2.813122	-0.8235057	-0.4618908	0.3351671	0.9494144	-1.977438	-1.856242	0.2674924	-0.182249	-0.8374676	-1.12383	-0.9902624	-0.9161392	-0.9011095	-1.496642	-2.620362	2.810925						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351835	417			8	417	1	573	91	169	169	-4.021767	0	-0.9488851	0	-2.445003	0	-3.003444	0	-1.58006	0	1.331383	0	-1.399161	0	-0.5498222	0	-1.163834	0	-0.2797445	0	-4.021767	0	1.331383	0	-0.1540582	-0.6477788	-0.273315	-2.763069	-0.7767166	-0.3673523	0.1472936	0.9695994	-1.749585	-1.852657	0.4521337	-0.1832528	-0.8708279	-1.299174	-1.18975	-0.9538819	-1.136027	-1.719496	-2.669078	2.503079						
TianlinLiuValidation	20180411	e514236d0_1___utterance_8	0	MALE	a	TestImage	Emotient FACET	20180325_233351876	458			9	459	1	578	91	166	166	-3.910025	0	-0.6010343	0	-2.2892	0	-2.955088	0	-1.492698	0	1.370004	0	-1.067907	0	-0.07897195	0	-0.8703452	0	-0.3857833	0	-3.910025	0	1.370004	0	-0.2955887	-0.6846851	-0.04071125	-2.502316	-0.7475668	-0.2141198	0.1471979	0.9242755	-1.739469	-1.725488	0.5541766	-0.1197391	-0.8565131	-1.448478	-0.9873037	-0.8901502	-1.233483	-1.797788	-2.801064	1.825957						
