#Study : TianlinLiuValidation
#Date : 20180411 09:26:12
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:24:27.958 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428091	133			0	133	1	576	154	268	268	-3.598944	0	0.9379278	0	-1.544727	0	-1.290496	0	-1.384749	0	0.106559	0	-1.397168	0	1.811656	0	0.9270641	0	-0.658514	0	-3.598944	0	0.9379278	0	-1.081964	-1.433107	1.308097	-0.3364493	-0.8972869	-0.2404999	0.2894246	-0.3427921	-1.845671	-0.7682558	-1.370386	-0.4524864	-1.598764	-0.4344853	-0.4836678	-0.7028208	-0.8275071	-1.103239	-0.811016	0.9157144						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428158	200			1	200	1	576	154	268	268	-3.598944	0	0.9379278	0	-1.544727	0	-1.290496	0	-1.384749	0	0.106559	0	-1.397168	0	1.811656	0	0.9270641	0	-0.658514	0	-3.598944	0	0.9379278	0	-1.081964	-1.433107	1.308097	-0.3364493	-0.8972869	-0.2404999	0.2894246	-0.3427921	-1.845671	-0.7682558	-1.370386	-0.4524864	-1.598764	-0.4344853	-0.4836678	-0.7028208	-0.8275071	-1.103239	-0.811016	0.9157144						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428224	266			2	267	1	576	156	271	271	-3.316902	0	1.015116	0	-2.027457	0	-2.425894	0	-1.387128	0	0.112785	0	-1.908574	0	1.698253	0	1.021102	0	-1.01326	0	-3.316902	0	1.015116	0	-1.491484	-1.710402	1.14858	-0.6852089	-0.5227726	0.154539	0.4186499	-0.4207383	-1.759802	-0.6593899	-1.844533	-0.6067823	-1.351868	-0.6647173	-0.2614703	-0.3534552	-0.5831342	-0.6708668	-0.562777	0.7808069						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428291	333			3	333	1	558	156	278	278	-1.53909	0	-0.03800662	0	-1.206738	0	-2.161448	0	-0.8329008	0	0.8607703	0	-1.740556	0	0.7239028	0	-0.06409115	0	-0.346153	0	-1.53909	0	0.8607703	0	-1.378272	-1.300753	0.3535545	-0.6372948	-0.04355954	0.3471717	0.7172115	-0.07958177	-0.9867462	-0.500213	-1.079633	-0.715591	-1.564545	-0.4948474	-0.2918489	-0.3202101	-0.4229805	-0.8495612	-1.258641	0.314457						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428357	399			4	400	1	550	155	279	279	-0.6726232	0	-1.149948	0	-1.452798	0	-1.239097	0	-1.25169	0	1.431792	0	-2.479917	0	-2.236744	0	-2.096151	0	-1.409916	0	-0.6726232	0	1.431792	0	-1.123165	-0.7829931	0.1578551	-0.2325723	0.1942806	0.3149035	1.113191	0.7981727	-0.3604552	-0.5498667	0.05428398	-0.3482245	-2.192187	-0.2589458	-0.7226037	-0.7151397	0.3175997	-0.4069765	-1.5647	-0.8332936						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428424	466			5	467	1	553	157	273	273	-0.7860353	0	-1.408985	0	-3.166375	0	-1.623679	0	-1.720539	0	1.647251	0	-2.999779	0	-3.098071	0	-2.482763	0	-2.736107	0	-0.7860353	0	1.647251	0	-1.139704	-0.9060453	0.3696405	-0.4329782	0.2501271	0.3410436	1.273816	1.218612	-0.2717135	-0.8698623	0.04783171	-0.280114	-2.388024	-0.1859808	-0.8176512	-0.9462194	0.2187895	-0.8360975	-1.925056	-0.6401232						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428491	533			6	533	1	545	158	270	270	-1.304114	0	-0.9909154	0	-2.265781	0	-2.553843	0	-0.9960482	0	1.841671	0	-2.266039	0	-1.2768	0	-1.538539	0	-0.6822098	0	-1.304114	0	1.841671	0	-1.398159	-1.190538	-0.1276894	-1.097797	-0.3015428	0.1221944	1.232996	0.4846915	-0.6549107	-0.7221832	-0.1250424	-0.3583644	-1.204547	-0.4932509	-0.7933087	-0.6492015	-0.4080649	-1.089878	-2.104059	-0.8869413						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428557	599			7	600	1	539	162	267	267	-0.4416873	0	-0.5568781	0	-0.5628976	0	-1.097797	0	-0.09250879	0	0.7391959	0	-0.7679242	0	0.01271846	0	-0.3368369	0	0.5065315	0	-0.4416873	0	0.7391959	0	-0.8175432	-0.8048226	-0.8876728	-0.9822805	-0.9223534	-0.566594	-0.2742548	-0.4412853	-0.3033846	0.09214102	-0.1896406	-0.2402189	-0.8382634	-1.046606	-0.08173948	0.08384261	-1.282282	-1.060453	-0.5758527	0.5066743						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428624	666			8	667	1	533	161	265	265	-0.04287845	0	-0.4226947	0	-0.8961069	0	-1.210398	0	0.04215147	0	0.4967061	0	-0.739264	0	0.1193796	0	-0.2392025	0	0.4505379	0	-0.04287845	0	0.4967061	0	-1.14813	-1.112647	-1.004101	-1.284479	-1.017327	-0.5160885	-0.4439911	-0.5014552	-0.2808411	0.2454767	-0.258686	-0.1838415	-0.7954318	-0.858277	0.103931	0.2565493	-1.371149	-1.116653	-0.546668	0.4372001						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428691	733			9	733	1	527	156	277	277	-0.04299808	0	-0.6969845	0	-1.721362	0	-2.27202	0	0.03576117	0	0.2191358	0	-1.337007	0	0.2801788	0	-0.1006307	0	0.8400737	0	-0.04299808	0	0.2191358	0	-1.115039	-0.991433	-0.6329178	-0.993116	-0.4424287	0.1931287	-0.2750424	-0.2812751	-0.3257395	-0.439817	-0.2209228	-0.7218525	-0.7201409	-0.2623332	-0.3988719	-0.09514688	-0.6561073	-0.9692497	-1.229886	-0.4792745						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428757	799			10	800	1	522	158	276	276	-0.1268608	0	-0.2698469	0	-1.602984	0	-1.886198	0	0.01584644	0	-0.3382262	0	-0.9259899	0	1.015335	0	0.3836849	0	0.6943148	0	-0.1268608	0	0.01584644	0	-1.030387	-0.9565685	-0.6527978	-0.921084	-1.057675	-0.1942279	-1.044706	-0.525466	-0.4443337	-0.1845591	-0.3014817	-0.7389686	-0.8017926	0.009847954	-0.18122	0.2073715	-0.8560517	-0.7143433	-0.5626653	-0.8619223						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428824	866			11	867	1	517	157	279	279	0.1803306	0	-0.2772538	0	-1.709072	0	-1.521455	0	0.1096421	0	-0.3951611	0	-0.8654023	0	0.840538	0	0.313078	0	0.6456854	0	0.1803306	0	0.1096421	0	-0.9889554	-0.8921525	-0.7293205	-0.9076062	-0.9824968	-0.2290325	-1.157162	-0.3890547	-0.2450762	-0.1221344	-0.1365895	-0.6748946	-0.8490449	-0.09927532	-0.1483561	0.3469956	-0.9364973	-0.738558	-0.390381	-0.8063538						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428891	933			12	933	1	521	158	272	272	0.7116747	0	-0.5898474	0	-2.602506	0	-1.835245	0	-0.07074928	0	-0.231502	0	-1.405919	0	0.6387832	0	0.2994872	0	0.06627038	0	0.7116747	0	-0.07074928	0	-1.094815	-1.020703	-0.4744295	-0.9375515	-0.3188818	0.246334	-0.6257455	-0.09128147	0.08547276	0.08293425	-0.3076971	-0.8904662	-1.299753	0.005708617	-0.1062667	0.2725475	-0.5676097	-0.8004929	-0.5391959	-1.168344						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232428958	1000			13	1000	1	511	150	289	289	0.1883148	0	-0.4852865	0	-2.509387	0	-0.7415234	0	0.09193943	0	-0.4631316	0	-1.015732	0	0.5016199	0	0.115943	0	-0.2327796	0	0.1883148	0	0.09193943	0	-0.7802175	-0.9081057	-0.4939321	-0.9345413	-1.015608	-0.2112028	-1.889208	-0.400812	0.1570314	0.155199	0.149353	-0.369838	-1.947641	-0.5046019	-0.02181856	0.56712	-1.41417	-1.550401	-0.9184556	-0.2729369						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232429024	1066			14	1067	1	510	147	290	290	0.1057659	0	-0.1091475	0	-2.528525	0	-0.693922	0	0.07958849	0	-0.5270944	0	-0.8741965	0	0.4588242	0	0.3447746	0	-0.4727273	0	0.1057659	0	0.07958849	0	-1.066585	-1.231061	-0.1900321	-0.8353941	-1.041086	-0.2404072	-1.261884	-0.2579874	0.1459707	0.172019	0.05853259	-0.4737192	-1.803343	-0.4271537	-0.02867149	0.5121769	-1.439237	-1.524225	-0.4540752	-0.4185504						
TianlinLiuValidation	20180411	4ae5ecb00_1___utterance_4	0	MALE	a	TestImage	Emotient FACET	20180325_232429091	1133			15	1133	1	518	148	280	280	0.1702224	0	-0.4073501	0	-2.206909	0	-0.5177542	0	-0.1138088	0	-0.3856516	0	-0.4936003	0	0.6252819	0	0.1851297	0	-0.1891701	0	0.1702224	0	-0.1138088	0	-0.595239	-0.8433906	-0.2048355	-1.138693	-1.035906	-0.3881226	-1.059982	-0.3184168	-0.08883809	0.07355181	-0.02922513	-0.4180497	-1.25524	-0.06482619	-0.1845975	0.3931492	-1.134208	-1.072772	-0.3793951	-0.1329977						
