#Study : TianlinLiu
#Date : 20180411 09:08:05
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:34:16.579 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416645	66			0	67	1	407	169	331	331	-1.048378	0	-3.518872	0	-0.4432391	0	-1.710363	0	-4.090235	0	-1.912058	0	-0.7577267	0	-3.502146	0	-4.205867	0	-4.639197	0	-1.048378	0	-0.7577267	0	2.331198	1.13588	0.7787012	-2.80972	-1.241207	-1.129563	-2.503808	-0.8026314	0.05186551	-0.3440472	-0.975495	-1.056159	-3.242945	-0.9371358	-1.352914	-1.193013	2.325189	2.437891	-0.8173726	-0.02869629						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416679	100			1	100	1	407	168	331	331	-1.093219	0	-3.365258	0	-0.6383272	0	-1.809536	0	-4.272552	0	-1.855911	0	-0.7615914	0	-3.466455	0	-4.242985	0	-4.763912	0	-1.093219	0	-0.7615914	0	2.395267	1.090967	0.8843661	-2.882791	-1.174025	-1.019958	-2.467666	-0.8369706	0.06309616	-0.334101	-0.9850186	-1.122635	-3.318725	-0.8915392	-1.294962	-1.226462	2.396628	2.368115	-0.897002	-0.009556237						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416712	133			2	133	1	410	170	328	328	-0.8028591	0	-3.410895	0	-0.3333381	0	-1.802147	0	-4.11691	0	-1.919092	0	-0.9025754	0	-3.552017	0	-4.270804	0	-4.636397	0	-0.8028591	0	-0.9025754	0	2.215283	1.179683	0.7054371	-2.839806	-1.24981	-1.080237	-2.465853	-0.8861608	0.07370105	-0.3157257	-0.8011111	-1.108038	-3.252405	-0.9165694	-1.231982	-1.113444	2.448075	2.530415	-0.786678	0.1678582						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416745	166			3	167	1	409	168	329	329	-0.84002	0	-3.371355	0	-0.6163649	0	-1.970811	0	-4.265056	0	-1.845954	0	-0.9712638	0	-3.576149	0	-4.287097	0	-4.79246	0	-0.84002	0	-0.9712638	0	2.223307	1.101393	0.7224714	-2.933969	-1.19821	-1.023829	-2.470599	-0.8575671	0.1011029	-0.3642437	-0.8854767	-1.172164	-3.312715	-0.9371131	-1.232417	-1.223426	2.475003	2.434565	-0.8904698	0.1336437						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416779	200			4	200	1	411	168	328	328	-0.670248	0	-3.263411	0	-0.5671019	0	-2.007345	0	-4.188743	0	-1.822573	0	-1.139024	0	-3.618973	0	-4.280019	0	-4.729088	0	-0.670248	0	-1.139024	0	2.002942	1.051695	0.5180237	-2.830094	-1.237597	-0.9984053	-2.465443	-0.9017738	0.1115022	-0.4161815	-0.9170691	-1.245524	-3.341488	-0.9624084	-1.212941	-1.256922	2.546339	2.465871	-0.9619617	0.249652						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416812	233			5	234	1	410	167	332	332	-0.5681609	0	-3.319644	0	-0.4959214	0	-1.955714	0	-4.264872	0	-1.845547	0	-1.372874	0	-3.543939	0	-4.134734	0	-4.579658	0	-0.5681609	0	-1.372874	0	2.056812	1.028472	0.5955079	-2.806768	-1.200748	-0.958488	-2.797669	-0.7268469	0.0743635	-0.5650627	-1.459022	-1.526164	-3.539289	-0.8727661	-1.392202	-1.58289	2.700581	2.413339	-1.329763	0.1188937						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416845	266			6	267	1	412	167	329	329	-0.7306215	0	-3.255041	0	-0.601487	0	-2.045125	0	-4.162043	0	-1.834393	0	-1.216626	0	-3.601214	0	-4.273393	0	-4.797747	0	-0.7306215	0	-1.216626	0	2.123701	1.08034	0.637949	-2.839558	-1.217416	-0.9635515	-2.571144	-0.8920268	0.07976784	-0.4621884	-1.110193	-1.373153	-3.362084	-0.8735638	-1.254786	-1.375376	2.660285	2.479821	-1.133441	0.2854402						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416879	300			7	300	1	413	166	329	329	-0.6415981	0	-3.243471	0	-0.5510525	0	-2.081598	0	-4.087537	0	-1.788418	0	-1.280428	0	-3.479759	0	-4.098569	0	-4.588274	0	-0.6415981	0	-1.280428	0	2.010617	1.037801	0.5877882	-2.88206	-1.250306	-0.9922625	-2.614123	-0.8615209	0.05464404	-0.498343	-1.199617	-1.409268	-3.320457	-0.9054313	-1.284453	-1.391867	2.608169	2.453847	-1.160664	0.3211002						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416912	333			8	334	1	415	165	327	327	-0.5633379	0	-3.257686	0	-0.8644466	0	-2.11651	0	-4.082234	0	-1.923589	0	-1.303057	0	-3.69298	0	-4.323524	0	-4.833816	0	-0.5633379	0	-1.303057	0	1.991122	1.040609	0.6029528	-2.801594	-1.310789	-1.054811	-2.47742	-1.010902	0.1333589	-0.4555669	-0.9228188	-1.290077	-3.302869	-0.8756636	-1.266324	-1.340667	2.554903	2.50006	-0.9319396	0.7107837						
TianlinLiu	20180411	20d669608_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143416946	367			9	367	1	420	166	321	321	-0.3438357	0	-3.366947	0	-0.7316448	0	-1.661158	0	-3.785884	0	-2.017572	0	-1.38422	0	-3.737387	0	-4.326536	0	-4.582827	0	-0.3438357	0	-1.38422	0	1.931138	1.176255	0.691592	-2.472104	-1.386893	-1.201931	-2.238431	-0.960732	0.2160529	-0.3766912	-0.8079371	-1.194956	-3.271085	-0.654948	-1.225773	-1.224073	2.602772	2.660938	-0.7837074	1.42959						
