#Study : TianlinLiu
#Date : 20180411 09:08:48
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:27:48.611 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748677	66			0	67	1	285	183	347	347	0.164855	0	-2.136188	0	-4.383051	0	-3.278376	0	-0.3376536	0	-0.3513063	0	-1.673609	0	-1.741107	0	-0.549054	0	-0.05205286	0	0.164855	0	-0.3376536	0	0.08381356	0.002690697	-0.9352183	-2.523022	-1.314878	-1.08696	-1.174682	-0.03568833	-0.4105232	-0.2475978	-0.9550666	0.115128	-1.902078	-0.3387784	-0.1461795	-0.3201095	-0.4269535	0.07211846	0.1725013	1.829371						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748711	100			1	100	1	284	183	348	348	0.1588129	0	-2.104912	0	-4.456002	0	-3.297309	0	-0.3461966	0	-0.3108512	0	-1.690617	0	-1.729195	0	-0.5459499	0	-0.1179515	0	0.1588129	0	-0.3108512	0	0.09052183	-0.005708168	-0.911611	-2.552556	-1.315469	-1.082373	-1.104769	-0.02474197	-0.4061048	-0.2668545	-0.9639689	0.08861871	-1.912762	-0.3394839	-0.1770632	-0.3348631	-0.4115999	0.07673804	0.162316	1.911247						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748744	133			2	133	1	278	182	346	346	0.3758036	0	-2.510077	0	-4.649938	0	-3.563488	0	-0.2606941	0	-0.3688697	0	-1.684234	0	-1.739524	0	-0.8037668	0	0.06121877	0	0.3758036	0	-0.2606941	0	0.1364553	0.09765919	-1.088356	-2.636598	-1.260041	-1.104219	-1.125583	-0.2356168	-0.2457894	-0.2349511	-1.313422	-0.129016	-1.912854	-0.3884028	-0.3053758	-0.4066091	-0.3625256	-0.057724	0.2349896	1.897805						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748777	166			3	167	1	274	181	346	346	0.4610779	0	-3.214658	0	-4.733021	0	-3.356129	0	-0.1719139	0	-0.4432854	0	-1.787639	0	-2.04599	0	-1.26573	0	0.1863486	0	0.4610779	0	-0.1719139	0	0.03817898	0.08868844	-1.301614	-2.5717	-1.176193	-1.136315	-1.500502	-0.5029452	-0.03669188	-0.2814286	-1.500402	-0.5648367	-2.201053	-0.4826203	-0.4991151	-0.8217763	-0.3816557	-0.2334441	-0.1132842	1.434812						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748811	200			4	200	1	268	181	346	346	0.515148	0	-3.234759	0	-4.371924	0	-3.301671	0	0.1273995	0	-0.828899	0	-1.677613	0	-1.996349	0	-1.143388	0	0.3768035	0	0.515148	0	0.1273995	0	-0.1315904	-0.06692147	-1.81173	-2.66764	-1.243856	-1.201501	-2.348833	-1.046163	0.02627091	0.00302881	-1.335291	-0.648447	-1.884037	-1.021478	-0.2941289	-0.4901023	-0.9575536	-0.7543511	-0.6310961	0.7590306						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748844	233			5	234	1	263	182	346	346	0.4381832	0	-3.472448	0	-3.912805	0	-3.075637	0	0.1915157	0	-0.956087	0	-1.552445	0	-2.124032	0	-1.308465	0	0.7297881	0	0.4381832	0	0.1915157	0	-0.1864418	-0.06186798	-2.062748	-2.651445	-1.372223	-1.389736	-2.779429	-1.159067	0.02763785	-0.006394591	-1.061245	-0.5931491	-1.561291	-1.081064	-0.1827431	-0.3161229	-1.099798	-1.038931	-0.9370943	-0.1465922						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748877	266			6	267	1	258	185	347	347	0.03142178	0	-3.058491	0	-3.077448	0	-2.653546	0	0.3636037	0	-0.8563771	0	-1.086873	0	-1.6832	0	-1.201809	0	1.24494	0	0.03142178	0	0.3636037	0	-0.3630385	-0.1510103	-2.053142	-2.364831	-1.658776	-1.508625	-2.860471	-1.565105	-0.3057356	-0.02604007	-1.291259	-0.653555	-1.10322	-1.281975	-0.3069912	-0.3200364	-1.249673	-1.143915	-1.215981	-0.2418834						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748911	300			7	300	1	257	190	343	343	-0.2144589	0	-3.074942	0	-2.900541	0	-3.309359	0	0.4613383	0	-1.102917	0	-1.123452	0	-1.703699	0	-1.222284	0	1.584266	0	-0.2144589	0	0.4613383	0	-0.4743489	-0.1764348	-2.211369	-2.311116	-1.701302	-1.317256	-3.146792	-1.640035	-0.461807	-0.07037749	-1.33307	-0.6882998	-0.3268521	-1.642196	-0.4603491	-0.1954286	-1.12781	-1.212185	-1.6114	-0.7126392						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748944	333			8	334	1	255	195	342	342	-1.289815	0	-3.007982	0	-2.118156	0	-3.250511	0	0.460636	0	-1.592661	0	-0.7613093	0	-1.744419	0	-1.495287	0	1.780735	0	-1.289815	0	0.460636	0	-0.2861156	-0.05884446	-1.919108	-2.210704	-1.9032	-1.288591	-3.501431	-1.924148	-0.8360474	-0.009616484	-1.363657	-0.640417	0.04080247	-1.744348	-0.4514942	-0.08634309	-1.253428	-1.078561	-1.678639	-1.694569						
TianlinLiu	20180411	0f3183771_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_142748978	367			9	367	1	251	195	346	346	-0.6386214	0	-2.254541	0	-1.746013	0	-2.936697	0	0.414416	0	-1.68211	0	-0.899582	0	-1.663613	0	-0.9238452	0	1.260151	0	-0.6386214	0	0.414416	0	-0.277958	0.0457058	-1.991224	-1.730607	-1.785855	-1.045089	-3.292815	-1.771637	-0.6311346	0.2007625	-1.508379	-0.3615274	0.7314328	-2.258914	-0.151255	0.3419115	-1.168283	-0.9786849	-1.449781	-1.348952						
