#Study : TianlinLiu
#Date : 20180411 09:08:03
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:34:36.977 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437043	66			0	67	1	703	98	182	182	-2.026024	0	-2.417433	0	1.123991	0	-1.595463	0	-1.973338	0	-2.090141	0	-1.423555	0	-1.652899	0	-2.306017	0	-1.212558	0	-2.026024	0	-1.423555	0	0.6466079	0.11405	-0.1099669	-0.920198	-0.636847	0.1406028	-3.066435	-1.307121	-1.036662	-1.437055	-0.7162709	-1.305638	-0.4506481	-0.4453646	-1.470166	-1.759126	1.863966	2.134255	-2.698343	-1.504363						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437077	100			1	100	1	705	99	180	180	-1.699588	0	-2.162971	0	-0.5578989	0	-0.8639005	0	-0.8076669	0	-2.144878	0	-0.1877143	0	-0.7754854	0	-1.159649	0	0.3168391	0	-1.699588	0	-0.1877143	0	0.3631573	-0.2014229	-0.1794461	-0.9462554	-0.3718897	0.1915374	-2.704348	-1.332948	-0.9582304	-0.8432273	-0.0860141	-0.6824236	-0.2270782	-0.2688442	-0.8398727	-0.8813194	0.2518198	0.7395782	-1.678004	-1.758022						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437110	133			2	133	1	705	99	181	181	-0.9433744	0	-2.392405	0	-1.402456	0	-0.8151275	0	-0.5143093	0	-2.372039	0	-0.1102089	0	-0.758141	0	-1.152552	0	0.6717317	0	-0.9433744	0	-0.1102089	0	0.3480113	-0.2918457	-0.2521888	-0.6554861	-0.2364328	0.2794296	-2.80624	-1.29522	-0.8063359	-0.7915292	-0.2059726	-0.8147839	-0.9171546	0.05001748	-0.7822345	-0.6171228	-0.3085836	-0.05835333	-1.823359	-2.183038						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437143	166			3	167	1	706	98	180	180	-1.161355	0	-2.489538	0	-1.718921	0	-0.8397218	0	-0.6279409	0	-2.315009	0	-0.04339992	0	-0.6762736	0	-1.224214	0	0.6248243	0	-1.161355	0	-0.04339992	0	0.2457327	-0.2808678	-0.2431016	-0.8196303	-0.35344	0.1968041	-2.839562	-1.217045	-0.9293811	-0.9991584	-0.1357193	-0.8114688	-1.071317	0.2133767	-0.7991283	-0.6456738	-0.2461734	-0.0379905	-1.733765	-1.713863						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437177	200			4	200	1	706	96	179	179	-1.186683	0	-2.129835	0	-2.270788	0	-1.368013	0	-0.5207229	0	-1.246538	0	0.1321867	0	-0.5728635	0	-1.006499	0	0.1574259	0	-1.186683	0	0.1321867	0	0.3074575	-0.2204113	-0.3607118	-1.623623	-0.269466	0.3722339	-2.205761	-1.095048	-0.9544431	-1.279608	0.06495835	-0.6821813	-0.6990283	0.06766585	-0.7872214	-0.4463799	-0.05403655	0.1038519	-1.473911	0.4041344						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437210	233			5	234	1	707	96	179	179	-1.614474	0	-2.909424	0	-3.073892	0	-2.204077	0	-0.7652998	0	-1.19593	0	-0.02768584	0	-1.292531	0	-1.847167	0	0.552552	0	-1.614474	0	-0.02768584	0	0.5178569	-0.06815846	-0.546966	-2.125087	-1.156152	-0.4908179	-2.293013	-0.756422	-1.138101	-1.538385	0.01191891	-0.7512963	-0.2632474	0.2374048	-1.249438	-0.7981434	0.3835981	0.4176543	-1.572412	2.226654						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437243	266			6	267	1	706	95	182	182	-1.929749	0	-2.675751	0	-1.919313	0	-1.610104	0	-0.7188617	0	-1.173949	0	0.07946686	0	-1.129888	0	-1.713513	0	0.5888605	0	-1.929749	0	0.07946686	0	0.4300884	0.003038142	-0.3884067	-1.327266	-0.5698665	0.008816286	-2.17763	-0.5147734	-1.067248	-1.489501	-0.08230172	-0.7434592	-0.3690992	-0.114519	-1.07606	-0.8639739	0.6649742	0.5299322	-1.788627	1.688761						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437277	300			7	300	1	712	97	175	175	-2.719517	0	-2.388221	0	-3.43757	0	-2.289238	0	-0.9269181	0	-1.046044	0	0.08651923	0	-0.6802483	0	-1.443451	0	0.8047106	0	-2.719517	0	0.08651923	0	0.4501737	-0.1949257	-0.4127396	-2.136229	-0.7456857	-0.01811918	-2.017567	-1.015489	-1.268547	-1.543613	0.05964468	-0.824289	0.08798745	-0.2293726	-0.9796295	-1.018175	-0.01671897	0.01472896	-2.125973	1.801271						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437310	333			8	334	1	711	97	177	177	-3.140767	0	-2.17455	0	-2.84526	0	-1.824684	0	-1.008254	0	-1.184951	0	0.1869787	0	-0.5947322	0	-1.450183	0	0.6672117	0	-3.140767	0	0.1869787	0	0.3493479	-0.1930043	-0.3849865	-1.864972	-0.6120685	0.1621227	-2.122245	-1.21802	-1.495511	-1.695508	0.3534811	-0.5754877	0.06088904	0.00859319	-0.8721456	-0.7978931	-0.06960966	0.117042	-2.437792	0.6848038						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437344	367			9	367	1	713	98	175	175	-3.185596	0	-2.051867	0	-2.448095	0	-1.993135	0	-1.250571	0	-1.446124	0	0.3620501	0	-0.4478738	0	-1.206743	0	0.4785517	0	-3.185596	0	0.3620501	0	0.4427567	-0.1580825	-0.1715368	-1.737678	-0.4650677	0.2325681	-2.145489	-1.441765	-1.470491	-1.324265	0.4021033	-0.543965	0.2448144	-0.3132206	-0.4956571	-0.7394519	-0.2695881	0.09764087	-2.274632	0.1674778						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437377	400			10	400	1	711	98	178	178	-2.804451	0	-2.135309	0	-1.927538	0	-1.720845	0	-0.8290301	0	-1.762685	0	0.2304411	0	-0.3586267	0	-1.164957	0	0.6107273	0	-2.804451	0	0.2304411	0	0.2899359	-0.2740475	-0.2695233	-1.527011	-0.4162577	0.1894091	-2.148978	-1.434995	-1.342406	-1.180353	0.2663588	-0.5042607	0.2793763	-0.3389015	-0.616592	-0.6166925	-0.276377	0.1832572	-2.23962	-0.3922217						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437410	433			11	434	1	711	98	177	177	-2.849666	0	-1.988849	0	-1.847787	0	-1.650049	0	-0.9541565	0	-1.854256	0	0.3360518	0	-0.3791703	0	-1.042526	0	0.6784721	0	-2.849666	0	0.3360518	0	0.2795487	-0.2791821	-0.2377725	-1.310633	-0.4094095	0.2251471	-2.064953	-1.493745	-1.390547	-1.067156	0.4409833	-0.3681032	0.4423093	-0.4570512	-0.4542206	-0.54377	-0.4230171	0.07440909	-2.122083	-0.8513116						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437444	467			12	467	1	710	97	180	180	-2.797541	0	-2.208721	0	-1.811174	0	-1.51146	0	-0.8416079	0	-2.04102	0	0.4341464	0	-0.2425047	0	-1.195668	0	0.6432043	0	-2.797541	0	0.4341464	0	0.3198281	-0.2875648	-0.1450476	-1.309765	-0.4270333	0.1954345	-2.233965	-1.423112	-1.367674	-1.194991	0.2924589	-0.4470239	0.3736103	-0.2615541	-0.6841319	-0.47528	-0.2871787	0.1206474	-2.140358	-1.042477						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437477	500			13	500	1	710	99	178	178	-2.701979	0	-1.768619	0	-1.863057	0	-1.218379	0	-1.236066	0	-1.829787	0	0.3135754	0	-0.4153376	0	-0.7995858	0	0.3198788	0	-2.701979	0	0.3135754	0	0.2469335	-0.3092071	-0.1287507	-1.187118	-0.6133192	0.1500764	-2.143326	-1.539541	-1.426567	-1.089583	0.3659483	-0.3839247	0.2506709	-0.08015138	-0.3475208	-0.5866405	-0.3408436	0.1280254	-1.655547	-0.7601117						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437510	533			14	534	1	710	100	178	178	-2.129559	0	-1.760856	0	-1.972516	0	-0.8108603	0	-1.395066	0	-1.68155	0	0.07408565	0	-0.8120731	0	-0.8527572	0	-0.1410841	0	-2.129559	0	0.07408565	0	0.0205092	-0.5227702	-0.1381103	-1.203482	-0.5669435	0.1969792	-2.359396	-1.207469	-1.286301	-1.205085	0.3859825	-0.4436976	-0.2331714	0.4001245	-0.4264283	-0.8091713	-0.004642382	0.3081832	-1.336067	-1.048992						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437544	567			15	567	1	709	100	180	180	-1.647896	0	-1.758138	0	-2.069965	0	-0.5635874	0	-1.460534	0	-1.642669	0	0.06137855	0	-0.7525929	0	-0.8372712	0	-0.7968584	0	-1.647896	0	0.06137855	0	0.09341025	-0.5112454	0.1184232	-1.167042	-0.3712451	0.3525221	-2.125247	-1.153675	-1.038126	-1.304613	0.236278	-0.4862773	-0.7249926	0.5872068	-0.6549476	-0.6763151	0.2289705	0.3581505	-1.008291	-0.8984499						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437577	600			16	601	1	707	102	181	181	-1.493288	0	-2.103814	0	-2.088302	0	0.05964893	0	-1.308711	0	-1.44433	0	-0.06694634	0	-1.125976	0	-1.276975	0	-0.725971	0	-1.493288	0	0.05964893	0	0.1010434	-0.4886438	-0.01691811	-0.8647357	-0.2964271	0.3335902	-2.507671	-0.7284023	-0.9015831	-1.281426	0.1465128	-0.8120083	-1.131244	0.9338247	-0.7620919	-1.087253	0.4302802	0.3014527	-1.523794	-1.21762						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437610	633			17	634	1	709	104	180	180	-1.36061	0	-2.262491	0	-2.21417	0	0.1377604	0	-1.346355	0	-1.555168	0	-0.2483001	0	-1.600144	0	-1.383983	0	-0.9883409	0	-1.36061	0	0.1377604	0	-0.02430581	-0.6296436	-0.1215355	-0.8608996	-0.3243859	0.3586861	-2.799523	-0.7281153	-0.9009184	-1.300523	0.04874622	-0.7608871	-1.499281	1.139767	-0.8436698	-1.311334	0.5542485	0.3906313	-1.640223	-1.780767						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437644	667			18	667	1	706	103	185	185	-1.031982	0	-2.490914	0	-2.279564	0	0.5256271	0	-1.483268	0	-1.565227	0	-0.3287846	0	-1.347964	0	-1.70281	0	-1.217314	0	-1.031982	0	0.5256271	0	0.3225485	-0.3171152	0.0862847	-0.6637585	-0.3124118	0.5011303	-2.80607	-0.6353524	-0.5804635	-1.554507	-0.2276219	-1.264008	-2.020877	1.249305	-1.104256	-1.251922	1.03803	0.4009148	-1.588333	-1.56446						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437677	700			19	701	1	706	104	184	184	-0.7387273	0	-3.026829	0	-2.537439	0	0.7911041	0	-1.716807	0	-2.144783	0	-0.7611065	0	-2.171508	0	-2.235702	0	-1.955808	0	-0.7387273	0	0.7911041	0	0.0588945	-0.5181056	-0.05893047	-0.6226808	-0.7019013	0.3658135	-3.334822	-0.8440049	-0.6888831	-1.832541	-0.654261	-1.408846	-2.864131	1.963084	-1.232338	-1.793444	1.654461	0.8566564	-1.725732	-2.080865						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437711	734			20	734	1	707	105	183	183	-0.3469121	0	-3.240348	0	-2.167079	0	0.6785288	0	-2.113606	0	-2.45009	0	-1.318759	0	-2.760683	0	-2.630788	0	-2.509968	0	-0.3469121	0	0.6785288	0	-0.08311176	-0.5323457	-0.2116926	-0.6836332	-0.8267331	0.3798215	-3.42863	-1.073241	-0.8482047	-2.107415	-0.9039317	-1.517089	-3.10812	2.189577	-1.242647	-2.107489	2.199942	1.412714	-1.48182	-2.103677						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437744	767			21	767	1	707	105	182	182	-0.4554387	0	-3.305096	0	-2.425392	0	1.051749	0	-2.232059	0	-2.50558	0	-1.320464	0	-2.764392	0	-2.678324	0	-2.594373	0	-0.4554387	0	1.051749	0	0.04833196	-0.481618	-0.1517893	-0.6307923	-0.7635407	0.469142	-3.599457	-1.165651	-0.888615	-2.205046	-1.040141	-1.638994	-3.273246	2.343643	-1.364547	-2.256046	2.185577	1.257867	-1.583961	-2.041285						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437777	800			22	801	1	705	105	183	183	-0.6074495	0	-2.801954	0	-2.93908	0	0.946653	0	-1.649262	0	-1.568843	0	-0.6873336	0	-1.848625	0	-2.560875	0	-1.213644	0	-0.6074495	0	0.946653	0	-0.03220761	-0.3858762	-0.009322776	-0.3218015	-0.497123	0.4411307	-2.726976	-0.3619155	-0.5551557	-1.804078	-0.6583677	-1.567502	-2.693651	1.636619	-1.007923	-1.610458	1.523032	0.3922038	-2.474908	-2.177731						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437811	834			23	834	1	707	106	185	185	-0.6576973	0	-2.618992	0	-2.059322	0	-0.2257647	0	-1.110296	0	-1.614821	0	-0.4184424	0	-1.281182	0	-1.773715	0	-0.07479179	0	-0.6576973	0	-0.2257647	0	0.03875945	-0.4482752	-0.09834734	-0.5522237	0.1217361	0.4040905	-2.569003	0.007560284	-0.2604339	-1.211191	0.09664083	-1.343043	-1.879225	0.7943022	-0.9466311	-0.9906495	0.8723589	0.09973199	-2.577731	-2.525178						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437844	867			24	868	1	707	107	186	186	-1.084306	0	-2.178856	0	-1.808515	0	-0.9343619	0	-0.9250332	0	-1.457914	0	-0.0006775652	0	-0.6121345	0	-1.438785	0	0.6881683	0	-1.084306	0	-0.0006775652	0	-0.1572796	-0.4936076	-0.1314477	-0.5964435	-0.1009743	0.2687441	-2.276836	0.03271246	-0.2933001	-1.153488	0.3719834	-1.0526	-0.8415964	0.2863717	-0.671994	-0.6137899	0.4487785	0.05563185	-2.447297	-2.310172						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437877	900			25	901	1	710	110	185	185	-1.214079	0	-2.070361	0	-1.702747	0	-1.078884	0	-1.02715	0	-1.487202	0	-0.01252489	0	-0.8529879	0	-1.365966	0	0.705933	0	-1.214079	0	-0.01252489	0	-0.507691	-0.7892488	-0.3210913	-0.8411487	-0.003456397	0.3027165	-2.311285	-0.1848284	-0.3890696	-1.282545	0.3770815	-0.8719563	-0.4591227	0.500618	-0.7059819	-0.6825745	0.5715485	0.1919163	-2.58795	-2.970484						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437911	934			26	934	1	710	112	186	186	-1.329002	0	-2.092538	0	-1.636643	0	-1.006058	0	-1.072933	0	-1.612047	0	-0.008418369	0	-0.9055443	0	-1.449113	0	0.7411183	0	-1.329002	0	-0.008418369	0	-0.5243962	-0.7829021	-0.2455133	-0.7932203	-0.138508	0.2308775	-2.458577	-0.0508839	-0.4166557	-1.238212	0.3616304	-0.9818867	-0.591415	0.6530473	-0.7146192	-0.7150468	0.61182	0.2284034	-2.588098	-3.314954						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437944	967			27	968	1	709	114	187	187	-0.8554854	0	-2.145973	0	-1.636382	0	-0.5145624	0	-0.949079	0	-1.480668	0	0.08350507	0	-1.188606	0	-1.470005	0	0.3898248	0	-0.8554854	0	0.08350507	0	-0.4890421	-0.8240649	-0.1798994	-0.6867769	-0.2272221	0.07599822	-2.430087	0.2056463	-0.2774788	-1.061513	0.5055962	-0.8866578	-1.036232	0.9662637	-0.6468854	-0.6676338	0.7038126	0.2786876	-2.164118	-3.53617						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143437977	1000			28	1001	1	706	114	188	188	-0.2892451	0	-2.000659	0	-0.544522	0	-0.5437605	0	-1.371511	0	-1.588596	0	-0.4204878	0	-1.517434	0	-1.793908	0	-0.3853227	0	-0.2892451	0	-0.4204878	0	-0.5039907	-0.6821342	-0.1748485	-0.7395062	-0.06081085	0.3966582	-2.437752	0.03439664	-0.02416074	-1.126437	-0.01227298	-1.090117	-1.136963	0.6571481	-0.8777784	-1.16743	1.614379	1.238966	-1.871201	-3.231732						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438011	1034			29	1034	1	706	114	186	186	-1.818978	0	-2.2152	0	0.3405808	0	-0.4230609	0	-3.315377	0	-2.08391	0	-1.632349	0	-2.867587	0	-3.311029	0	-2.525715	0	-1.818978	0	-0.4230609	0	-0.2769773	-0.2479144	-0.1257975	-0.3000201	-0.5301266	0.3364264	-3.305339	-0.4445513	-0.4934342	-2.179924	-0.4915862	-1.841361	-2.274512	0.8554711	-1.460264	-2.35258	2.947716	2.511971	-3.036095	-2.426491						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438044	1067			30	1068	1	705	117	187	187	-0.7660816	0	-2.260606	0	-0.5663905	0	0.3561877	0	-2.02503	0	-1.547885	0	-0.7775558	0	-2.245479	0	-2.608366	0	-1.042546	0	-0.7660816	0	0.3561877	0	-0.312146	-0.4559196	-0.2255954	-0.3351073	-0.5262383	0.07086544	-3.118395	0.1621418	-0.2638538	-1.574409	-0.3851133	-1.516544	-1.807038	1.160161	-1.086201	-1.897294	2.159769	1.41711	-2.400595	-2.90613						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438078	1101			31	1101	1	706	118	187	187	-1.093673	0	-2.287941	0	-1.254863	0	0.4274225	0	-1.645674	0	-1.469607	0	-0.2749674	0	-1.699555	0	-2.085368	0	-0.4651242	0	-1.093673	0	0.4274225	0	-0.3404592	-0.6499037	-0.08113899	-0.5176626	-0.2427989	0.1178651	-2.764447	0.2088341	-0.194039	-1.268564	0.1927333	-1.215454	-1.656655	1.191156	-0.6985691	-1.179657	1.436973	0.6755165	-2.157002	-3.273503						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438111	1134			32	1134	1	708	118	184	184	-1.535754	0	-1.962106	0	-1.338291	0	-0.09776214	0	-1.468659	0	-1.745655	0	-0.166116	0	-1.30791	0	-1.679861	0	-0.2063524	0	-1.535754	0	-0.09776214	0	-0.5005586	-0.8101311	-0.08800606	-0.9107668	-0.06236796	0.3547773	-2.760643	-0.3153018	-0.3897901	-1.221678	0.1657927	-1.335047	-0.9756918	0.8838913	-0.7089084	-1.175531	1.119603	0.7002889	-2.095165	-3.347651						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438144	1167			33	1168	1	707	118	184	184	-1.582224	0	-1.693882	0	-0.7969068	0	-0.3282323	0	-1.075305	0	-1.516478	0	0.08033404	0	-1.116302	0	-1.456025	0	-0.07979078	0	-1.582224	0	0.08033404	0	-0.3663254	-0.6655093	-0.1081114	-0.745373	-0.1442547	0.1178279	-2.569742	-0.3192821	-0.3367371	-0.9587638	0.3775947	-0.9030778	-0.3592714	0.432686	-0.5271939	-0.8386951	0.797271	0.8244032	-1.768365	-2.933153						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438178	1201			34	1201	1	705	116	186	186	-1.456864	0	-1.787104	0	-0.5210931	0	-0.7161329	0	-0.9200228	0	-1.818276	0	0.03540704	0	-0.9011784	0	-1.339627	0	0.09548376	0	-1.456864	0	0.03540704	0	-0.3371551	-0.5794125	0.02361375	-0.644032	-0.2253972	0.2543311	-2.511306	-0.6717097	-0.3451672	-0.8211029	0.2319862	-0.8110741	0.09347732	0.1701937	-0.4875435	-0.7296482	0.810294	1.053538	-1.412732	-2.944996						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438211	1234			35	1235	1	704	115	187	187	-1.846637	0	-1.634954	0	-0.04957142	0	-0.7193787	0	-1.171871	0	-1.715147	0	-0.2613921	0	-0.9999	0	-1.486812	0	-0.1198833	0	-1.846637	0	-0.2613921	0	-0.1930413	-0.4727381	0.004014659	-0.4917601	-0.3956508	0.06992178	-2.675021	-0.7966961	-0.4931005	-0.8863204	0.007462202	-0.8872688	0.2409692	-0.05059472	-0.5447417	-0.9156693	0.9955065	1.217767	-1.672121	-2.806388						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438244	1267			36	1268	1	704	115	188	188	-1.779346	0	-1.698908	0	-0.4333559	0	-1.04016	0	-1.066307	0	-2.105035	0	-0.06494173	0	-0.7331598	0	-1.285818	0	0.1403637	0	-1.779346	0	-0.06494173	0	-0.3363633	-0.6109216	0.1034333	-0.5566772	-0.37097	0.3109065	-2.669677	-1.052847	-0.5677626	-0.8514648	0.09345123	-0.8335815	0.3230334	0.04629533	-0.4606486	-0.7295017	0.8793612	1.130078	-1.435855	-3.053247						
TianlinLiu	20180411	22bc84ecb_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143438278	1301			37	1301	1	705	116	186	186	-2.04823	0	-1.913689	0	-1.026992	0	-0.8073529	0	-0.821508	0	-2.512079	0	0.492029	0	-0.6064698	0	-1.173219	0	0.4145395	0	-2.04823	0	0.492029	0	-0.2661234	-0.678946	0.07721402	-0.5677022	-0.5268588	0.1895123	-2.781916	-1.193634	-0.7090414	-0.8188364	0.4219543	-0.5321971	0.3089917	0.2991738	-0.3141525	-0.4524777	0.2704739	0.6593589	-1.441649	-3.350026						
