#Study : TianlinLiuValidation
#Date : 20180411 09:25:06
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:34:24.206 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424272	66			0	67	1	270	78	100	100	-0.7634853	0	-5.975254	0	-2.565261	0	0.1117541	0	-1.393185	0	-2.556034	0	0.2898864	0	-4.425836	0	-4.577253	0	-2.272046	0	-0.7634853	0	0.2898864	0	3.040525	1.442366	-0.02512232	-0.5888944	-0.01818103	-0.05306962	-4.985125	-0.4183669	0.2546513	-0.5902628	-1.159747	-2.034442	-3.909016	0.1209661	-1.646445	-1.587979	1.732111	-0.04317794	-2.901621	-3.041948						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424306	100			1	100	1	270	78	99	99	-1.019204	0	-5.985922	0	-2.211972	0	-0.9238372	0	-0.8786208	0	-3.05526	0	0.7761824	0	-3.868983	0	-4.167201	0	-1.919745	0	-1.019204	0	0.7761824	0	3.450523	1.697075	0.04330413	-1.195317	-0.2282032	-0.1284614	-5.395668	-1.193058	0.1114538	-0.3251048	-1.263676	-1.860383	-2.573181	-0.7551284	-1.496926	-1.178598	1.257635	0.1137646	-2.667853	-1.913072						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424339	133			2	133	1	269	77	101	101	-1.3457	0	-6.478007	0	-3.015858	0	-0.9363685	0	-0.598607	0	-3.059343	0	1.213339	0	-3.87622	0	-4.332704	0	-1.746061	0	-1.3457	0	1.213339	0	3.751118	1.803586	0.3430225	-1.727149	-1.140244	-1.007854	-5.280866	-1.172241	-0.02350748	0.01815728	-1.275443	-1.619948	-1.948118	-0.9117316	-1.615709	-0.7846419	0.9413184	0.163633	-1.902429	-0.3855057						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424372	166			3	167	1	269	79	98	98	-1.340178	0	-5.867297	0	-2.268853	0	-0.5030434	0	-1.317696	0	-2.290823	0	1.037213	0	-3.735096	0	-4.404186	0	-1.903439	0	-1.340178	0	1.037213	0	3.613032	1.885161	0.2920383	-1.566139	-0.8383524	-0.7557812	-4.658058	-0.9826764	0.03401666	-0.286644	-0.7224211	-1.441159	-1.933576	-0.3459591	-1.454205	-0.7415209	1.50463	0.6222845	-1.658314	0.6771426						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424406	200			4	200	1	268	77	102	102	-0.9671578	0	-6.107236	0	-2.986664	0	-0.1840767	0	-0.7797912	0	-2.687757	0	1.042311	0	-3.508626	0	-4.186738	0	-1.381123	0	-0.9671578	0	1.042311	0	3.565903	1.547605	0.5806334	-1.633734	-1.148406	-0.9985588	-4.547612	-0.6954741	0.03467375	-0.2115369	-1.022867	-1.610364	-2.081494	-0.5226088	-1.639572	-0.8595731	1.088406	0.1436956	-1.623866	0.02116233						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424439	233			5	234	1	269	77	98	98	-0.1885202	0	-6.680094	0	-3.903704	0	-0.977203	0	-1.304749	0	-2.785426	0	1.493466	0	-4.153975	0	-4.640198	0	-1.559119	0	-0.1885202	0	1.493466	0	3.441301	1.881015	0.2182321	-2.034053	-0.8901411	-0.7583326	-5.380667	-1.00142	0.4689949	-0.2773935	-0.6189991	-1.585894	-2.54224	-0.4616739	-1.625477	-0.920526	1.103322	-0.01923848	-2.204091	-0.09993384						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424472	266			6	267	1	268	77	101	101	-0.3225724	0	-6.48289	0	-3.976543	0	-0.6839701	0	-1.053181	0	-1.969412	0	1.759934	0	-3.777131	0	-4.428814	0	-1.327071	0	-0.3225724	0	1.759934	0	3.612274	1.755739	0.1847189	-1.833506	-0.2752528	-0.360242	-4.49263	-0.1593519	0.4429623	-0.4758856	-0.5152217	-1.664857	-2.75072	-0.22528	-1.527559	-1.164881	1.226384	-0.2876399	-2.474588	-1.147697						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424506	300			7	300	1	268	75	99	99	-0.4495648	0	-6.53536	0	-4.544853	0	-0.2066108	0	-1.099735	0	-2.613677	0	1.477679	0	-3.881257	0	-4.317717	0	-1.298949	0	-0.4495648	0	1.477679	0	3.181672	1.55686	0.1308126	-1.524168	-0.6323051	-0.5297823	-5.136892	-0.5634834	0.2503998	-0.3540128	-0.5829363	-1.583067	-3.170609	0.1434319	-1.434563	-0.9883176	0.9505671	-0.5197926	-2.324147	-1.749209						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424539	333			8	334	1	266	73	101	101	-0.3869299	0	-6.540272	0	-4.563514	0	-0.7694437	0	-0.8510942	0	-2.143156	0	1.538868	0	-3.522347	0	-4.156833	0	-1.128044	0	-0.3869299	0	1.538868	0	3.322601	1.477095	0.1601514	-1.62982	-0.2891915	-0.4914741	-4.194812	-0.07588147	0.2286822	-0.4915397	-0.5458232	-1.515682	-2.739993	0.07022572	-1.541465	-1.161711	1.017907	-0.5118566	-2.3089	-1.712371						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424573	367			9	367	1	267	73	98	98	-0.453902	0	-5.855774	0	-3.96686	0	-0.3963917	0	-1.005643	0	-1.529438	0	1.024116	0	-3.702831	0	-4.181585	0	-1.12651	0	-0.453902	0	1.024116	0	2.766504	1.607335	-0.09970467	-1.113584	0.09836262	0.1872956	-4.245323	0.2663627	0.4940354	-0.8289877	0.1840222	-1.270319	-3.14523	0.6248385	-1.225451	-1.217946	1.158711	-0.5280955	-3.116079	-2.105888						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424606	400			10	400	1	263	71	101	101	-0.9029686	0	-6.194906	0	-4.139562	0	-0.679807	0	-1.092325	0	-1.304663	0	1.584267	0	-3.85401	0	-4.494856	0	-1.225417	0	-0.9029686	0	1.584267	0	3.140836	1.528532	-0.07786585	-1.345905	-0.1279273	-0.1592883	-4.101816	0.4382171	0.3785945	-0.9012563	0.05256215	-1.47198	-2.730465	-0.037221	-1.60288	-1.364762	1.180306	-0.5923797	-3.277271	-1.68143						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424639	433			11	434	1	264	69	101	101	-1.114876	0	-5.793405	0	-3.619436	0	-0.9247488	0	-0.8149322	0	-1.390885	0	1.213499	0	-3.223882	0	-4.004897	0	-0.5991846	0	-1.114876	0	1.213499	0	3.088292	1.597106	-0.09551705	-1.422761	-0.2732399	-0.2498529	-3.888674	0.1650729	0.0242158	-0.7489899	-0.516375	-1.527583	-2.706571	-0.04542091	-1.503759	-1.480637	1.040531	-0.4360094	-2.946342	-1.680966						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424673	467			12	467	1	263	68	100	100	-1.8142	0	-4.620949	0	-2.11993	0	-1.079553	0	-0.8626393	0	-1.278793	0	1.078237	0	-2.469806	0	-3.470269	0	-0.4142721	0	-1.8142	0	1.078237	0	3.054288	1.870926	0.2249759	-1.071847	-0.329723	-0.1178068	-3.756613	-0.1159809	-0.1021447	-0.8535826	-0.3914697	-1.279085	-1.529493	-0.2863803	-1.261054	-1.341209	0.9280735	-0.2221007	-2.969008	-1.093458						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424706	500			13	500	1	260	66	102	102	-1.881159	0	-5.118529	0	-1.902271	0	-0.6740118	0	-0.7424035	0	-1.842435	0	1.174226	0	-2.720042	0	-3.800905	0	-0.3667982	0	-1.881159	0	1.174226	0	3.358533	2.075342	0.1502182	-0.876061	-0.5189335	-0.2657354	-4.426391	-0.4338629	-0.1335566	-0.7125696	-0.5885696	-1.307632	-1.316339	-0.5381761	-1.280132	-1.205313	0.7293755	-0.3411435	-2.935019	-1.157883						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424739	533			14	534	1	258	65	101	101	-1.821281	0	-4.426202	0	-1.452442	0	-0.7286509	0	-0.7254148	0	-1.451503	0	0.9518468	0	-2.344729	0	-3.392925	0	-0.1298379	0	-1.821281	0	0.9518468	0	3.119533	2.119305	0.06062489	-0.7301767	-0.2874149	-0.06391902	-3.954247	-0.3426841	-0.02532724	-0.920095	-0.3329952	-1.114008	-0.9484552	-0.5655408	-1.244851	-1.111985	0.465394	-0.4669388	-3.009908	-1.210233						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424773	567			15	567	1	258	67	98	98	-1.396295	0	-3.698669	0	-1.846504	0	-0.5057943	0	-0.4996956	0	-0.6285663	0	1.042194	0	-2.167377	0	-3.082632	0	-0.1896119	0	-1.396295	0	1.042194	0	2.642471	1.99826	0.1527119	-0.7201369	0.0733265	0.05555615	-2.957263	0.03645835	0.2405747	-0.9638644	0.344462	-0.6229263	-0.9800887	-0.1746332	-1.108349	-0.8283015	0.1356107	-0.727738	-2.814432	-1.311533						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424806	600			16	601	1	255	67	101	101	-1.210952	0	-4.738045	0	-2.224009	0	-0.08856089	0	-0.6065714	0	-0.4993365	0	1.012575	0	-3.28348	0	-3.961018	0	-0.8410025	0	-1.210952	0	1.012575	0	3.152195	2.299472	-0.05539956	-0.8045309	-0.2082486	-0.2607001	-3.532515	0.4512392	0.381642	-0.9411094	0.3930679	-1.092331	-1.116434	-0.3892888	-1.22748	-0.8935389	0.5627581	-0.7525793	-2.877226	-1.18999						
TianlinLiuValidation	20180411	f1f277e5d_7___utterance_83	0	MALE	a	TestImage	Emotient FACET	20180325_233424839	633			17	634	1	253	69	104	104	-0.8565845	0	-5.121362	0	-2.696799	0	-0.3893559	0	-0.6878178	0	-0.3080714	0	0.9868398	0	-3.470967	0	-4.096211	0	-0.9537999	0	-0.8565845	0	0.9868398	0	3.007984	1.92274	0.06635175	-0.8593574	-0.1140563	-0.3530348	-3.218419	0.6903179	0.2659942	-0.8473052	0.3126733	-1.11286	-1.063174	-0.2000114	-1.357003	-1.006176	0.716162	-0.7490813	-2.698196	-0.5073088						
