#Study : TianlinLiu
#Date : 20180411 09:08:03
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:34:49.142 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449208	66			0	67	1	441	135	237	237	-3.374692	0	-1.511316	0	1.543329	0	0.37691	0	-2.582861	0	-0.3547275	0	-2.120172	0	-1.978574	0	-3.098398	0	-1.853876	0	-3.374692	0	0.37691	0	0.7100312	0.416119	-0.06386959	0.623773	-0.7146163	-0.6271485	-1.894913	0.6259567	-0.8763521	-1.445684	-0.8078272	-1.054976	-0.7144678	-0.8710507	-1.095797	-1.900244	0.5153246	-0.2629974	-4.117269	0.179271						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449242	100			1	100	1	442	137	233	233	-3.382448	0	-0.6472178	0	-0.317343	0	0.6839206	0	-1.022952	0	-0.6165016	0	-0.7671152	0	-0.7814835	0	-1.411111	0	-0.4498214	0	-3.382448	0	0.6839206	0	0.396406	0.1123299	-0.1591112	0.4867477	-0.6935725	-0.786223	-1.619513	0.6481851	-0.8533796	-0.800404	-0.2235648	0.1942318	-0.05712095	-0.9894976	-0.6052588	-0.5262147	-1.521695	-1.542876	-1.957158	-0.3160655						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449275	133			2	133	1	440	137	234	234	-3.213189	0	-0.4495399	0	-0.2925163	0	0.4752562	0	-0.8630571	0	-0.4627302	0	-0.6422789	0	-0.6330611	0	-1.16393	0	-0.2283186	0	-3.213189	0	0.4752562	0	0.2430867	-0.05155038	-0.1759759	0.3418902	-0.6719201	-0.8689829	-1.472854	0.705904	-0.8516537	-0.7659288	-0.21034	0.2650255	-0.07413711	-1.03042	-0.5229391	-0.4783984	-1.559493	-1.525491	-1.908718	-0.3408697						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449308	166			3	167	1	439	138	233	233	-3.883642	0	-0.6286556	0	-0.1126194	0	0.3273914	0	-1.02381	0	-0.8341554	0	-0.5257993	0	-0.4881126	0	-1.339624	0	0.0239772	0	-3.883642	0	0.3273914	0	0.2742299	-0.01635328	-0.1616516	0.2800167	-0.7696208	-0.8392127	-1.687553	0.2498365	-1.153977	-1.021656	-0.3318411	0.07002688	0.006525918	-1.104031	-0.568714	-0.579571	-1.531628	-1.499246	-2.26686	-0.3206071						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449341	199			4	200	1	439	138	231	231	-4.863981	0	-1.106613	0	1.061174	0	0.1231339	0	-1.966133	0	-1.406453	0	-0.9716948	0	-1.119002	0	-2.150492	0	-0.4390379	0	-4.863981	0	0.1231339	0	0.5237414	0.2467911	-0.2276348	0.5122681	-0.9173524	-0.7825457	-2.103097	-0.4495821	-1.581645	-1.428917	-0.4445981	-0.191819	-0.04444911	-1.306512	-0.6024662	-0.9209449	-1.121619	-1.156847	-3.347073	-0.2460638						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449375	233			5	233	1	442	140	224	224	-5.478903	0	-1.085452	0	1.185911	0	-0.1870559	0	-1.896122	0	-2.377791	0	-1.105809	0	-1.066411	0	-2.002857	0	-0.8378271	0	-5.478903	0	-0.1870559	0	0.7978237	0.5800375	-0.2150751	0.7080824	-1.237548	-0.842155	-2.453726	-1.263334	-1.721306	-1.330127	-0.5868801	-0.2217934	0.156903	-1.790425	-0.4905219	-0.5374907	-1.590346	-1.221411	-3.28845	-0.1654015						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449408	266			6	267	1	439	139	228	228	-4.625127	0	-0.7623591	0	0.6962575	0	-0.3355385	0	-1.298401	0	-1.859333	0	-0.7709413	0	-0.6155237	0	-1.477236	0	-0.07666831	0	-4.625127	0	-0.3355385	0	0.4509307	0.2512968	-0.3158489	0.3015788	-0.9781342	-0.8258132	-2.1401	-1.060778	-1.547621	-1.088103	-0.5874376	0.084139	0.4787585	-1.689386	-0.3954076	-0.3652134	-1.857791	-1.464682	-2.934654	-0.2318611						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449441	299			7	300	1	440	141	224	224	-4.498591	0	-0.806383	0	0.5529253	0	-0.3759508	0	-1.07097	0	-1.917468	0	-0.8827451	0	-0.9479094	0	-1.573059	0	-0.1274011	0	-4.498591	0	-0.3759508	0	0.4594515	0.3822927	-0.4786879	0.4545213	-1.029627	-0.8645928	-2.305834	-1.084682	-1.445301	-0.9181939	-0.4965974	0.2844287	0.577803	-1.61598	-0.2759686	-0.1182283	-2.135417	-1.56946	-2.527225	-0.3438423						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449475	333			8	333	1	440	140	228	228	-4.434694	0	-0.9362795	0	1.058093	0	-0.552812	0	-1.287649	0	-1.377095	0	-1.496713	0	-1.410223	0	-2.091154	0	-0.204911	0	-4.434694	0	-0.552812	0	0.4119	0.4846568	-0.6564902	0.4452359	-0.8778325	-0.833528	-1.916024	-0.840409	-1.367575	-1.077848	-0.7597712	0.0231844	0.4808568	-1.815839	-0.3627765	-0.4788166	-1.76241	-1.442775	-3.153821	-0.3132925						
TianlinLiu	20180411	22e9f018d_3__utterance_107	0	MALE	recording	TestImage	Emotient FACET	20180320_143449508	366			9	367	1	440	140	225	225	-5.035059	0	-1.294461	0	1.981781	0	-0.8001373	0	-2.069537	0	-2.061031	0	-2.375651	0	-2.019629	0	-2.581607	0	-0.9613919	0	-5.035059	0	-0.8001373	0	0.3784863	0.4661191	-0.8418078	0.5322422	-1.333449	-1.239458	-2.458014	-1.342374	-1.478808	-1.270163	-0.9526168	-0.5714374	0.1987953	-1.780966	-0.3554313	-0.6627039	-1.133821	-0.7372873	-3.817336	-0.2428291						
