#Study : TianlinLiu
#Date : 20180411 09:08:12
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:32:47.430 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247496	66			0	67	1	629	83	287	287	5.384732	0	-7.274307	0	-6.900308	0	-3.75147	0	-4.364202	0	-4.739531	0	-6.390224	0	-8.284897	0	-7.024733	0	-6.719344	0	5.384732	0	-3.75147	0	-0.2643414	0.03112345	-1.867218	-0.9205182	1.680392	0.4297702	-2.30167	-0.9907257	2.899829	-0.7755575	-1.330324	-0.879265	-6.898777	0.6614215	-0.9522859	-2.11639	1.524771	0.26007	-1.764327	-1.580501						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247530	100			1	100	1	629	83	286	286	4.938925	0	-6.844775	0	-6.203429	0	-3.372377	0	-3.436944	0	-4.410028	0	-5.659117	0	-7.641398	0	-6.393253	0	-5.751421	0	4.938925	0	-3.372377	0	-0.1811088	0.1478382	-1.835841	-0.6860859	1.441481	0.3598464	-2.359544	-1.022421	2.635533	-0.5905132	-1.222405	-0.6241003	-5.921925	0.7431283	-0.7492772	-1.693984	1.201927	0.172533	-1.616112	-1.49921						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247563	133			2	133	1	630	83	283	283	4.28909	0	-6.697008	0	-5.042912	0	-2.807563	0	-2.912547	0	-3.896675	0	-5.629649	0	-7.595599	0	-6.600765	0	-5.155267	0	4.28909	0	-2.807563	0	0.1247792	0.4913662	-1.803493	-0.4641679	1.130318	0.3442116	-2.735593	-1.026085	2.167392	-0.6848178	-0.984498	-0.4163532	-5.13991	0.7975659	-0.5973987	-1.651973	1.188718	0.199163	-1.901949	-1.446882						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247596	166			3	167	1	625	80	287	287	4.153975	0	-6.572515	0	-4.807453	0	-2.660007	0	-3.430302	0	-3.529917	0	-6.220204	0	-7.642184	0	-6.664429	0	-5.769121	0	4.153975	0	-2.660007	0	0.1543815	0.4303336	-1.731906	-0.549949	1.226038	0.4192834	-2.509016	-1.113778	2.189574	-0.6580223	-1.045486	-0.7437198	-5.708628	0.604834	-0.7098476	-2.070639	1.430092	0.4143802	-1.934099	-1.195684						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247629	199			4	200	1	625	78	286	286	3.932058	0	-6.399256	0	-4.588747	0	-2.633948	0	-3.060538	0	-3.269487	0	-5.8192	0	-7.355676	0	-6.522631	0	-5.213133	0	3.932058	0	-2.633948	0	0.2171164	0.5296904	-1.718834	-0.6133726	1.121896	0.4290807	-2.533313	-1.09092	2.054386	-0.6192809	-0.9478436	-0.6626717	-5.157882	0.6353217	-0.589978	-1.879801	1.283447	0.3335257	-1.996473	-1.001974						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247663	233			5	233	1	620	74	290	290	4.129986	0	-6.322757	0	-4.892378	0	-2.745877	0	-3.519092	0	-3.301123	0	-6.061284	0	-7.145655	0	-6.229771	0	-5.558354	0	4.129986	0	-2.745877	0	-0.08422732	0.1381789	-1.633336	-0.8173525	1.049025	0.2292433	-2.07333	-1.179083	2.183036	-0.4819317	-1.152728	-0.8408656	-5.647504	0.6162565	-0.7300982	-2.115333	1.35576	0.4934785	-1.551712	-0.5484617						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247696	266			6	267	1	621	72	288	288	4.093722	0	-6.420471	0	-4.841037	0	-2.661037	0	-3.322178	0	-3.244283	0	-6.217444	0	-7.426529	0	-6.449357	0	-5.655232	0	4.093722	0	-2.661037	0	-0.05857414	0.1866898	-1.717238	-0.7413504	1.129079	0.3302354	-2.056859	-1.09165	2.238159	-0.5197526	-1.166755	-0.843154	-5.408618	0.6122167	-0.6813145	-2.101869	1.429909	0.5129334	-1.775512	-0.6277426						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247729	299			7	300	1	622	71	282	282	3.345678	0	-6.024808	0	-3.916419	0	-2.086909	0	-1.950212	0	-2.868192	0	-4.881743	0	-6.559956	0	-5.946584	0	-3.791688	0	3.345678	0	-1.950212	0	0.3452318	0.5929232	-1.706275	-0.451472	0.53867	0.006646816	-2.802631	-1.063695	1.651616	-0.4886456	-0.9375339	-0.4166705	-4.059415	0.8259946	-0.4158933	-1.483862	0.9476573	0.146105	-1.909698	-0.4571387						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247763	333			8	333	1	619	71	282	282	3.238575	0	-6.078144	0	-3.689523	0	-1.894406	0	-1.70815	0	-3.06281	0	-4.774214	0	-6.542411	0	-5.892414	0	-3.994736	0	3.238575	0	-1.70815	0	0.5448327	0.7292129	-1.693321	-0.4594887	0.6247807	0.009095818	-3.013107	-1.126037	1.718181	-0.4250599	-0.9412199	-0.5227836	-3.969889	0.7794591	-0.4889615	-1.432122	1.014498	0.1634078	-1.888132	-0.398829						
TianlinLiu	20180411	1add840e2_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_143247796	366			9	367	1	617	74	278	278	3.084641	0	-5.996343	0	-3.757958	0	-1.837668	0	-1.370934	0	-2.964592	0	-4.274613	0	-5.979278	0	-5.567737	0	-3.356859	0	3.084641	0	-1.370934	0	0.7417846	0.896768	-1.570857	-0.4248041	0.4196096	-0.0772346	-3.226946	-1.259959	1.472504	-0.4793687	-1.026702	-0.4698087	-3.891044	0.9241717	-0.5543033	-1.395149	0.7515985	-0.04184714	-1.943568	-0.09667568						
