#Study : TianlinLiuValidation
#Date : 20180411 09:25:04
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:34:39.338 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439404	66			0	67	1	515	169	252	252	-1.876454	0	-0.838474	0	-0.4536067	0	-1.287719	0	-0.04544859	0	-0.5129345	0	-0.02493521	0	0.04181171	0	-0.3682642	0	0.6121731	0	-1.876454	0	-0.02493521	0	0.667347	0.5680012	-0.8000203	-0.7056422	-0.4198237	-0.5281743	-2.254757	-1.172979	-1.03311	-0.4192095	-0.4191842	-0.0881229	0.0550142	-2.341203	-0.4273051	-0.08749375	-2.89156	-2.360022	-2.014454	0.9614646						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439438	100			1	100	1	519	171	249	249	-1.800952	0	-1.102478	0	-0.7554016	0	-1.207077	0	-0.0401158	0	-0.3541453	0	0.01000926	0	-0.2390695	0	-0.6111121	0	0.7503552	0	-1.800952	0	0.01000926	0	0.7141545	0.6060888	-0.7546552	-0.8672922	-0.1681127	-0.3072751	-2.28307	-1.07364	-1.061161	-0.5662265	-0.1428585	-0.01476608	-0.2022921	-2.099515	-0.5069014	-0.1380298	-2.989198	-2.424093	-1.870448	0.7610144						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439471	133			2	133	1	525	172	246	246	-1.833503	0	-0.9735447	0	-0.909142	0	-1.086599	0	-0.05695523	0	-0.3034935	0	0.03548049	0	-0.3813846	0	-0.6714947	0	0.7551587	0	-1.833503	0	0.03548049	0	0.7434257	0.7455931	-0.735858	-0.6760352	-0.02422852	0.01184617	-2.067094	-1.158685	-1.070606	-0.6768503	0.004068777	-0.1316765	-0.244814	-1.552402	-0.4079636	-0.1292867	-2.551355	-2.016792	-1.455722	0.708639						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439504	166			3	167	1	523	170	252	252	-2.070688	0	-0.8622546	0	-1.058073	0	-1.544096	0	-0.3604808	0	-0.2431946	0	0.0773427	0	-0.277944	0	-0.5118444	0	0.6583487	0	-2.070688	0	0.0773427	0	0.7188131	0.6214007	-0.7405529	-0.9813625	-0.06187519	-0.1333889	-2.174271	-1.119894	-1.283668	-0.7670408	-0.1350086	0.008823884	-0.2137417	-2.075679	-0.4184722	-0.247278	-2.856899	-2.286737	-1.968664	0.6430697						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439537	199			4	200	1	524	170	250	250	-2.325543	0	-0.9829977	0	-0.993185	0	-1.357381	0	-0.2955199	0	-0.4525498	0	0.1804785	0	-0.3445883	0	-0.659944	0	0.809379	0	-2.325543	0	0.1804785	0	0.6011637	0.5595078	-0.6730262	-0.9495468	-0.2693364	-0.2192729	-2.058774	-1.068894	-1.33863	-0.6991608	0.08463723	0.06025211	-0.06906796	-1.801026	-0.3283768	-0.1111141	-2.690401	-2.085123	-1.730259	0.4030087						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439571	233			5	233	1	530	173	245	245	-2.319664	0	-1.003905	0	-0.8903478	0	-1.05311	0	0.0001443025	0	-1.276193	0	0.08684834	0	-0.3644425	0	-0.6598648	0	0.6315674	0	-2.319664	0	0.08684834	0	0.7859469	0.6909968	-0.3838749	-0.1703569	-0.2896838	-0.06488241	-2.231806	-1.137813	-1.12142	-0.3081128	0.03494108	0.08113245	-0.0913771	-1.088555	-0.175763	0.2232604	-2.264947	-1.628274	-1.229122	0.2978794						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439604	266			6	267	1	523	171	247	247	-1.936453	0	-0.9072561	0	-1.331117	0	-1.349026	0	0.05098338	0	-0.5444865	0	0.1714249	0	-0.225495	0	-0.4888594	0	0.7193617	0	-1.936453	0	0.1714249	0	0.7278928	0.7009166	-0.7113286	-0.9836642	-0.03509863	-0.1345541	-2.146316	-1.247702	-1.05954	-0.4855509	0.0322705	0.0490037	-0.2223187	-1.811277	-0.2795816	0.0573983	-3.091932	-2.307508	-1.531404	0.6288316						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439637	299			7	300	1	519	170	251	251	-1.802836	0	-0.7284769	0	-1.167263	0	-1.540399	0	-0.1304732	0	-0.313049	0	0.03657457	0	-0.125807	0	-0.3315004	0	0.6197534	0	-1.802836	0	0.03657457	0	0.4873219	0.389123	-0.7512082	-0.9408109	-0.09900392	-0.2649379	-2.039588	-0.9879395	-1.048206	-0.5136762	-0.1152566	0.04347992	-0.1457601	-2.218334	-0.3934749	-0.06564613	-3.135349	-2.468261	-2.044743	0.7218528						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439671	333			8	333	1	524	170	248	248	-1.953114	0	-0.6277103	0	-1.416925	0	-1.311667	0	0.003915978	0	-0.3421107	0	0.2217585	0	-0.1562298	0	-0.3477608	0	0.7231999	0	-1.953114	0	0.2217585	0	0.4137692	0.4687671	-0.7267954	-0.8679889	-0.08733035	-0.0647099	-1.694931	-1.10685	-1.076784	-0.5229	0.1666968	0.05763323	-0.04860319	-1.686628	-0.2417631	0.07280912	-2.889959	-2.112018	-1.419639	0.4130627						
TianlinLiuValidation	20180411	fb1d1b14e_1___utterance_14	0	MALE	a	TestImage	Emotient FACET	20180325_233439704	366			9	367	1	527	173	247	247	-2.193503	0	-0.6719036	0	-1.345319	0	-1.449315	0	-0.3541192	0	-0.3251168	0	0.1871453	0	-0.2757788	0	-0.4367289	0	0.7054615	0	-2.193503	0	0.1871453	0	0.5436658	0.484806	-0.696462	-0.8079855	-0.02437681	0.009227281	-1.803164	-0.9908382	-1.328382	-0.7466655	0.2101346	0.1738649	-0.2269773	-1.79789	-0.2539644	-0.08820962	-2.918464	-2.152276	-1.636718	0.7480609						
