#Study : TianlinLiu
#Date : 20180411 09:07:33
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:37:43.224 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743290	66			0	67	1	498	238	119	119	0.8889957	0	-2.828393	0	-0.9137656	0	-0.8077483	0	-0.1507853	0	-0.8054347	0	-1.251196	0	-2.685614	0	-2.530585	0	-0.6321184	0	0.8889957	0	-0.1507853	0	-0.4993218	-0.1467343	-0.9984143	-2.058765	-0.1490607	-1.446987	-2.242586	0.2954191	0.7845632	0.5630788	-0.686877	0.4626727	-0.9027299	-0.779004	-0.3973113	0.1631884	-0.8526406	-0.1567179	-0.2032534	-0.4385881						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743324	100			1	100	1	493	238	120	120	0.921661	0	-3.07356	0	-1.314737	0	-0.5761247	0	-0.02973241	0	-1.177704	0	-1.404397	0	-2.972593	0	-2.649265	0	-0.8838657	0	0.921661	0	-0.02973241	0	-0.4719874	-0.1497044	-0.9982601	-2.045798	-0.1104133	-1.443983	-2.385849	0.219451	0.8853132	0.6995647	-0.6737938	0.4053116	-1.209033	-0.5804618	-0.4057477	0.2276368	-0.9133216	-0.2173591	-0.2502951	-0.4946631						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743357	133			2	133	1	490	237	120	120	0.7687052	0	-3.047293	0	-1.809483	0	-0.2850926	0	0.07985553	0	-1.351871	0	-1.521089	0	-3.148518	0	-2.453921	0	-1.315257	0	0.7687052	0	0.07985553	0	-0.4719303	-0.1725591	-1.041815	-1.952317	-0.1015505	-1.35442	-2.290505	0.1108015	0.9425453	0.8161482	-0.7359784	0.4642035	-1.372937	-0.343362	-0.4062045	0.3475906	-0.9478243	-0.3244887	-0.1650877	-0.4671582						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743390	166			3	167	1	488	238	119	119	0.2513517	0	-3.056256	0	-1.624048	0	-0.06940945	0	0.1027318	0	-1.487723	0	-1.585642	0	-3.034824	0	-2.394459	0	-1.531235	0	0.2513517	0	0.1027318	0	-0.2708699	-0.04436383	-0.7098854	-1.694589	-0.263102	-1.362144	-2.205996	-0.06087062	0.7737608	0.7025515	-1.209897	0.3539543	-1.218804	-0.272413	-0.4309214	0.1386589	-0.7968149	-0.3192213	-0.3129836	-0.1428814						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743423	199			4	200	1	486	238	118	118	0.2347432	0	-2.906415	0	-0.8749319	0	-0.4437495	0	0.230945	0	-1.275123	0	-1.258491	0	-2.542058	0	-2.2157	0	-1.076782	0	0.2347432	0	0.230945	0	-0.1263648	0.03581704	-0.508372	-1.624906	-0.3198338	-1.408454	-1.694336	-0.0603204	0.5255203	0.3702888	-1.244909	0.2400347	-0.5106716	-0.3997525	-0.6383013	-0.01478336	-0.592197	-0.07953663	-0.5328824	0.5913061						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743457	233			5	233	1	482	238	117	117	0.1442223	0	-2.687678	0	-0.7187543	0	-0.4625593	0	0.2786471	0	-1.166615	0	-0.6031401	0	-1.821511	0	-1.865188	0	-0.3856619	0	0.1442223	0	0.2786471	0	-0.1364987	-0.01528861	-0.433	-1.272232	-0.3226589	-1.3349	-1.666559	-0.07075685	0.4914826	0.2629014	-0.5501755	0.2514214	-0.2428824	-0.3358581	-0.4583789	0.2574046	-0.8639693	-0.2632773	-0.8470061	0.7376795						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743490	266			6	267	1	480	238	116	116	0.146545	0	-2.693094	0	-0.9185526	0	-0.4821549	0	0.1026142	0	-1.05093	0	-0.8129757	0	-1.853331	0	-1.929046	0	-0.5103964	0	0.146545	0	0.1026142	0	-0.1341021	-0.06215879	-0.3267478	-1.254996	-0.3746242	-1.316551	-1.460645	0.01913652	0.455968	0.2281228	-0.5033762	0.1339478	-0.404752	-0.02503605	-0.4227644	0.1408782	-0.7505671	-0.205483	-0.9356094	1.056824						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743524	300			7	300	1	481	241	110	110	-0.2698181	0	-2.326538	0	-0.8788804	0	-0.1972855	0	-0.06088783	0	-0.53465	0	-0.5547856	0	-1.159968	0	-1.720228	0	-0.4149284	0	-0.2698181	0	-0.06088783	0	0.2028258	0.1237504	0.02267323	-1.318081	-0.1219561	-1.219734	-1.140429	0.3016164	0.5096923	0.07997909	-0.3818356	-0.1210325	-0.0492447	-0.2455163	-0.3906256	-0.03160214	-0.8583106	-0.8775101	-1.326295	1.52009						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743557	333			8	333	1	481	243	110	110	-0.3302125	0	-2.268694	0	-0.8321316	0	-0.1658312	0	-0.1727544	0	-0.6127497	0	-0.5588593	0	-1.294973	0	-1.817534	0	-0.5528149	0	-0.3302125	0	-0.1658312	0	0.2161033	0.06677093	0.01516881	-1.244921	-0.144061	-1.229459	-1.224183	0.2232557	0.5110043	0.01813739	-0.2357993	-0.07402567	-0.08380114	-0.2934034	-0.3132356	0.02095122	-1.010092	-0.9696108	-1.53325	1.623972						
TianlinLiu	20180411	34d64e449_1__utterance_17	0	MALE	recording	TestImage	Emotient FACET	20180320_143743590	366			9	367	1	483	246	108	108	-0.2070688	0	-2.091131	0	-0.8702179	0	0.1207692	0	-0.04033311	0	-0.7574284	0	-0.09244914	0	-1.44434	0	-1.673993	0	-0.6947063	0	-0.2070688	0	0.1207692	0	0.3836949	0.1488125	-0.05284915	-1.405367	-0.2341662	-1.398002	-1.413904	-0.06039789	0.6084807	0.1707049	0.07934712	0.2191902	-0.1555566	-0.5285571	-0.04925779	0.3400753	-1.573416	-1.350004	-1.151435	1.565506						
