#Study : TianlinLiu
#Date : 20180411 09:07:06
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:42:18.280 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218363	83			0	83	1	551	130	138	138	-0.8844333	0	-0.6052026	0	-1.88659	0	0.08008248	0	-1.793625	0	-0.335317	0	-1.41938	0	-1.086521	0	-2.281121	0	-0.3319524	0	-0.8844333	0	0.08008248	0	-0.1132006	-0.02823859	-0.0210454	0.2378701	0.3462179	0.2522588	-2.144648	0.5117446	0.1827186	-1.261055	-0.1687834	-1.956499	-1.590983	0.02537042	-0.1112795	-1.554284	1.193289	-0.2488349	-4.459396	-2.417921						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218405	125			1	125	1	552	132	137	137	-1.377321	0	-0.7264525	0	-2.092107	0	0.009871215	0	-2.085321	0	-0.1654566	0	-1.428359	0	-1.132055	0	-2.336559	0	-0.3746936	0	-1.377321	0	0.009871215	0	-0.1308967	-0.03100738	-0.04836992	0.4268488	0.3965334	0.3934411	-2.099402	0.5197098	-0.005057388	-1.439235	-0.1162835	-1.924354	-1.595986	0.04818458	-0.2043254	-1.692915	1.068121	-0.3439633	-4.627244	-2.432363						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218446	166			2	167	1	553	132	136	136	-1.472436	0	-0.817501	0	-2.211291	0	0.2950462	0	-2.680629	0	0.08316852	0	-1.999639	0	-1.693168	0	-2.866798	0	-1.206574	0	-1.472436	0	0.2950462	0	-0.1739504	-0.1293462	0.04867096	0.441457	0.3912461	0.4500552	-1.866756	0.7115589	-0.07367752	-1.465119	-0.1772946	-1.999608	-2.224551	0.3746889	-0.1874897	-2.054404	1.538948	-0.2066474	-4.562292	-2.456056						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218488	208			3	208	1	553	132	136	136	-1.527925	0	-0.7079938	0	-2.182463	0	0.1162975	0	-3.252794	0	0.2488994	0	-2.663053	0	-2.096772	0	-3.247322	0	-1.738559	0	-1.527925	0	0.2488994	0	-0.3088398	-0.2215843	0.1169201	0.2284518	0.3966892	0.4712926	-1.931871	0.6826972	-0.05237076	-1.562072	-0.3918225	-2.188335	-2.440962	0.365055	-0.4226526	-2.478775	2.049386	0.08884041	-4.849275	-2.452566						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218529	249			4	250	1	552	130	137	137	-1.253497	0	-0.4701417	0	-1.434647	0	0.4979813	0	-3.069332	0	-0.06610487	0	-2.523783	0	-1.950421	0	-3.134285	0	-1.579634	0	-1.253497	0	0.4979813	0	-0.1965213	-0.08730128	0.09946214	0.2152885	0.319036	0.2909322	-2.152949	0.2704254	0.1295958	-1.445949	-0.4462439	-2.142904	-2.48913	0.5507202	-0.4282913	-2.434149	2.233908	0.4571487	-4.506769	-2.106092						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218571	291			5	292	1	551	130	138	138	0.7715407	0	-0.9821711	0	-2.289031	0	0.002365564	0	-0.9792435	0	-0.7802546	0	-0.8363884	0	-1.240025	0	-1.95417	0	-0.2087334	0	0.7715407	0	0.002365564	0	-0.02578312	0.09258632	-0.2664597	0.4309811	0.4388545	0.3054183	-1.695781	0.2107174	0.3620237	-0.5290269	0.1286877	-1.291045	-1.813867	0.08043092	0.1184045	-0.6985093	0.4143521	-0.4311212	-2.429522	-2.759464						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218613	333			6	333	1	552	130	137	137	1.574972	0	-1.708263	0	-3.254619	0	-0.244213	0	-2.882976	0	-1.021614	0	-2.453988	0	-3.012043	0	-3.376636	0	-2.046557	0	1.574972	0	-0.244213	0	-0.08738582	-0.02967398	-0.2760553	0.5364248	0.6390921	0.377806	-1.873276	0.3361518	0.6685231	-0.9276116	-0.05423059	-1.93554	-3.722407	0.4203518	-0.002635063	-1.738052	1.397432	-0.1933016	-3.25646	-3.030972						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218654	374			7	375	1	552	130	137	137	2.800114	0	-2.357511	0	-3.869678	0	-0.9017205	0	-7.207953	0	-2.128484	0	-5.392052	0	-6.209474	0	-6.094757	0	-5.704368	0	2.800114	0	-0.9017205	0	0.1424569	0.2583928	-0.372908	0.5699158	0.7874599	0.4089171	-2.526286	0.3139337	1.258822	-1.781509	-0.5291442	-3.24269	-7.182292	0.4295974	-0.3620431	-3.38597	3.668127	0.4955972	-4.373571	-3.221826						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218696	416			8	417	1	554	131	133	133	3.759634	0	-3.608394	0	-4.886629	0	-2.170355	0	-7.836741	0	-2.593735	0	-5.838914	0	-6.90601	0	-6.719709	0	-6.557239	0	3.759634	0	-2.170355	0	-0.07998785	-0.06375868	-0.3857081	-0.4685113	1.059438	0.4907912	-1.897458	0.4746385	1.531455	-1.574855	-0.6119334	-2.837008	-8.02949	0.7588843	-0.6964732	-3.50456	3.75852	0.7155795	-3.89672	-3.454385						
TianlinLiu	20180411	46a7f440b_1__utterance_6	0	MALE	recording	TestImage	Emotient FACET	20180320_144218738	458			9	458	1	555	130	126	126	4.609189	0	-6.062354	0	-6.919654	0	-3.384974	0	-7.159674	0	-2.900911	0	-6.8361	0	-7.493723	0	-7.043574	0	-7.62632	0	4.609189	0	-2.900911	0	0.683668	0.4215151	-0.6089142	-2.16239	1.564028	0.7579525	-1.302782	0.2528661	2.223804	-1.278857	-1.451614	-2.135135	-8.830563	0.7117889	-0.7289962	-3.026309	3.187296	0.3738574	-3.284808	-1.61878						
