#Study : TianlinLiu
#Date : 20180411 09:06:56
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:43:52.149 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352215	66			0	67	1	549	114	105	105	-1.284582	0	0.002342606	0	-1.111313	0	-0.615748	0	-0.285083	0	0.5484453	0	-0.2158742	0	0.1269554	0	0.051328	0	-0.1988404	0	-1.284582	0	0.5484453	0	-0.256927	-0.4171982	-0.09546883	-1.26723	0.1146266	-0.6052669	-0.8631835	0.4519667	0.02578238	-0.01807442	0.3010346	0.2562465	-0.4252199	-1.636053	-0.1941726	0.4835422	-1.700015	-1.242209	-0.1853172	0.9560121						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352249	100			1	100	1	549	113	111	111	-1.106617	0	0.2952382	0	-1.285174	0	-0.6643362	0	-0.4874441	0	0.5029119	0	-0.07645202	0	0.3093162	0	0.4678011	0	-0.3522525	0	-1.106617	0	0.5029119	0	-0.461209	-0.6938632	0.01244202	-1.231841	0.1356777	-0.497105	-0.7215933	0.5065163	-0.01647033	-0.2276345	0.3716784	0.4141722	0.02109841	-1.513209	0.2092602	0.5511014	-1.691529	-1.180396	0.03795515	0.9358578						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352282	133			2	133	1	552	114	107	107	-0.808937	0	0.1117693	0	-1.384307	0	-0.5216092	0	-0.3476975	0	0.5618483	0	-0.1127097	0	0.2631172	0	0.2970538	0	-0.1629233	0	-0.808937	0	0.5618483	0	-0.3121794	-0.5165057	-0.1819255	-1.252536	0.1358963	-0.6144214	-0.8241633	0.5530428	0.1500078	-0.007708549	0.5954028	0.4038607	-0.4370038	-1.464793	-0.1593776	0.6051799	-1.795226	-1.328531	-0.05191612	1.071942						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352315	166			3	167	1	553	113	109	109	-0.8516743	0	0.2117015	0	-2.081539	0	-0.6028197	0	-0.3815924	0	0.6257448	0	0.1049488	0	0.3210874	0	0.433505	0	-0.2119645	0	-0.8516743	0	0.6257448	0	-0.445345	-0.6418384	-0.03989194	-1.251733	0.2886657	-0.5710689	-0.7435638	0.6274471	0.06879774	-0.09042623	0.7510394	0.7282249	-0.1536296	-1.317412	0.1189838	0.687475	-2.083908	-1.50698	-0.009409945	0.8067879						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352349	200			4	200	1	556	114	106	106	-0.4181301	0	-0.2729846	0	-1.276902	0	-0.3448078	0	-0.2366794	0	0.6677577	0	-0.01994384	0	-0.1131369	0	-0.1008967	0	-0.1605317	0	-0.4181301	0	0.6677577	0	-0.155481	-0.3320816	-0.147442	-1.32984	0.1940569	-0.7159937	-0.9084925	0.5521834	0.1988479	0.1224999	0.321912	0.4605011	-0.1398298	-1.177531	0.06124228	0.6632137	-1.675295	-1.28634	-0.09735483	0.8069661						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352382	233			5	234	1	554	110	115	115	-1.323808	0	-0.03490116	0	-1.087789	0	-0.9914719	0	-1.012011	0	0.4740192	0	0.3677957	0	0.4107151	0	0.06291603	0	-0.439861	0	-1.323808	0	0.4740192	0	-0.3057117	-0.6844231	0.4173285	-0.6494217	0.05833001	-0.3124205	-0.7242405	0.5005041	-0.3385383	-0.5285352	0.551313	0.3660373	0.8701292	-1.300249	0.08724061	0.3936195	-1.277246	-0.7159964	-0.3458388	1.092014						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352415	266			6	267	1	552	107	122	122	-2.029618	0	-0.1055316	0	-0.9139674	0	-1.512565	0	-1.068213	0	0.4111973	0	0.7418069	0	0.4186348	0	-0.01023945	0	-0.612841	0	-2.029618	0	0.7418069	0	-0.1107584	-0.7293127	0.5090047	-1.112139	-0.009672325	-0.4545164	-0.881978	0.411979	-0.4214305	-1.087649	0.6585828	0.1353031	1.199807	-1.476511	-0.1177953	0.1743267	-0.8569924	-0.2380367	-1.000053	1.440539						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352449	300			7	300	1	551	103	129	129	-2.116627	0	0.1822926	0	-1.15191	0	-1.556851	0	-1.083442	0	0.5544341	0	0.103533	0	0.6955248	0	0.1908452	0	-0.6978545	0	-2.116627	0	0.5544341	0	-0.1987988	-0.9489527	0.6996822	-1.400275	-0.2628884	-0.5430092	-0.4326235	0.5152622	-0.6581307	-0.9626597	0.1106718	-0.316407	0.7941429	-1.047205	-0.6113648	-0.4244215	-0.2125188	-0.0702766	-0.9756749	1.585706						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352482	333			8	334	1	554	101	128	128	-3.121633	0	-0.1073708	0	-2.035772	0	-1.737178	0	-0.9625611	0	0.9184018	0	0.602115	0	0.6850474	0	-0.03458048	0	-0.3314449	0	-3.121633	0	0.9184018	0	-0.03978818	-0.8543109	0.6776463	-1.87376	-0.2807764	-0.6227988	-0.05319401	0.7349541	-0.7266782	-1.175702	0.5499544	0.05236233	1.118232	-0.9154254	-1.00299	-0.4327091	-0.483419	-0.2839328	-1.681725	1.936957						
TianlinLiu	20180411	55a78acb5_1__utterance_2	0	MALE	recording	TestImage	Emotient FACET	20180320_144352516	367			9	367	1	556	97	134	134	-5.307781	0	-0.3150367	0	-2.818874	0	-3.020366	0	-1.640247	0	1.09942	0	0.1305191	0	0.4211816	0	-0.8928992	0	-0.7084977	0	-5.307781	0	1.09942	0	-0.03941877	-1.19652	1.189814	-2.469306	-0.6906385	-0.7800479	0.2934027	0.8819883	-1.16886	-1.641838	-0.4102373	0.07017796	1.433216	-1.429549	-1.57504	-0.7844539	-0.4549081	-0.6611908	-4.276273	2.153697						
