#Study : TianlinLiu
#Date : 20180411 09:06:44
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:44:52.224 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452290	66			0	67	1	571	176	130	130	-1.723323	0	0.3073261	0	-3.441724	0	-0.1720511	0	-0.3134586	0	-0.8609014	0	-1.370228	0	0.7294372	0	0.871056	0	-0.3798004	0	-1.723323	0	0.3073261	0	-1.633661	-1.439219	0.7642245	-0.1085916	-0.3938148	-0.1471014	-0.495818	0.3543381	-0.4608348	-0.3246323	-0.4720492	-0.6816729	-0.3686012	0.6580789	0.1578252	-0.2552325	-0.5507191	-0.8821862	-0.1062642	-1.550348						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452324	100			1	100	1	572	175	131	131	-1.880283	0	0.370516	0	-3.679365	0	-0.3264537	0	-0.5290238	0	-0.7381727	0	-1.383979	0	0.774582	0	0.8910735	0	-0.548883	0	-1.880283	0	0.370516	0	-1.610553	-1.503442	0.9056455	-0.1685674	-0.3175137	0.002400826	-0.6129896	0.5069965	-0.5191032	-0.3329402	-0.495811	-0.7408407	-0.7296985	0.7150054	0.1158085	-0.1604784	-0.5002859	-0.9254085	-0.1667702	-1.673948						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452357	133			2	133	1	574	174	130	130	-1.964008	0	0.4406147	0	-3.709057	0	-0.3789223	0	-0.3694545	0	-0.8897253	0	-1.450886	0	0.8664023	0	1.016136	0	-0.4801266	0	-1.964008	0	0.4406147	0	-1.765754	-1.585908	0.9842412	-0.09111208	-0.3324873	-0.03064615	-0.3981111	0.368409	-0.5111445	-0.3495744	-0.5568539	-0.6918033	-0.3474397	0.6535591	0.1333413	-0.2947487	-0.5755857	-0.9663539	-0.118011	-1.652014						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452390	166			3	167	1	574	172	130	130	-2.021523	0	0.4614802	0	-3.710935	0	-0.3864473	0	-0.4334055	0	-0.8973445	0	-1.383323	0	0.872897	0	1.01622	0	-0.5070739	0	-2.021523	0	0.4614802	0	-1.679117	-1.538205	0.9762203	-0.1162671	-0.353962	-0.02828991	-0.4810233	0.414194	-0.5337371	-0.3252358	-0.4962343	-0.6692457	-0.4658069	0.6613828	0.1252547	-0.213984	-0.5710579	-0.9306123	-0.05585419	-1.682379						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452424	200			4	200	1	574	171	130	130	-1.777535	0	0.2297992	0	-3.662741	0	-0.3063378	0	-0.2614779	0	-0.8329586	0	-1.355616	0	0.6634769	0	0.8385149	0	-0.4388382	0	-1.777535	0	0.2297992	0	-1.575266	-1.45754	0.8068795	-0.2099873	-0.3378501	-0.202145	-0.3811066	0.4429965	-0.4872652	-0.3188537	-0.4673075	-0.7052986	-0.4423461	0.674224	0.07387313	-0.3306419	-0.5523684	-0.9220564	-0.1579906	-1.657366						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452457	233			5	234	1	574	171	129	129	-1.836088	0	0.096471	0	-3.696876	0	-0.2930616	0	-0.2182131	0	-0.71561	0	-1.272586	0	0.5380717	0	0.6797181	0	-0.3525577	0	-1.836088	0	0.096471	0	-1.512408	-1.427505	0.6673034	-0.2849716	-0.3693308	-0.3519692	-0.315639	0.4381092	-0.4814894	-0.3933547	-0.4415271	-0.8501584	-0.2795538	0.7215062	0.04502767	-0.4720978	-0.5554113	-1.020225	-0.2904653	-1.651251						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452490	266			6	267	1	574	171	129	129	-1.784477	0	0.04919497	0	-3.721377	0	-0.3071224	0	-0.1572561	0	-0.7373445	0	-1.133791	0	0.485293	0	0.6170799	0	-0.2810117	0	-1.784477	0	0.04919497	0	-1.404677	-1.386716	0.5863045	-0.3246415	-0.3667906	-0.3830453	-0.4282808	0.4732376	-0.4826019	-0.3670879	-0.3857459	-0.7737931	-0.3735811	0.6753256	-0.005378798	-0.4321447	-0.6446292	-0.9882734	-0.2935159	-1.711946						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452524	300			7	300	1	574	171	128	128	-1.988972	0	0.1575914	0	-3.702918	0	-0.4072136	0	-0.167453	0	-0.8802716	0	-1.126431	0	0.6322404	0	0.7354161	0	-0.2508999	0	-1.988972	0	0.1575914	0	-1.454459	-1.412726	0.7217804	-0.258983	-0.4175231	-0.3326098	-0.5227948	0.3522909	-0.5553956	-0.4085884	-0.4501363	-0.805338	-0.2663578	0.6202087	-0.02476448	-0.4131419	-0.6805367	-1.005079	-0.3108082	-1.71679						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452557	333			8	334	1	573	171	129	129	-1.88334	0	0.3071147	0	-3.225379	0	-0.2656369	0	-0.187936	0	-0.8135597	0	-1.103355	0	0.7068102	0	0.7718613	0	-0.07694419	0	-1.88334	0	0.3071147	0	-1.580791	-1.357801	0.7031682	-0.06288105	-0.4124769	-0.2654109	-0.6320796	0.362474	-0.5089655	-0.3939429	-0.3293807	-0.7070529	-0.2300314	0.5084217	0.05829311	-0.3207608	-0.6808082	-0.9540932	-0.2754607	-1.695827						
TianlinLiu	20180411	64b27f54f_1__utterance_23	0	MALE	recording	TestImage	Emotient FACET	20180320_144452591	367			9	367	1	573	171	128	128	-1.886364	0	0.2213471	0	-3.36834	0	-0.3041854	0	-0.1564213	0	-0.7937815	0	-0.9994631	0	0.6798546	0	0.7257091	0	-0.1497498	0	-1.886364	0	0.2213471	0	-1.490247	-1.362392	0.6355327	-0.228505	-0.4114414	-0.3483807	-0.5560166	0.3835658	-0.5007859	-0.3788835	-0.2903276	-0.7252136	-0.1931679	0.507367	0.05795504	-0.3325574	-0.7372341	-0.964695	-0.3198817	-1.66605						
