#Study : TianlinLiu
#Date : 20180411 09:08:11
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:32:54.259 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254325	66			0	67	1	438	73	382	382	-2.041655	0	-4.130147	0	-1.146076	0	-2.684525	0	-0.04023748	0	-3.402868	0	-2.357451	0	-1.958638	0	-2.789176	0	2.531764	0	-2.041655	0	-0.04023748	0	0.835857	1.012447	-1.595354	0.0312123	-1.291346	-0.3693696	-5.622019	-2.223986	-0.8199001	-0.6035805	-1.830907	-1.587118	-1.220622	-1.02789	-0.7157426	-0.9886334	-1.124189	-1.387078	-3.351414	-2.441064						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254358	99			1	100	1	438	73	383	383	-2.008324	0	-4.058828	0	-1.200162	0	-2.816705	0	-0.02386949	0	-3.331776	0	-2.332081	0	-1.859766	0	-2.717325	0	2.514835	0	-2.008324	0	-0.02386949	0	0.8198895	0.9875604	-1.603234	0.02363306	-1.211555	-0.3222903	-5.527822	-2.188445	-0.7905201	-0.621004	-1.830315	-1.578561	-1.152094	-1.078187	-0.6951085	-0.9949388	-1.1407	-1.427899	-3.446201	-2.331127						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254392	133			2	133	1	438	73	384	384	-2.014777	0	-4.090714	0	-1.124318	0	-2.82055	0	-0.04576499	0	-3.335319	0	-2.334139	0	-1.889828	0	-2.761201	0	2.514702	0	-2.014777	0	-0.04576499	0	0.8366254	0.9981771	-1.609764	0.03137262	-1.20343	-0.3119359	-5.534408	-2.18653	-0.7841299	-0.6371689	-1.828567	-1.587085	-1.092967	-1.116893	-0.6872914	-0.9909719	-1.131251	-1.412177	-3.513485	-2.316804						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254425	166			3	167	1	439	74	381	381	-2.016065	0	-4.04911	0	-0.984889	0	-2.700872	0	-0.2578697	0	-3.214131	0	-2.33186	0	-1.911244	0	-2.803129	0	2.507725	0	-2.016065	0	-0.2578697	0	0.8671259	1.034003	-1.559133	-0.005344266	-1.212926	-0.3688579	-5.549775	-2.159992	-0.7875203	-0.6311485	-1.774822	-1.535418	-1.128413	-1.068504	-0.7008927	-1.032666	-1.037115	-1.305369	-3.36135	-2.334187						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254458	199			4	200	1	438	73	382	382	-1.931803	0	-4.073542	0	-1.054291	0	-2.739241	0	-0.1752949	0	-3.258095	0	-2.331398	0	-1.943454	0	-2.797311	0	2.503632	0	-1.931803	0	-0.1752949	0	0.8083014	0.9753534	-1.585496	-0.0169727	-1.219818	-0.356203	-5.504899	-2.14292	-0.7408515	-0.5912136	-1.740277	-1.524041	-1.116467	-1.04473	-0.6457763	-0.9738061	-1.045303	-1.289624	-3.335152	-2.374568						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254492	233			5	233	1	438	73	384	384	-1.495392	0	-4.07483	0	-0.6368321	0	-2.663985	0	-0.09601989	0	-2.975809	0	-2.43272	0	-2.103723	0	-2.98804	0	2.172262	0	-1.495392	0	-0.09601989	0	0.9841838	1.114488	-1.487515	0.1050767	-1.028795	-0.3196213	-5.417603	-1.87221	-0.5683487	-0.5979418	-1.703985	-1.485246	-0.9064308	-1.020389	-0.6024461	-0.9883118	-0.7306398	-1.075407	-3.313342	-2.084197						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254525	266			6	267	1	440	74	379	379	-2.097551	0	-3.933379	0	-0.1977419	0	-2.717882	0	-0.5091556	0	-2.662367	0	-2.326697	0	-2.089736	0	-3.094768	0	2.109364	0	-2.097551	0	-0.5091556	0	1.036601	1.189733	-1.346403	-0.05438559	-0.9409169	-0.383972	-5.123161	-1.868768	-0.6675244	-0.7960932	-1.582797	-1.231328	-0.6636887	-0.9353976	-0.64495	-1.249927	-0.6187422	-0.9069529	-3.392139	-1.83679						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254558	299			7	300	1	440	73	380	380	-1.855223	0	-3.989089	0	-0.2268657	0	-2.594989	0	-0.4328041	0	-2.546285	0	-2.284671	0	-2.116861	0	-3.114385	0	2.131187	0	-1.855223	0	-0.4328041	0	1.016906	1.160648	-1.323828	-0.05120005	-0.9235319	-0.3745236	-5.027957	-1.746843	-0.6121243	-0.7587249	-1.615064	-1.232293	-0.7394752	-0.7877428	-0.6448202	-1.299636	-0.4786152	-0.7975962	-3.155049	-1.764279						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254592	333			8	333	1	440	75	378	378	-1.723118	0	-4.092258	0	-0.2039116	0	-2.485871	0	-0.3506633	0	-2.66559	0	-2.348917	0	-2.14219	0	-3.129279	0	2.029533	0	-1.723118	0	-0.3506633	0	1.184884	1.348736	-1.287644	-0.08414897	-0.9278291	-0.4353451	-5.265471	-1.874931	-0.598412	-0.7183146	-1.620797	-1.27672	-0.9532661	-0.7273263	-0.7377566	-1.283892	-0.5971797	-0.9161466	-3.055096	-1.714612						
TianlinLiu	20180411	1b4e6e04c_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143254625	366			9	367	1	439	75	380	380	-1.636825	0	-3.981969	0	-0.6228524	0	-2.177247	0	-0.1883153	0	-2.492785	0	-2.023392	0	-1.408585	0	-2.481739	0	1.783419	0	-1.636825	0	-0.1883153	0	1.481553	1.642505	-1.074013	-0.7589784	-0.98338	-0.448606	-5.130563	-1.684543	-0.3389236	-0.6181283	-1.488547	-1.355976	-0.5680171	-0.4567765	-0.5576514	-0.8283265	-0.3326043	-0.7868865	-2.661261	-0.1684272						
