#Study : TianlinLiu
#Date : 20180411 09:05:27
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:56:47.814 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145647897	83			0	83	1	583	98	406	406	1.36869	0	-3.289828	0	-6.659851	0	-1.64857	0	-1.666509	0	0.4440699	0	-1.590503	0	-4.548074	0	-3.949449	0	-4.672069	0	1.36869	0	0.4440699	0	0.3571585	-0.4618976	-0.009876463	-3.271009	1.439581	-0.47024	-0.6057158	1.337173	1.573544	-0.5979774	-0.7516839	0.1589443	-2.670833	-0.636162	-1.001683	-0.8516572	-1.093427	-1.516757	-2.382768	1.175427						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145647939	125			1	125	1	585	106	395	395	1.267979	0	-3.518061	0	-6.923335	0	-1.75895	0	-1.774408	0	0.6633711	0	-1.773349	0	-4.597349	0	-4.22975	0	-4.464771	0	1.267979	0	0.6633711	0	0.5319801	-0.3146964	0.2499027	-3.305988	1.282201	-0.3844873	-0.4031349	1.274477	1.62003	-0.6572754	-0.7510306	0.1686026	-2.922424	-0.5553603	-1.085401	-0.8463495	-1.021655	-1.240322	-2.095672	2.132117						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145647980	166			2	167	1	588	109	397	397	1.44795	0	-3.854518	0	-8.272299	0	-2.324838	0	-2.19873	0	0.6918336	0	-2.030294	0	-5.234098	0	-4.647255	0	-5.439924	0	1.44795	0	0.6918336	0	0.476905	-0.4882471	0.2352888	-3.972059	1.601236	-0.259549	-0.1132021	1.414041	1.786444	-0.7436576	-0.7954475	0.1942572	-3.579255	-0.5895591	-1.175925	-0.9990882	-0.9853167	-1.281107	-2.392962	2.084975						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648022	208			3	209	1	583	102	426	426	0.9916295	0	-2.849597	0	-7.037944	0	-2.441893	0	-1.220389	0	0.5898507	0	-1.108739	0	-4.038525	0	-3.23279	0	-4.187748	0	0.9916295	0	0.5898507	0	0.166527	-0.7026545	0.1186328	-3.507237	1.753032	0.09271772	-0.3641635	1.407717	1.629641	-0.8039568	-0.3436533	0.487379	-1.824472	-0.6227991	-0.7769828	-0.5246192	-1.159203	-1.475042	-2.623524	1.730295						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648064	250			4	250	1	592	103	422	422	1.178873	0	-2.855668	0	-6.894327	0	-2.097284	0	-1.408429	0	0.3135565	0	-1.413737	0	-4.410098	0	-3.466458	0	-4.769753	0	1.178873	0	0.3135565	0	0.05477648	-0.8455018	-0.06683434	-3.368775	1.791629	-0.02919027	-0.5158503	1.350916	1.628942	-0.734522	-0.5453203	0.4164711	-2.142828	-0.7538251	-0.7956172	-0.6094201	-1.21461	-1.625527	-2.938106	0.6806102						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648105	291			5	292	1	596	100	418	418	1.534196	0	-3.01298	0	-6.895318	0	-1.954264	0	-1.584017	0	0.08618101	0	-2.089398	0	-4.790239	0	-3.811301	0	-5.082521	0	1.534196	0	0.08618101	0	-0.2675775	-0.9663177	-0.5063007	-3.351875	1.665023	-0.3488823	-0.6787483	1.216616	1.732541	-0.6614568	-0.9776385	0.1686964	-2.587246	-0.7661632	-0.8794742	-0.7467375	-1.174797	-1.558933	-2.724269	0.4092433						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648147	333			6	334	1	595	93	421	421	1.242263	0	-2.751966	0	-6.726009	0	-1.677731	0	-1.662667	0	0.322318	0	-2.363758	0	-4.766537	0	-3.858633	0	-5.219881	0	1.242263	0	0.322318	0	-0.4672768	-0.9928713	-0.4907224	-3.068593	1.486756	-0.3419602	-0.4927417	1.206439	1.621958	-0.7410722	-0.9919422	0.2037512	-2.552962	-0.5342319	-0.7255313	-0.6720564	-1.118112	-1.507258	-2.578547	0.2131819						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648189	375			7	375	1	600	92	419	419	1.496554	0	-3.263269	0	-7.021373	0	-1.572517	0	-2.084773	0	0.07804016	0	-2.425838	0	-5.181359	0	-4.283051	0	-5.440994	0	1.496554	0	0.07804016	0	-0.1019808	-0.8514354	-0.3219644	-3.022444	1.450682	-0.5093001	-0.6095462	1.312144	1.595591	-0.6733931	-0.9917681	0.1112762	-3.233947	-0.2920928	-0.9659126	-0.9034863	-0.9004653	-1.512738	-2.534936	0.1653603						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648231	417			8	417	1	603	87	422	422	1.401118	0	-2.933238	0	-6.500991	0	-1.280758	0	-1.781562	0	0.0888484	0	-2.096689	0	-4.652003	0	-3.865948	0	-4.861169	0	1.401118	0	0.0888484	0	-0.1018983	-0.9087115	-0.2782735	-2.715241	1.209256	-0.6028332	-0.685066	1.196795	1.395471	-0.5753826	-1.00902	0.07247555	-2.927232	-0.2456587	-0.9008098	-0.7919927	-0.9248131	-1.418643	-2.33504	0.2689372						
TianlinLiu	20180411	76eecf968__utterance_10	0	MALE	recording	TestImage	Emotient FACET	20180320_145648272	458			9	459	1	605	85	417	417	1.21755	0	-2.846689	0	-6.10867	0	-1.042037	0	-1.891873	0	0.07179872	0	-1.783755	0	-4.355886	0	-3.655377	0	-4.549631	0	1.21755	0	0.07179872	0	0.1623737	-0.7933343	-0.1644987	-2.563118	1.069429	-0.5818771	-0.7420017	1.058478	1.258825	-0.5307574	-1.029225	-0.03533539	-2.907683	-0.2071355	-0.9268454	-0.8005933	-0.9113892	-1.408213	-2.315557	0.3344385						
