#Study : TianlinLiuValidation
#Date : 20180411 09:26:10
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:24:40.358 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440424	66			0	67	0																																																						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440458	100			1	100	1	267	66	72	72	-1.909486	0	-1.320037	0	-0.8775994	0	-1.223031	0	-1.109036	0	-0.4558932	0	-1.250703	0	-0.5329687	0	-1.179363	0	-0.8828096	0	-1.909486	0	-0.4558932	0	-0.2654619	-0.4077313	-0.5057214	-1.729817	-1.87109	-1.68915	-1.411908	-0.9590119	-1.075098	-1.290212	-0.4669533	-1.007025	-1.324286	-0.2539762	-0.8345299	-0.9502567	-0.7916754	-0.7041028	-1.561055	2.104688						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440491	133			2	133	1	264	65	77	77	-0.7125216	0	-1.101768	0	-1.398903	0	-0.4619887	0	-0.1417951	0	0.6787263	0	-0.2125838	0	-0.3051452	0	-0.5405321	0	-0.1349505	0	-0.7125216	0	0.6787263	0	-0.3316453	-0.4222263	-0.2895803	-0.9645808	-1.122264	-1.284222	-0.9429684	0.1744692	-0.3745193	-0.4786761	-0.2650282	-0.3340669	-1.31865	0.2954263	-0.7639017	-0.3461508	-0.8327134	-1.203047	-0.06409818	1.796139						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440524	166			3	167	0																																																						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440558	200			4	200	0																																																						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440591	233			5	234	0																																																						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440624	266			6	267	1	261	65	80	80	0.3458344	0	-1.126207	0	-1.23714	0	-0.8012357	0	0.6105206	0	0.3681397	0	-0.3427196	0	-1.187248	0	-0.7396123	0	-0.9062332	0	0.3458344	0	0.6105206	0	-0.1000371	-0.2289123	-0.5521532	-1.277121	-0.5636399	-1.14077	-1.143908	0.3226103	0.241099	0.2972188	-0.3343031	0.2016695	-1.607992	-0.03857358	-0.2071243	0.5403337	-1.831079	-1.641445	0.9531698	1.952449						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440658	300			7	300	1	262	65	79	79	0.2704632	0	-0.7052218	0	-1.588374	0	-0.7122093	0	0.3345358	0	0.599763	0	0.07230366	0	-0.8614115	0	-0.4159825	0	-0.6669027	0	0.2704632	0	0.599763	0	-0.2408405	-0.3933166	-0.504315	-1.231154	-0.7502181	-1.20228	-1.003502	0.6019594	0.03290923	0.2468728	-0.2338841	0.5551076	-1.136393	-0.05796785	-0.02727615	0.7507703	-2.012977	-1.655928	1.206497	2.146893						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440691	333			8	334	1	259	64	82	82	0.1683547	0	-0.6761518	0	-2.584906	0	-0.9648673	0	0.3817186	0	0.6192852	0	-0.05185141	0	-0.8109406	0	-0.3672724	0	-0.7822561	0	0.1683547	0	0.6192852	0	-0.3472036	-0.3887671	-0.4566883	-1.336051	-0.5507504	-1.276182	-0.8707595	0.6903301	0.1513495	0.5246354	-0.1959105	1.080791	-1.448787	0.06168288	0.2901368	1.045276	-2.536921	-2.172825	1.078665	1.628783						
TianlinLiuValidation	20180411	4b93b8b75_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232440725	367			9	367	1	262	65	77	77	0.2687092	0	-0.9978959	0	-2.455503	0	-1.417774	0	0.7148957	0	0.4081706	0	-0.1678477	0	-0.4345621	0	-0.1080188	0	-0.5160142	0	0.2687092	0	0.7148957	0	-0.4427185	-0.5043005	-0.5613649	-1.572542	-0.7621815	-1.339253	-0.9224972	-0.1639981	0.1941201	0.2896146	-0.408132	0.1692141	-1.430781	0.305966	-0.3218874	0.4064961	-1.753231	-1.66504	0.7217162	1.686772						
