#Study : TianlinLiuValidation
#Date : 20180411 09:25:40
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:29:12.308 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912374	66			0	67	1	625	120	224	224	2.676244	0	-5.362745	0	-3.596031	0	-1.461659	0	-2.400676	0	-2.231514	0	-5.106432	0	-6.324889	0	-5.869415	0	-3.821684	0	2.676244	0	-1.461659	0	0.3612954	0.6560261	-1.269608	-0.8996521	0.1505395	0.03994537	-2.134781	-0.08484744	0.9325835	-0.343529	-0.7143793	-0.6368686	-3.966216	0.9897648	-0.6942632	-1.538124	1.894304	0.5369452	-1.013398	0.558126						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912408	100			1	100	1	627	117	223	223	3.006694	0	-5.207719	0	-4.106309	0	-1.615947	0	-2.695228	0	-2.210528	0	-5.127343	0	-5.94998	0	-5.349358	0	-3.82132	0	3.006694	0	-1.615947	0	0.01915588	0.2107704	-1.285972	-0.9041697	0.2674686	0.2316447	-2.133011	0.02338501	0.8929735	-0.3731887	-0.6594555	-0.6140583	-4.515593	1.42246	-0.6294465	-1.5061	1.902475	0.4313887	-1.08109	0.2460272						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912441	133			2	133	1	627	114	222	222	2.866622	0	-4.865326	0	-3.525058	0	-1.386811	0	-1.893969	0	-2.363873	0	-4.820515	0	-5.577184	0	-4.901787	0	-3.611139	0	2.866622	0	-1.386811	0	-0.04824333	0.1589327	-1.284766	-0.7768522	0.2847542	0.1531858	-2.015667	-0.1323145	0.9036131	-0.2322382	-0.7139324	-0.501267	-3.58308	1.399088	-0.5084045	-1.262505	1.654949	0.3708198	-1.035836	0.1542073						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912474	166			3	167	1	627	111	223	223	2.983706	0	-5.205908	0	-3.423885	0	-1.151506	0	-2.538151	0	-2.440027	0	-5.052862	0	-6.152945	0	-5.492235	0	-3.951508	0	2.983706	0	-1.151506	0	-0.0800219	0.1716022	-1.257144	-0.7363655	0.2380846	0.04514746	-2.080588	0.05198259	0.9319592	-0.293615	-0.7082849	-0.5905759	-4.113711	1.427117	-0.5786995	-1.422251	1.844476	0.4155352	-1.134175	-0.3776999						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912507	199			4	200	1	626	110	221	221	2.901056	0	-5.32831	0	-3.676045	0	-1.58117	0	-2.291921	0	-2.50381	0	-4.884571	0	-5.944067	0	-5.348005	0	-4.063107	0	2.901056	0	-1.58117	0	0.09336646	0.3212742	-1.229628	-1.196658	0.4998394	0.1260529	-2.108275	0.08621866	1.107433	-0.06781322	-0.7144989	-0.552139	-4.051425	1.177433	-0.5253085	-1.325057	1.800723	0.4665504	-0.8479409	-0.2614922						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912541	233			5	233	1	626	110	219	219	3.200312	0	-5.431885	0	-4.246441	0	-1.967582	0	-2.44715	0	-2.760184	0	-5.211617	0	-5.84292	0	-5.430012	0	-3.838402	0	3.200312	0	-1.967582	0	0.04470618	0.2857176	-1.313311	-1.470339	0.447507	-0.01267056	-2.04942	0.105128	1.104746	-0.03082788	-0.8562725	-0.7170153	-4.258718	1.227261	-0.6450837	-1.358908	1.667879	0.3428336	-0.9406829	-0.5909027						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912574	266			6	267	1	623	110	222	222	3.522489	0	-5.57833	0	-4.278344	0	-2.181439	0	-3.099929	0	-2.780764	0	-5.403954	0	-6.323049	0	-5.939076	0	-4.040484	0	3.522489	0	-2.181439	0	-0.02537145	0.2052955	-1.224306	-1.198662	0.8787599	0.106656	-1.868841	0.4896745	1.478398	-0.08174344	-0.571133	-0.914788	-4.804441	0.9643309	-0.5641618	-1.42267	1.794285	0.2966051	-1.150896	-0.7669502						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912607	299			7	300	1	624	112	218	218	3.549598	0	-5.328661	0	-4.563209	0	-2.440324	0	-2.78462	0	-2.644125	0	-5.403971	0	-6.213598	0	-5.838692	0	-4.041366	0	3.549598	0	-2.440324	0	0.06429447	0.2941717	-1.228263	-1.438689	1.064102	0.3117927	-1.792463	0.5176572	1.524384	-0.06516138	-0.3931765	-0.6639964	-4.286371	0.6072393	-0.4865792	-1.305852	1.308086	-0.1182036	-1.233071	-0.8214321						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912641	333			8	333	1	616	110	229	229	3.240217	0	-4.971981	0	-4.016004	0	-2.543491	0	-2.43031	0	-2.784961	0	-4.743115	0	-5.789758	0	-5.182865	0	-3.613174	0	3.240217	0	-2.43031	0	-0.1890521	0.05609559	-1.176623	-1.343822	1.191946	0.1281149	-2.221011	0.3612006	1.769865	-0.7920312	-0.3753603	-0.9784555	-4.192413	-0.4349214	-0.6236916	-1.35908	1.02388	-0.1813459	-2.279838	-0.6617245						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912674	366			9	367	1	621	113	224	224	3.507132	0	-5.130428	0	-4.187668	0	-2.53559	0	-3.306082	0	-2.712945	0	-5.216693	0	-6.026033	0	-5.590753	0	-4.09597	0	3.507132	0	-2.53559	0	-0.05550897	0.1615236	-1.104738	-1.556316	1.067237	0.1501158	-1.866005	0.5525219	1.69751	-0.5680929	-0.3416588	-0.9031246	-4.583787	-0.1693607	-0.623481	-1.424762	1.292807	-0.1163144	-1.907317	-0.5831235						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912707	399			10	400	1	626	118	218	218	3.447666	0	-5.177619	0	-4.345632	0	-2.490414	0	-3.211413	0	-2.578612	0	-5.208413	0	-5.684896	0	-5.718548	0	-4.044804	0	3.447666	0	-2.490414	0	-0.08709097	0.09778979	-0.9769832	-1.839689	0.7983725	-0.1058012	-1.791561	0.5379774	1.497506	-0.4918881	-0.1642341	-0.5173618	-4.005657	0.1283315	-0.6010185	-1.324981	1.133969	-0.1620967	-1.393023	-0.3311193						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912741	433			11	433	1	620	119	228	228	2.611894	0	-4.464184	0	-4.083117	0	-2.553375	0	-1.760967	0	-2.75718	0	-3.249738	0	-4.83292	0	-4.14484	0	-2.85684	0	2.611894	0	-1.760967	0	0.1137126	0.1883772	-0.5928117	-1.749922	0.7791447	-0.2958415	-2.667226	0.4392647	1.510643	-0.9695619	-0.9585505	-0.8403299	-2.527314	-0.7145308	-0.7200398	-0.7259508	0.5123784	-0.5480432	-2.654319	-0.1400182						
TianlinLiuValidation	20180411	7b3904aa4_1___utterance_2	0	MALE	a	TestImage	Emotient FACET	20180325_232912774	466			12	467	1	626	129	220	220	2.592993	0	-4.815535	0	-4.16048	0	-2.535767	0	-0.9186829	0	-2.621913	0	-3.196399	0	-4.721261	0	-4.323851	0	-3.034248	0	2.592993	0	-0.9186829	0	0.3687918	0.5124831	-0.5930349	-1.998855	0.8212622	-0.3172161	-2.788266	0.5450572	1.515698	-0.8620219	-0.678101	-0.6750005	-2.206371	-0.6124592	-0.7041086	-0.4892469	0.2049666	-0.6289663	-2.334781	-0.09681586						
