#Study : TianlinLiu
#Date : 20180411 09:05:25
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:57:03.063 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703129	66			0	67	1	232	67	90	90	3.344968	0	-3.642235	0	-3.824777	0	-1.460798	0	-2.506417	0	-2.101442	0	-3.342601	0	-4.453877	0	-3.336534	0	-4.155305	0	3.344968	0	-1.460798	0	-0.3658456	-0.8549948	-0.5844053	-1.225285	0.9736925	0.01014489	-1.19772	0.4119189	1.750415	0.2864027	-0.931639	-0.4475135	-4.049627	-0.4584556	-0.2050481	-0.2509107	0.002870568	-0.2792717	-0.9163287	-1.550963						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703163	100			1	100	1	232	66	90	90	3.265411	0	-3.508688	0	-3.927421	0	-1.466409	0	-2.722481	0	-2.052689	0	-3.291636	0	-4.448653	0	-3.270318	0	-4.333947	0	3.265411	0	-1.466409	0	-0.4313148	-0.886983	-0.4509327	-1.28985	0.9571291	0.03376329	-1.066909	0.4788804	1.752255	0.3105683	-0.9249589	-0.3360171	-4.158054	-0.4206972	-0.1605756	-0.228449	0.02863439	-0.2042585	-0.7180615	-1.652549						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703196	133			2	133	1	231	66	91	91	3.050072	0	-3.55746	0	-3.886439	0	-1.426298	0	-2.74595	0	-1.911213	0	-3.152204	0	-4.576804	0	-3.469606	0	-4.359778	0	3.050072	0	-1.426298	0	-0.4193294	-0.8627407	-0.4075252	-1.321402	1.009164	-0.004184346	-0.9134929	0.5628398	1.730448	0.2230127	-0.8123634	-0.2442863	-4.090938	-0.4774496	-0.1907215	-0.289574	0.08226528	-0.2254744	-0.9076569	-1.679811						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703229	166			3	167	1	230	66	91	91	3.002967	0	-3.567408	0	-3.770206	0	-1.431636	0	-2.764804	0	-1.79885	0	-3.177431	0	-4.463474	0	-3.496906	0	-4.112196	0	3.002967	0	-1.431636	0	-0.4369195	-0.8497851	-0.4520601	-1.362225	1.051767	-0.0130553	-0.8341047	0.569902	1.70445	0.1183056	-0.7616813	-0.3278486	-4.026075	-0.5001472	-0.2407721	-0.4294319	0.08477024	-0.2184991	-1.069667	-1.63502						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703263	200			4	200	1	231	67	90	90	3.161506	0	-3.616898	0	-3.720973	0	-1.445228	0	-3.084319	0	-2.02361	0	-3.33188	0	-4.642632	0	-3.588	0	-4.546725	0	3.161506	0	-1.445228	0	-0.4640863	-0.8130761	-0.3088175	-1.314374	1.029883	0.1773854	-0.8231798	0.4922642	1.810872	0.3603452	-0.6559141	-0.252979	-4.176324	-0.3221522	-0.1864613	-0.4068233	0.2880249	-0.05061269	-0.832702	-1.658968						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703296	233			5	234	1	232	67	90	90	3.132434	0	-3.584864	0	-3.841313	0	-1.468937	0	-3.337112	0	-1.883907	0	-3.454946	0	-4.910627	0	-3.772682	0	-4.708001	0	3.132434	0	-1.468937	0	-0.5137507	-0.8270668	-0.2877137	-1.297833	1.051135	0.167866	-0.7956915	0.5878103	1.805165	0.2234947	-0.5987108	-0.233664	-4.492723	-0.3333411	-0.3021598	-0.5230746	0.3597335	-0.01620234	-0.9396014	-1.755794						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703329	266			6	267	1	234	66	92	92	2.746943	0	-3.206618	0	-3.861278	0	-1.210161	0	-3.711357	0	-1.511543	0	-3.338146	0	-4.822549	0	-3.560919	0	-4.765566	0	2.746943	0	-1.210161	0	-0.3651953	-0.8446232	-0.2395067	-1.228884	1.046064	0.1236241	-0.7649477	0.7344868	1.594594	-0.1794398	-0.6939899	-0.4615304	-4.645192	-0.2283134	-0.2845624	-0.6389811	0.7105032	0.08538882	-0.9897035	-1.695179						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703363	300			7	300	1	238	66	94	94	3.085453	0	-3.705592	0	-4.132517	0	-1.502145	0	-3.321107	0	-1.971334	0	-3.650571	0	-4.937524	0	-3.878498	0	-4.356324	0	3.085453	0	-1.502145	0	-0.2936135	-0.7859363	-0.6512178	-0.8902324	1.287902	-0.0209579	-0.9907802	0.6834176	1.747564	-0.5935856	-1.029213	-0.7891763	-4.144101	-0.2238991	-0.3171179	-0.7956246	0.8692291	-0.2087129	-1.459813	-2.166939						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703396	333			8	334	1	241	64	97	97	3.207354	0	-4.318903	0	-5.032042	0	-1.695199	0	-3.393471	0	-2.359606	0	-3.386509	0	-5.12362	0	-4.127007	0	-4.805225	0	3.207354	0	-1.695199	0	-0.5319619	-0.9684907	-0.5077953	-0.9494988	1.644278	0.1016079	-1.29742	0.5140175	1.861972	-0.758563	-1.140405	-1.082869	-4.981472	-0.301304	-0.7431731	-1.046959	0.6240789	-0.5651927	-1.605611	-2.953962						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703430	367			9	367	1	249	64	94	94	2.53271	0	-3.482701	0	-3.959357	0	-0.9445271	0	-2.525377	0	-1.725291	0	-2.235288	0	-4.109056	0	-3.467934	0	-3.147517	0	2.53271	0	-0.9445271	0	-0.3334355	-0.7072718	-0.5145204	-0.7334947	1.461632	0.2093557	-1.333277	0.5680094	1.56763	-0.7353454	-0.4183258	-0.938668	-3.790793	0.1264152	-0.333026	-1.012652	0.7919509	-0.3436504	-1.537582	-3.02825						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703463	400			10	400	1	253	64	94	94	1.918508	0	-2.626181	0	-3.454537	0	-0.548878	0	-2.048099	0	-1.289579	0	-1.786161	0	-3.090065	0	-2.470848	0	-2.552568	0	1.918508	0	-0.548878	0	-0.2583341	-0.5793321	-0.3988777	-0.6119063	1.226638	0.2111854	-1.369339	0.6937585	1.333871	-0.4948286	-0.3761601	-0.8205328	-3.206089	-0.1090164	-0.03657619	-0.7385958	0.4116248	-0.5318771	-1.518084	-2.544427						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703496	433			11	434	1	256	64	93	93	1.634306	0	-2.028382	0	-3.126177	0	-0.5938364	0	-1.468809	0	-1.160261	0	-1.343667	0	-2.324838	0	-1.698365	0	-1.545761	0	1.634306	0	-0.5938364	0	-0.1834829	-0.5262789	-0.6104173	-0.6383609	0.8802928	-0.06244196	-1.399062	0.7693179	1.030496	-0.3051606	-0.2864369	-0.6203297	-2.467176	-0.6615959	0.1180812	-0.2921946	-0.2781615	-0.8387141	-1.369861	-2.2779						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703530	467			12	467	1	257	65	91	91	1.317429	0	-2.094734	0	-2.66787	0	-0.262562	0	-1.671888	0	-1.178103	0	-1.442556	0	-2.714394	0	-1.902271	0	-1.463995	0	1.317429	0	-0.262562	0	-0.2543242	-0.5912974	-0.5029455	-0.6364517	0.549997	-0.06593812	-1.711556	0.5492527	0.7280095	-0.3966073	-0.3274572	-0.5634899	-2.435741	-0.4785219	-0.09886046	-0.3689928	-0.2930238	-0.6916659	-1.1762	-2.59935						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703563	500			13	500	1	255	65	93	93	1.318365	0	-2.18344	0	-2.426048	0	-0.455553	0	-1.27927	0	-0.9507284	0	-1.161831	0	-2.29384	0	-1.87733	0	-1.140227	0	1.318365	0	-0.455553	0	-0.1325916	-0.5036013	-0.5339172	-0.5656425	0.6848872	-0.1076981	-1.572281	0.7241162	0.7564589	-0.5953479	-0.3441241	-0.8021794	-2.262585	-0.7426667	-0.1765772	-0.6708766	-0.2230419	-0.7642121	-1.682444	-2.280114						
TianlinLiu	20180411	78a906313_10__utterance_119	0	MALE	recording	TestImage	Emotient FACET	20180320_145703596	533			14	534	1	254	66	93	93	0.5255983	0	-1.636052	0	-2.600247	0	-0.3598267	0	-1.004728	0	-0.9013153	0	-0.7290537	0	-1.572071	0	-1.340791	0	-0.9894879	0	0.5255983	0	-0.3598267	0	-0.07107312	-0.4416707	-0.09526095	-0.5030208	0.7158453	0.1771056	-1.6312	0.345446	0.4967385	-0.3865952	-0.3407784	-0.7338764	-1.71278	-0.7374766	0.04638734	-0.3674869	-0.4068927	-0.6142254	-1.470156	-2.523105						
