#Study : TianlinLiu
#Date : 20180411 09:08:10
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:33:12.533 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143312733	200			0	200	1	337	104	403	403	-1.476	0	-1.823542	0	-0.1658442	0	-1.523479	0	0.1579849	0	-2.468768	0	-2.074332	0	-1.070029	0	-1.031797	0	1.297128	0	-1.476	0	0.1579849	0	-0.646095	-0.4107801	-0.9462882	-1.248091	-2.239111	-1.357475	-2.962174	-1.482643	-1.071014	-0.4974192	-1.826921	-0.8043477	0.1171243	-0.6488503	-1.212434	-0.6877205	-0.05607833	0.6881158	-0.1801367	0.6807043						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143312833	300			1	300	1	339	106	402	402	-1.76281	0	-2.02021	0	-0.3286808	0	-1.731167	0	0.1686303	0	-2.455888	0	-1.930047	0	-1.268091	0	-1.211501	0	1.396206	0	-1.76281	0	0.1686303	0	-0.6406628	-0.4280231	-0.9350666	-1.443342	-2.354361	-1.475245	-2.946253	-1.444973	-1.171474	-0.6060452	-1.679235	-0.7465277	0.1762862	-0.7240709	-1.356372	-0.6998743	-0.1883334	0.6470723	-0.2255265	1.129504						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143312933	400			2	400	1	337	106	406	406	-1.790213	0	-2.252007	0	-0.8574327	0	-1.75868	0	0.02492876	0	-2.392081	0	-1.58191	0	-1.142171	0	-1.265455	0	1.64334	0	-1.790213	0	0.02492876	0	-0.6205645	-0.4939224	-0.9033868	-1.703304	-2.405368	-1.462511	-2.905598	-1.360118	-1.185421	-0.6664678	-1.464372	-0.5988154	-0.02915551	-0.5716628	-1.552844	-0.5430562	-0.3857708	0.467739	-0.3526246	1.914359						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313033	500			3	500	1	339	106	402	402	-1.873483	0	-1.668901	0	-0.9345225	0	-1.934902	0	0.1394965	0	-2.148903	0	-1.657081	0	-0.8322921	0	-0.8288418	0	1.451919	0	-1.873483	0	0.1394965	0	-0.7358249	-0.5972559	-0.8215722	-1.580347	-2.177617	-1.311469	-2.66604	-1.398477	-1.206918	-0.632598	-1.547837	-0.5814686	0.1961984	-0.7178002	-1.368006	-0.5433505	-0.4363102	0.4949935	-0.2615266	1.218321						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313133	600			4	601	1	337	105	404	404	-2.220607	0	-1.153352	0	-0.9641541	0	-1.678844	0	0.07914343	0	-2.161077	0	-1.771551	0	-0.4199456	0	-0.5718154	0	1.231009	0	-2.220607	0	0.07914343	0	-0.8777452	-0.7510917	-0.6972308	-1.219878	-1.95315	-1.066575	-2.6516	-1.413997	-1.144319	-0.6314076	-1.579063	-0.5806432	0.2758391	-0.7536694	-1.278117	-0.4356147	-0.4898136	0.3248563	-0.411635	0.6977865						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313233	700			5	701	1	333	104	408	408	-2.307518	0	-0.9471993	0	-1.307095	0	-1.575344	0	-0.08544294	0	-1.966537	0	-1.827247	0	0.1190672	0	-0.3719269	0	1.106097	0	-2.307518	0	-0.08544294	0	-0.954161	-0.9258179	-0.4340066	-1.226464	-1.674328	-0.7724648	-2.505044	-1.337176	-1.061525	-0.6745563	-1.789376	-0.7042311	0.2219806	-0.7116037	-1.362057	-0.506991	-0.4752316	0.1029341	-0.6579461	0.372365						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313333	800			6	801	1	330	104	408	408	-1.970489	0	-0.7678873	0	-1.217496	0	-1.51284	0	0.001136378	0	-1.603765	0	-1.748834	0	0.1228261	0	-0.2492751	0	0.9079166	0	-1.970489	0	0.001136378	0	-0.8842124	-0.9067626	-0.3635003	-1.188489	-1.503048	-0.6621429	-2.233756	-1.122859	-0.9060131	-0.5225917	-1.633242	-0.4634284	0.1896978	-0.7317148	-1.205826	-0.3308579	-0.4398721	0.1184474	-0.4915818	0.3669528						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313433	900			7	901	1	329	104	406	406	-1.914631	0	-0.7145573	0	-1.106185	0	-1.589018	0	0.02556977	0	-1.602575	0	-1.73272	0	0.06199734	0	-0.264017	0	0.8398401	0	-1.914631	0	0.02556977	0	-0.8655523	-0.8915401	-0.3841974	-1.216493	-1.58788	-0.6978945	-2.197479	-1.156607	-0.9198113	-0.4606242	-1.620779	-0.4429257	0.2638035	-0.7801273	-1.203232	-0.2982418	-0.4083886	0.1857985	-0.4665402	0.4307663						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313534	1001			8	1001	1	326	104	403	403	-1.586986	0	-0.8818657	0	-0.946874	0	-1.73208	0	0.2587411	0	-1.555679	0	-1.656313	0	-0.2906874	0	-0.3995555	0	0.8932561	0	-1.586986	0	0.2587411	0	-0.9304512	-0.9034261	-0.4799194	-1.270787	-1.624333	-0.8256541	-2.022508	-1.156771	-0.8560916	-0.3394246	-1.560494	-0.3254142	0.4268495	-0.7746497	-1.065358	-0.1331853	-0.4043913	0.2442965	-0.207416	0.6151801						
TianlinLiu	20180411	1b6b8344c_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_143313634	1101			9	1101	1	330	110	388	388	-1.507449	0	-2.003483	0	-1.894592	0	-2.240015	0	0.4404685	0	-2.109317	0	-1.612609	0	-1.034451	0	-0.8074954	0	1.690421	0	-1.507449	0	0.4404685	0	-0.9157441	-0.8491828	-0.8629047	-2.164601	-2.284515	-1.709177	-2.674721	-1.255752	-0.9605931	-0.3186245	-1.435704	-0.1667902	0.2167999	-0.5906417	-1.080687	-0.3819418	-0.8587763	0.05399116	-0.08169103	1.573323						
