#Study : TianlinLiu
#Date : 20180411 09:05:00
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:00.156 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000239	83			0	83	1	208	72	53	53	4.444801	0	-6.057999	0	-6.621152	0	-2.790013	0	-2.615111	0	-3.573479	0	-5.285566	0	-7.472512	0	-5.319995	0	-7.354825	0	4.444801	0	-2.615111	0	-0.6452514	-0.6278604	-1.738992	-2.02203	1.2388	-0.613192	-2.947711	-0.2639742	2.530016	0.04667763	-2.093835	-1.055558	-5.703486	-0.05468577	-1.382872	-1.018778	-0.1816991	-0.5961158	-2.168814	-1.23237						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000281	125			1	125	1	208	72	53	53	4.309916	0	-6.014212	0	-6.57327	0	-2.692699	0	-2.505128	0	-3.535777	0	-5.144365	0	-7.399841	0	-5.269979	0	-7.278293	0	4.309916	0	-2.505128	0	-0.6804612	-0.6591505	-1.73743	-1.999561	1.197808	-0.6445749	-2.923629	-0.2891746	2.484071	0.09739517	-2.008442	-0.9581814	-5.652246	-0.03360688	-1.401726	-0.976526	-0.2812433	-0.5949104	-2.090644	-1.248252						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000322	166			2	167	1	208	72	53	53	4.170664	0	-5.930258	0	-6.487014	0	-2.563194	0	-2.420501	0	-3.428539	0	-4.993735	0	-7.31028	0	-5.178513	0	-7.113761	0	4.170664	0	-2.420501	0	-0.7057928	-0.6469389	-1.76003	-1.97139	1.098521	-0.6971762	-2.914256	-0.3095671	2.429017	0.1316414	-1.942364	-0.8548034	-5.590027	0.01765198	-1.432447	-0.9304523	-0.4013687	-0.6241347	-1.994923	-1.221066						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000364	208			3	208	1	208	71	54	54	4.269889	0	-5.706225	0	-6.565773	0	-2.757764	0	-2.731531	0	-3.200472	0	-5.047636	0	-7.13664	0	-5.081585	0	-6.855588	0	4.269889	0	-2.731531	0	-0.803045	-0.6392906	-1.808285	-2.028124	1.158652	-0.5758607	-2.774993	-0.3571955	2.484362	-0.02919785	-2.006685	-0.8644187	-5.705817	-0.1474322	-1.418007	-0.9012095	-0.4544019	-0.7182835	-1.892593	-1.120014						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000405	249			4	250	1	208	71	53	53	4.363336	0	-6.034663	0	-6.660048	0	-2.940613	0	-2.528577	0	-3.628668	0	-5.315825	0	-7.514444	0	-5.466848	0	-7.20516	0	4.363336	0	-2.528577	0	-0.8289286	-0.6851786	-1.859849	-2.025249	1.302799	-0.5645075	-2.872486	-0.2686656	2.53222	-0.01826439	-1.875286	-0.9311835	-5.85161	-0.2554381	-1.472512	-1.002555	-0.3341919	-0.6025955	-2.124104	-1.245907						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000447	291			5	292	1	208	71	53	53	4.096848	0	-5.302934	0	-6.32008	0	-2.646238	0	-2.300729	0	-3.082932	0	-4.612134	0	-6.56229	0	-4.533608	0	-6.229807	0	4.096848	0	-2.300729	0	-0.8555247	-0.7474825	-1.757793	-2.117449	1.133292	-0.6592922	-2.906324	-0.3331392	2.336188	0.09786714	-1.845349	-0.6739513	-5.323088	-0.156111	-1.341813	-0.7843042	-0.7196242	-0.8571519	-1.708089	-1.104359						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000489	333			6	333	1	208	71	53	53	4.212665	0	-5.328208	0	-6.282547	0	-2.693526	0	-2.445333	0	-3.035148	0	-4.625162	0	-6.55785	0	-4.539205	0	-6.217783	0	4.212665	0	-2.445333	0	-0.8272356	-0.7132146	-1.782789	-2.147927	1.145287	-0.6473256	-2.948494	-0.2922945	2.389505	0.05591495	-1.852251	-0.7066858	-5.301391	-0.2266265	-1.331731	-0.800408	-0.7348574	-0.8696797	-1.764159	-1.134521						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000530	374			7	375	1	208	71	53	53	4.065947	0	-5.037933	0	-6.332166	0	-2.581111	0	-2.359052	0	-2.835812	0	-4.406594	0	-6.341852	0	-4.254529	0	-6.032502	0	4.065947	0	-2.359052	0	-0.8671611	-0.7159722	-1.788942	-2.240028	1.102216	-0.731608	-2.899837	-0.3020132	2.37947	0.1245552	-1.828784	-0.5542293	-5.199698	-0.2002941	-1.19728	-0.6193925	-0.9320785	-1.020497	-1.514939	-1.02989						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000572	416			8	417	1	207	71	54	54	3.794293	0	-4.535729	0	-6.341693	0	-2.796106	0	-1.994434	0	-2.450554	0	-4.095387	0	-5.306029	0	-3.574398	0	-5.235356	0	3.794293	0	-1.994434	0	-1.023275	-0.9290699	-1.555734	-2.21117	1.026006	-0.547229	-2.558961	-0.45644	2.172735	0.2003126	-2.135244	-0.6719724	-4.629598	-0.08671813	-1.020783	-0.4540816	-1.084579	-1.110631	-1.338778	-0.8451806						
TianlinLiu	20180411	86f364c1c_1__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_150000614	458			9	458	1	207	70	54	54	3.520325	0	-4.254858	0	-5.744233	0	-2.533345	0	-1.614137	0	-2.297524	0	-3.834099	0	-5.025276	0	-3.278737	0	-4.879749	0	3.520325	0	-1.614137	0	-0.9971844	-0.927819	-1.458287	-1.983632	0.9560004	-0.5851808	-2.549659	-0.3886817	1.996842	0.192994	-1.951395	-0.5883682	-4.158438	-0.155812	-1.036194	-0.4891914	-1.078944	-1.124682	-1.485815	-0.7932239						
