#Study : TianlinLiu
#Date : 20180411 09:04:59
#Version : 6.3.5761.0
#TestRunDate : 20180320 15:00:09.401 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009467	66			0	67	1	140	231	84	84	-0.6630319	0	-2.767184	0	-0.000385314	0	-1.469095	0	-0.1744033	0	-0.8279216	0	0.2482441	0	-1.635697	0	-2.030277	0	1.489565	0	-0.6630319	0	0.2482441	0	1.37697	1.318945	-0.700327	-2.040028	-1.268212	-1.371865	-3.144901	0.2510328	-0.5121476	-0.8198028	-0.6435426	-0.4452122	0.104388	-1.487479	-0.3958644	-0.3318307	-1.376253	-1.441414	-1.958233	2.548009						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009501	100			1	100	1	140	231	85	85	-0.7018149	0	-2.72701	0	-0.1420848	0	-1.459048	0	-0.1842491	0	-0.7957553	0	0.2610199	0	-1.562428	0	-1.957011	0	1.529508	0	-0.7018149	0	0.2610199	0	1.311626	1.265268	-0.5799391	-2.063114	-1.247447	-1.400279	-3.021392	0.1986756	-0.5001359	-0.8544933	-0.7521769	-0.5137664	0.1134774	-1.382422	-0.4823071	-0.3785928	-1.253193	-1.364399	-1.906957	2.60238						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009534	133			2	134	1	139	231	85	85	-0.6877861	0	-2.727259	0	-0.1495132	0	-1.474676	0	-0.1808178	0	-0.7926713	0	0.2008574	0	-1.587784	0	-1.971592	0	1.55741	0	-0.6877861	0	0.2008574	0	1.251532	1.237649	-0.5889547	-2.058781	-1.226964	-1.392982	-2.990669	0.1876427	-0.4906858	-0.8477486	-0.790279	-0.5309497	0.1122338	-1.377496	-0.466355	-0.3695831	-1.233349	-1.355836	-1.895033	2.60529						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009568	167			3	167	1	139	230	85	85	-0.5958933	0	-2.752015	0	-0.09372714	0	-1.580064	0	-0.1531375	0	-0.8346248	0	0.1585036	0	-1.612606	0	-1.999066	0	1.558319	0	-0.5958933	0	0.1585036	0	1.257231	1.276697	-0.7039958	-2.020154	-1.153173	-1.295753	-3.017641	0.2288887	-0.4762548	-0.8266228	-0.8720683	-0.5530272	0.1064451	-1.54844	-0.3975153	-0.3179277	-1.285878	-1.436473	-1.997434	2.599692						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009601	200			4	201	1	139	230	86	86	-0.4761318	0	-2.78271	0	-0.2048522	0	-1.665461	0	-0.05596244	0	-0.7642097	0	0.03174643	0	-1.677762	0	-2.011225	0	1.680103	0	-0.4761318	0	0.03174643	0	1.097567	1.154001	-0.7525204	-2.10934	-1.176063	-1.350364	-2.969171	0.1957398	-0.4800988	-0.8082648	-0.9448047	-0.5824427	0.1354925	-1.469504	-0.4377179	-0.3750549	-1.315892	-1.437361	-1.943185	2.636533						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009634	233			5	234	1	139	230	86	86	-0.5528798	0	-2.777661	0	-0.3038534	0	-1.778809	0	-0.1090904	0	-0.7412543	0	-0.04234525	0	-1.683877	0	-2.037735	0	1.739741	0	-0.5528798	0	-0.04234525	0	1.022335	1.078663	-0.8065341	-2.147147	-1.195886	-1.344818	-2.966988	0.1698427	-0.5118951	-0.8671882	-0.9707471	-0.6392156	0.1502659	-1.390304	-0.4614268	-0.4329088	-1.248212	-1.372001	-1.95737	2.770593						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009668	267			6	267	1	138	230	86	86	-0.6233328	0	-2.769733	0	-0.3760423	0	-1.509021	0	-0.1106979	0	-0.7689167	0	0.1508895	0	-1.587412	0	-1.972189	0	1.64406	0	-0.6233328	0	0.1508895	0	1.101696	1.120143	-0.5978159	-2.096767	-1.127652	-1.347591	-2.892965	0.09917669	-0.4781166	-0.843511	-1.010308	-0.6559544	0.1654763	-1.293381	-0.5495706	-0.4378094	-1.145364	-1.334484	-1.993276	2.754487						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009701	300			7	301	1	138	230	86	86	-0.6247619	0	-2.883608	0	-0.2855027	0	-1.507776	0	-0.1341166	0	-0.8688436	0	0.1116019	0	-1.725466	0	-2.095865	0	1.585135	0	-0.6247619	0	0.1116019	0	1.207821	1.229098	-0.667792	-2.059819	-1.158155	-1.340697	-3.010118	0.1168432	-0.4721426	-0.8486504	-0.967104	-0.6157917	0.1221391	-1.35362	-0.5181402	-0.4163866	-1.235299	-1.406955	-2.06035	2.758894						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009735	334			8	334	1	139	231	85	85	-0.7513261	0	-2.832443	0	-0.2677763	0	-1.740439	0	-0.1655412	0	-0.8703033	0	0.187586	0	-1.566973	0	-2.047704	0	1.671235	0	-0.7513261	0	0.187586	0	1.158338	1.158995	-0.7419142	-2.138274	-1.269344	-1.405052	-3.02082	0.2539983	-0.6153063	-0.8780803	-0.7175034	-0.5417536	0.1055766	-1.324205	-0.5202572	-0.4130092	-1.329305	-1.430751	-1.96537	2.660409						
TianlinLiu	20180411	89bb539ca_1__utterance_3	0	MALE	recording	TestImage	Emotient FACET	20180320_150009768	367			9	368	1	139	231	85	85	-0.8539495	0	-2.872321	0	-0.3269064	0	-1.758683	0	-0.1639044	0	-0.9154063	0	0.2435201	0	-1.559479	0	-2.041774	0	1.662025	0	-0.8539495	0	0.2435201	0	1.195789	1.176773	-0.7270223	-2.17468	-1.255157	-1.394787	-3.058397	0.2728837	-0.6360727	-0.894458	-0.7497398	-0.5438429	0.1281591	-1.391947	-0.5070035	-0.4005442	-1.33911	-1.455784	-2.026156	2.621435						
