#Study : TianlinLiu
#Date : 20180411 09:08:47
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:27:58.096 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758162	66			0	67	1	194	152	241	241	-3.809526	0	-1.022343	0	-2.407371	0	-0.9180266	0	-0.7539754	0	-1.202703	0	0.1658009	0	1.220213	0	-0.5247924	0	0.6415112	0	-3.809526	0	0.1658009	0	-0.06757731	-0.7216913	0.4588099	-0.9708878	-0.4548099	-0.4065351	-1.923585	0.1614651	-0.8214658	-1.103348	-0.2777167	-0.4260547	0.2721074	-0.1732999	-1.180206	-0.6917003	-1.128863	-1.281557	-2.976917	0.1616464						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758196	100			1	100	1	194	152	240	240	-3.788322	0	-1.022539	0	-2.280797	0	-0.9407865	0	-0.7504127	0	-1.260877	0	0.08826321	0	1.180534	0	-0.534825	0	0.7294083	0	-3.788322	0	0.08826321	0	-0.0843826	-0.6607647	0.3461528	-0.953751	-0.5345092	-0.4606596	-1.99521	0.1427982	-0.8577671	-1.113555	-0.3008717	-0.4436297	0.2523831	-0.2268272	-1.18218	-0.6828362	-1.147246	-1.245966	-2.9909	0.1388943						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758229	133			2	133	1	193	153	241	241	-4.098675	0	-1.024815	0	-2.410615	0	-0.8341216	0	-0.7975255	0	-1.049353	0	0.2104208	0	1.25364	0	-0.5948991	0	0.513528	0	-4.098675	0	0.2104208	0	0.09690535	-0.6358888	0.6176351	-0.8677934	-0.4189064	-0.2904922	-1.751557	0.1138762	-0.8646353	-1.162924	-0.2656227	-0.5431087	0.2154371	-0.25384	-1.343997	-0.7926508	-1.143131	-1.415085	-3.110709	0.1959881						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758262	166			3	167	1	195	154	237	237	-3.632713	0	-1.101277	0	-2.193876	0	-0.7677289	0	-0.6550961	0	-1.169096	0	0.1513347	0	1.100142	0	-0.5849443	0	0.6930439	0	-3.632713	0	0.1513347	0	-0.07182758	-0.5797717	0.3246664	-0.8274824	-0.5793753	-0.4985625	-1.924304	0.2324927	-0.7614889	-1.048768	-0.1954436	-0.4043764	0.2586541	-0.226426	-1.190978	-0.6895088	-1.124264	-1.259291	-2.999491	0.1178859						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758296	200			4	200	1	196	155	237	237	-3.746073	0	-1.101974	0	-2.19241	0	-0.8137547	0	-0.6903679	0	-1.233298	0	0.1484075	0	1.105183	0	-0.5816229	0	0.706221	0	-3.746073	0	0.1484075	0	-0.09851622	-0.6104841	0.331911	-0.8634843	-0.5921845	-0.5231193	-2.023685	0.2218815	-0.7898103	-1.074079	-0.2228469	-0.4149764	0.2728818	-0.2175109	-1.18235	-0.6996896	-1.109266	-1.241652	-3.02277	0.1407559						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758329	233			5	234	1	192	152	247	247	-4.221297	0	-0.8689021	0	-1.947756	0	-1.017083	0	-1.048669	0	-0.7724398	0	0.1368344	0	1.173311	0	-0.6983778	0	0.6466186	0	-4.221297	0	0.1368344	0	0.08391986	-0.5970331	0.4670519	-0.9791837	-0.3860726	-0.3384129	-1.616124	0.2185785	-0.9780802	-1.352096	-0.249708	-0.6454601	0.1944301	-0.3873773	-1.37852	-0.8951022	-0.9659307	-1.467342	-3.671641	0.4305129						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758362	266			6	267	1	196	154	239	239	-4.169238	0	-1.078368	0	-2.273414	0	-0.827737	0	-0.7892315	0	-1.110769	0	0.1795611	0	1.164853	0	-0.6721935	0	0.6967563	0	-4.169238	0	0.1795611	0	-0.05355758	-0.6349996	0.4306951	-0.8859168	-0.4797746	-0.4088809	-1.881456	0.1792864	-0.9108467	-1.250526	-0.1768977	-0.4977467	0.1552073	-0.3042225	-1.323907	-0.8181874	-1.159111	-1.382509	-3.231375	0.1616051						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758396	300			7	300	1	201	156	230	230	-2.975771	0	-1.384278	0	-1.719152	0	-0.5076131	0	-0.47339	0	-1.355944	0	0.07467215	0	0.7223387	0	-0.7571776	0	0.6130699	0	-2.975771	0	0.07467215	0	-0.08989877	-0.4980925	0.3596149	-0.8058114	-0.5793719	-0.7804241	-2.090981	0.3372504	-0.5862268	-0.8390964	-0.2962186	-0.2586791	0.1743551	-0.1972892	-0.9791166	-0.5851785	-0.9558902	-0.9601462	-2.666744	0.2228493						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758429	333			8	334	1	200	156	233	233	-3.345727	0	-1.160818	0	-1.874585	0	-0.6625814	0	-0.5255468	0	-1.237422	0	0.1916321	0	0.8657947	0	-0.6486589	0	0.596514	0	-3.345727	0	0.1916321	0	-0.04430677	-0.46842	0.3211235	-0.7911001	-0.6736836	-0.6871162	-1.972924	0.3472019	-0.6866457	-0.9222421	-0.1850538	-0.2499388	0.2908233	-0.2074852	-1.031742	-0.5763465	-0.9998675	-1.021917	-2.650467	0.1594428						
TianlinLiu	20180411	105a3c08f_1__utterance_21	0	MALE	recording	TestImage	Emotient FACET	20180320_142758463	367			9	367	1	203	155	232	232	-3.057302	0	-1.323672	0	-1.770424	0	-0.5883108	0	-0.5035182	0	-1.238987	0	0.1340668	0	0.7465298	0	-0.7551004	0	0.6400592	0	-3.057302	0	0.1340668	0	-0.05372588	-0.4691095	0.3229617	-0.7606369	-0.6574562	-0.7526802	-2.089973	0.3329081	-0.6333737	-0.8762656	-0.2775861	-0.2490311	0.2643152	-0.212881	-1.013833	-0.5958941	-0.9398742	-0.9554961	-2.561269	0.1482645						
