#Study : TianlinLiu
#Date : 20180411 09:08:41
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:28:37.832 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142837898	66			0	67	1	513	185	250	250	1.369167	0	-2.291095	0	-2.150581	0	0.04944266	0	-0.1045402	0	-0.955583	0	-1.464023	0	-1.3779	0	-1.670455	0	-1.579973	0	1.369167	0	0.04944266	0	-0.4011308	-0.4150251	-0.7531207	-0.6866214	0.1870213	-0.5233839	-1.520484	0.1588256	0.7945026	0.105912	-0.1827627	-0.09257799	-2.760903	0.7109894	0.4130332	-0.1938095	-0.5876503	-1.002093	0.2891963	-1.118409						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142837932	100			1	100	1	520	189	242	242	1.949607	0	-3.000172	0	-2.97566	0	-0.4564776	0	-0.5056406	0	-1.757768	0	-2.081099	0	-2.242522	0	-2.133629	0	-2.951734	0	1.949607	0	-0.4564776	0	-0.3980458	-0.4799881	-0.7925968	-1.17051	0.5011322	-0.5990931	-1.64696	0.0228992	1.294717	0.130992	-0.636828	-0.2051424	-3.436942	0.435664	0.5678006	-0.1761329	-0.308731	-0.8407427	0.3191719	-0.9729168						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142837965	133			2	133	1	526	192	236	236	2.997622	0	-4.132687	0	-4.283337	0	-0.8723722	0	-1.725415	0	-2.56872	0	-3.251363	0	-4.191085	0	-3.491752	0	-5.351836	0	2.997622	0	-0.8723722	0	-0.3079907	-0.4322918	-0.7588271	-1.194752	1.137585	-0.3699795	-1.492454	0.1545398	2.093687	-0.2568593	-0.781215	-0.5419487	-4.903877	0.3970942	0.3671902	-0.5055875	0.3258513	-0.6995733	-0.202147	-0.89921						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142837998	166			3	167	1	521	187	242	242	2.074493	0	-2.94894	0	-3.290039	0	-0.2850087	0	-0.3805577	0	-2.034492	0	-2.225254	0	-2.555264	0	-2.420753	0	-3.686538	0	2.074493	0	-0.2850087	0	-0.4196974	-0.4620178	-0.6760004	-1.123477	0.732659	-0.5468674	-1.550365	0.161762	1.543536	-0.08221695	-0.3666928	-0.1307046	-3.341672	0.5389602	0.3897035	-0.2189748	-0.3594087	-0.8564087	0.1008101	-0.7081516						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838032	200			4	200	1	526	186	240	240	2.963063	0	-4.175516	0	-4.460793	0	-0.8351094	0	-1.429532	0	-2.314995	0	-3.258076	0	-4.338258	0	-3.610833	0	-5.465172	0	2.963063	0	-0.8351094	0	-0.3838134	-0.4678724	-0.810271	-1.286541	1.168715	-0.3792676	-1.325698	0.403968	2.129757	-0.4577761	-0.4665109	-0.593546	-4.712302	0.5471519	0.06679086	-0.6789283	0.2678981	-0.7859151	-0.4633324	-0.6775292						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838065	233			5	234	0																																																						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838098	266			6	267	0																																																						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838132	300			7	300	0																																																						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838165	333			8	334	1	536	175	243	243	4.699368	0	-5.408803	0	-5.599606	0	-2.661101	0	-5.803185	0	-3.459703	0	-5.496661	0	-6.805866	0	-5.84758	0	-8.552413	0	4.699368	0	-2.661101	0	-0.4670373	-0.6467032	-0.517575	-1.822811	1.925136	0.277664	-0.7487937	0.5083044	2.902426	-1.013122	-1.395228	-1.531489	-7.394641	0.7081608	-0.6928693	-1.550907	2.208527	-0.1354801	-1.606188	-1.254077						
TianlinLiu	20180411	116c36ad6_1__utterance_5	0	MALE	recording	TestImage	Emotient FACET	20180320_142838199	367			9	367	1	541	173	239	239	3.954315	0	-3.951914	0	-4.253821	0	-2.495202	0	-5.699084	0	-2.577159	0	-4.389303	0	-5.350381	0	-5.307183	0	-6.357652	0	3.954315	0	-2.495202	0	-0.2742337	-0.3632667	-0.320207	-1.962114	1.739106	0.5259078	-1.097276	0.5347213	2.202526	-0.803484	-1.506565	-1.948196	-7.055703	0.5205995	-0.5614923	-1.931439	2.584413	0.3327197	-2.417658	-1.278156						
