#Study : TianlinLiu
#Date : 20180411 09:08:09
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:33:20.738 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320804	66			0	67	1	186	19	105	105	-3.320785	0	-1.44921	0	0.09910612	0	-1.219754	0	0.09162017	0	-1.647633	0	-0.004284283	0	-0.1941842	0	-0.8883967	0	0.9996963	0	-3.320785	0	0.09162017	0	-0.5383606	-0.2764665	-0.3725222	-1.738756	-1.826268	-1.882744	-2.81356	-0.9244242	-0.9128155	-0.1666304	-1.543465	-0.4656528	0.2113102	-1.312255	-0.7909156	-0.313746	-1.28967	-1.013688	-1.540926	1.317698						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320838	100			1	100	1	186	19	106	106	-2.983803	0	-1.489619	0	0.05936651	0	-1.047364	0	0.09521446	0	-1.517535	0	0.02852621	0	-0.2582969	0	-0.9582401	0	1.028445	0	-2.983803	0	0.09521446	0	-0.5305022	-0.2597698	-0.4027639	-1.680347	-1.853695	-1.95382	-2.850621	-0.9414647	-0.8890543	-0.1765125	-1.639601	-0.5283861	0.07211558	-1.183184	-0.7468648	-0.3056619	-1.385668	-1.083534	-1.302828	1.358746						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320871	133			2	133	1	185	21	105	105	-3.364124	0	-1.458364	0	0.3213265	0	-1.17371	0	0.006548989	0	-1.807325	0	-0.111606	0	-0.2896688	0	-0.9082375	0	1.005854	0	-3.364124	0	0.006548989	0	-0.493628	-0.2396489	-0.4384381	-1.62228	-1.822913	-1.839704	-2.815666	-0.9352001	-0.9538836	-0.2039271	-1.508145	-0.4336095	0.2165163	-1.365933	-0.8472133	-0.3128007	-1.285532	-0.9974527	-1.715262	1.372934						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320904	166			3	167	1	185	22	104	104	-3.347871	0	-1.413922	0	0.02526682	0	-1.231104	0	0.03133677	0	-1.534066	0	-0.01821267	0	-0.1976052	0	-0.8638293	0	1.004056	0	-3.347871	0	0.03133677	0	-0.5120052	-0.3262378	-0.3269292	-1.817416	-1.721543	-1.783698	-2.617319	-0.8481905	-0.9326246	-0.172616	-1.496183	-0.4264824	0.2118396	-1.253964	-0.776299	-0.2995783	-1.301273	-1.065856	-1.677173	1.361789						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320937	199			4	200	1	185	22	103	103	-3.411466	0	-1.31996	0	0.05789049	0	-1.267418	0	0.02092694	0	-1.452888	0	-0.03968333	0	-0.1093679	0	-0.7491222	0	0.9596643	0	-3.411466	0	0.02092694	0	-0.4718294	-0.2819745	-0.3071843	-1.827199	-1.571338	-1.644694	-2.43954	-0.7627499	-0.8999894	-0.1523405	-1.382501	-0.3813518	0.3488757	-1.284627	-0.7634042	-0.2460406	-1.166199	-0.9751276	-1.741838	1.3793						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143320971	233			5	233	1	185	22	103	103	-3.383362	0	-1.351984	0	0.09964999	0	-1.248228	0	0.02557907	0	-1.484187	0	-0.0475086	0	-0.1402338	0	-0.7742307	0	0.9935945	0	-3.383362	0	0.02557907	0	-0.4741648	-0.2732073	-0.3275464	-1.788619	-1.616576	-1.6804	-2.513788	-0.7981657	-0.918646	-0.1594522	-1.424039	-0.4171654	0.3040144	-1.287	-0.7889887	-0.2609182	-1.20121	-0.998819	-1.712887	1.409665						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143321004	266			6	267	1	184	22	105	105	-2.936899	0	-1.37357	0	-0.08598787	0	-1.164989	0	0.006353125	0	-1.311486	0	0.1007655	0	-0.1523921	0	-0.7958635	0	1.079965	0	-2.936899	0	0.1007655	0	-0.52136	-0.3056399	-0.3500054	-1.831599	-1.688596	-1.851322	-2.585894	-0.9001362	-0.9084421	-0.223381	-1.529029	-0.4682471	0.1906224	-1.207147	-0.6993905	-0.2232442	-1.432526	-1.086002	-1.359993	1.49876						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143321037	299			7	300	1	183	23	103	103	-3.679333	0	-1.360309	0	-0.05982735	0	-1.252966	0	-0.1162641	0	-1.53121	0	0.07246565	0	-0.1942581	0	-0.9437385	0	0.981656	0	-3.679333	0	0.07246565	0	-0.5709261	-0.3216227	-0.2791626	-1.81273	-1.86522	-1.835862	-2.661654	-0.8123636	-1.07661	-0.2815853	-1.381498	-0.4443704	0.05159782	-1.184999	-0.8617418	-0.395329	-1.204537	-0.9452125	-1.535257	1.383602						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143321071	333			8	333	1	182	25	104	104	-2.856923	0	-1.344939	0	-0.04183084	0	-1.242747	0	-0.1924737	0	-1.251406	0	0.06499403	0	-0.03758099	0	-0.735442	0	1.061807	0	-2.856923	0	0.06499403	0	-0.5161293	-0.2656471	-0.3295987	-1.942976	-1.687986	-1.839519	-2.465681	-0.7472166	-0.8623169	-0.2558128	-1.503648	-0.4696786	0.1468796	-1.272891	-0.7623356	-0.219735	-1.435095	-1.125546	-1.3618	1.500749						
TianlinLiu	20180411	1f1da840a_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143321104	366			9	367	1	182	25	105	105	-2.812277	0	-1.416216	0	-0.1308257	0	-1.092257	0	-0.3943191	0	-1.165231	0	0.4046923	0	-0.03565091	0	-0.7765746	0	1.059125	0	-2.812277	0	0.4046923	0	-0.360028	-0.148594	-0.2837955	-2.035847	-1.646068	-1.807163	-2.574424	-0.6849864	-0.8035591	-0.2778783	-1.547156	-0.5843634	-0.1168967	-1.3021	-0.9294493	-0.2904503	-1.794689	-1.478495	-1.607	1.414557						
