#Study : TianlinLiu
#Date : 20180411 09:08:16
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:32:23.234 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223300	66			0	67	1	434	144	276	276	-4.357338	0	-3.110379	0	-3.461832	0	-2.066565	0	-0.5700359	0	-3.536749	0	-2.258606	0	-0.7996079	0	-2.017974	0	2.599922	0	-4.357338	0	-0.5700359	0	-1.108125	-0.898829	-1.002415	-1.684397	-2.774414	-1.072906	-4.470541	-1.549257	-2.056809	-0.9809626	-2.585901	-2.130166	-1.387738	-0.2047467	-1.620971	-1.818335	0.3561397	0.3000225	-2.593008	-3.463456						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223334	100			1	100	1	434	144	276	276	-4.357338	0	-3.110379	0	-3.461832	0	-2.066565	0	-0.5700359	0	-3.536749	0	-2.258606	0	-0.7996079	0	-2.017974	0	2.599922	0	-4.357338	0	-0.5700359	0	-1.108125	-0.898829	-1.002415	-1.684397	-2.774414	-1.072906	-4.470541	-1.549257	-2.056809	-0.9809626	-2.585901	-2.130166	-1.387738	-0.2047467	-1.620971	-1.818335	0.3561397	0.3000225	-2.593008	-3.463456						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223367	133			2	133	1	431	144	277	277	-4.484756	0	-3.165129	0	-3.560997	0	-2.056271	0	-0.5986355	0	-3.418261	0	-2.306413	0	-0.928833	0	-2.083269	0	2.657765	0	-4.484756	0	-0.5986355	0	-1.140803	-0.9359325	-1.121649	-1.68052	-2.728014	-1.062155	-4.405053	-1.510942	-2.094029	-1.043494	-2.37576	-2.077333	-1.493318	-0.2190895	-1.562321	-1.756018	0.2240854	0.1761574	-2.572393	-3.580292						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223400	166			3	167	1	430	144	278	278	-4.575287	0	-3.088671	0	-3.653742	0	-2.075891	0	-0.4109641	0	-3.260066	0	-2.142487	0	-0.7976078	0	-1.924486	0	2.552753	0	-4.575287	0	-0.4109641	0	-1.15078	-0.9595687	-1.129427	-1.676842	-2.698128	-1.064106	-4.223464	-1.470875	-2.075527	-0.9528155	-2.051961	-1.834552	-1.363819	-0.2525204	-1.344745	-1.581307	0.1134358	0.1726423	-2.592873	-3.533306						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223434	200			4	200	1	429	143	278	278	-4.527376	0	-3.14686	0	-3.626476	0	-2.12927	0	-0.5215547	0	-3.347678	0	-2.274838	0	-0.9336321	0	-2.001208	0	2.639091	0	-4.527376	0	-0.5215547	0	-1.197377	-1.001522	-1.220541	-1.742241	-2.807241	-1.110309	-4.3755	-1.54047	-2.107853	-1.01911	-2.154337	-1.900774	-1.385689	-0.3019971	-1.395244	-1.617881	0.1126898	0.1316611	-2.6777	-3.483328						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223467	233			5	234	1	428	143	279	279	-4.682328	0	-3.300515	0	-3.599929	0	-2.17558	0	-0.4478695	0	-3.243929	0	-2.129701	0	-0.9556211	0	-2.032299	0	2.678112	0	-4.682328	0	-0.4478695	0	-1.19691	-0.9987999	-1.255078	-1.733503	-2.804891	-1.17201	-4.270096	-1.465711	-2.193141	-0.9695484	-1.901699	-1.700385	-1.342043	-0.4086005	-1.263468	-1.496787	0.09905881	0.2072774	-2.579398	-3.562772						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223500	266			6	267	1	428	144	278	278	-3.40144	0	-3.186435	0	-2.687433	0	-1.758559	0	-0.2893024	0	-2.962743	0	-2.412229	0	-1.090855	0	-2.011608	0	2.474204	0	-3.40144	0	-0.2893024	0	-1.052917	-0.7956651	-1.067264	-1.591219	-2.634929	-1.156504	-4.144804	-1.298444	-1.862366	-0.8779417	-2.603972	-1.995836	-1.198646	-0.0502428	-1.456928	-1.741703	0.8360779	0.7377591	-2.109435	-3.044484						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223534	300			7	300	1	427	143	279	279	-2.541423	0	-2.980114	0	-0.8918117	0	-1.360329	0	-1.410183	0	-2.17705	0	-3.089468	0	-2.202427	0	-3.069317	0	1.136742	0	-2.541423	0	-1.360329	0	-0.7447	-0.3577774	-0.9095695	-1.45202	-2.440781	-0.9776007	-4.793417	-0.8503811	-1.436352	-1.34485	-3.340348	-2.612069	-1.451563	0.4723747	-1.994502	-2.766208	2.834546	2.102016	-2.770752	-2.081421						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223567	333			8	334	1	428	143	276	276	-2.395884	0	-2.911071	0	-0.06742262	0	-1.345353	0	-1.929459	0	-2.39492	0	-3.579193	0	-2.986447	0	-3.582931	0	0.08177607	0	-2.395884	0	-1.345353	0	-0.7057245	-0.3246777	-1.046506	-1.627472	-2.49049	-1.085962	-4.813999	-1.167568	-1.30454	-1.585809	-2.897138	-2.220155	-1.553632	0.6144015	-1.677787	-2.753055	3.216291	2.824368	-2.794311	-1.456099						
TianlinLiu	20180411	179b7f51a_2__utterance_60	0	MALE	recording	TestImage	Emotient FACET	20180320_143223601	367			9	367	1	426	142	280	280	-2.135313	0	-2.72284	0	-0.2260353	0	-1.385616	0	-1.757067	0	-2.190633	0	-3.341747	0	-2.714211	0	-3.578662	0	-0.03235813	0	-2.135313	0	-1.385616	0	-0.6832034	-0.2694364	-0.859688	-1.419016	-2.355677	-0.941043	-4.750709	-1.024467	-1.333809	-1.585891	-3.035532	-2.366105	-1.630337	0.6174491	-1.828363	-2.936938	3.37645	2.806006	-2.900689	-1.495236						
