#Study : TianlinLiu
#Date : 20180411 09:07:56
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:35:31.073 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531139	66			0	67	1	200	74	173	173	-1.748986	0	-2.555704	0	-0.2734149	0	0.02794261	0	-1.33421	0	-1.821472	0	-2.73367	0	-2.116198	0	-2.327873	0	0.7703786	0	-1.748986	0	0.02794261	0	-0.7414855	-0.2124286	-1.203082	0.2084901	-1.303597	-0.826048	-3.319024	-0.9033886	-0.7138686	-0.8156578	-1.229118	-1.447405	-1.23402	0.3605494	-0.6149768	-1.025637	-0.07638275	-0.3803847	-1.697513	-0.8872886						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531173	100			1	100	1	201	73	170	170	-1.980888	0	-2.674825	0	-0.293157	0	0.1236995	0	-1.297753	0	-2.100251	0	-2.577006	0	-2.170285	0	-2.385787	0	0.6406627	0	-1.980888	0	0.1236995	0	-0.6511692	-0.1714878	-1.154082	0.1073091	-1.332824	-0.8942208	-3.251941	-1.012951	-0.7972261	-0.8275915	-1.130739	-1.37506	-1.232415	0.5038414	-0.5220094	-1.066491	-0.08867415	-0.2562189	-1.643205	-0.7316462						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531206	133			2	133	1	201	73	169	169	-1.854936	0	-2.855605	0	-0.3224177	0	0.08864972	0	-1.233111	0	-2.107793	0	-2.547361	0	-2.226361	0	-2.465755	0	0.7222248	0	-1.854936	0	0.08864972	0	-0.6132367	-0.1521322	-1.19314	0.04122791	-1.31434	-0.9287635	-3.3605	-0.9964746	-0.7500454	-0.7808295	-1.153014	-1.40151	-1.272752	0.4720962	-0.5763435	-1.089478	-0.08840647	-0.2694588	-1.651947	-0.8418848						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531239	166			3	167	1	199	73	168	168	-1.721244	0	-2.839101	0	-0.3771127	0	0.2173448	0	-1.246283	0	-2.082381	0	-2.553222	0	-2.148958	0	-2.350601	0	0.8341197	0	-1.721244	0	0.2173448	0	-0.5939657	-0.1610091	-1.202871	0.01537129	-1.326298	-0.9257029	-3.473214	-0.9866673	-0.7282659	-0.7320547	-1.211305	-1.463627	-1.346495	0.5099077	-0.6499203	-1.024286	-0.0755939	-0.3154377	-1.529659	-0.8686502						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531272	199			4	200	1	199	72	168	168	-1.608681	0	-2.833282	0	-0.3989725	0	0.178916	0	-1.213075	0	-1.999112	0	-2.561757	0	-2.137815	0	-2.314686	0	0.8037601	0	-1.608681	0	0.178916	0	-0.6062195	-0.1790255	-1.217318	-0.004200833	-1.2911	-0.9000548	-3.47167	-0.9589844	-0.6712317	-0.6938753	-1.222959	-1.449708	-1.3584	0.4895149	-0.6179861	-0.9740205	-0.07274406	-0.3151424	-1.461393	-0.863401						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531306	233			5	233	1	199	75	167	167	-1.469662	0	-2.859584	0	-0.3863205	0	0.2305296	0	-0.9874274	0	-2.012715	0	-2.376784	0	-2.199454	0	-2.284386	0	0.836814	0	-1.469662	0	0.2305296	0	-0.5863115	-0.1341617	-1.298316	-0.02829187	-1.198036	-0.8023936	-3.601932	-0.933284	-0.5628873	-0.5976682	-1.075036	-1.336982	-1.326939	0.3967761	-0.4983316	-0.774988	-0.2535581	-0.3949151	-1.469301	-1.097063						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531339	266			6	267	1	199	75	167	167	-1.471274	0	-2.862153	0	-0.3902561	0	0.2536131	0	-0.9816417	0	-2.025584	0	-2.374485	0	-2.205771	0	-2.28965	0	0.8326129	0	-1.471274	0	0.2536131	0	-0.5861326	-0.1342291	-1.296038	-0.01921348	-1.198615	-0.8048887	-3.606783	-0.9351814	-0.5591298	-0.5921286	-1.075089	-1.337422	-1.329606	0.4042566	-0.4943286	-0.769492	-0.2605445	-0.3986059	-1.46498	-1.097568						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531372	299			7	300	1	199	77	165	165	-1.368635	0	-2.776882	0	-0.6287247	0	0.0248608	0	-0.8089731	0	-1.903195	0	-2.249463	0	-2.060614	0	-2.099962	0	0.8686892	0	-1.368635	0	0.0248608	0	-0.6621844	-0.2023703	-1.301074	-0.2350121	-1.146925	-0.7835029	-3.404738	-0.9139526	-0.498064	-0.5107409	-0.9855615	-1.220423	-1.278536	0.3569381	-0.4134842	-0.6064844	-0.4154302	-0.4922679	-1.386627	-1.095109						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531406	333			8	333	1	199	77	165	165	-1.363609	0	-2.777478	0	-0.6316859	0	0.02450572	0	-0.8076155	0	-1.901743	0	-2.248198	0	-2.061333	0	-2.099299	0	0.8671212	0	-1.363609	0	0.02450572	0	-0.6628051	-0.203711	-1.301044	-0.2370663	-1.14573	-0.7816387	-3.406435	-0.9136451	-0.4968273	-0.5097412	-0.983925	-1.219618	-1.279868	0.3620532	-0.4136474	-0.6049966	-0.4170756	-0.4936996	-1.384612	-1.096206						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531439	366			9	367	1	202	83	160	160	-1.736436	0	-3.161133	0	-0.6071337	0	0.3762687	0	-0.7193624	0	-2.243505	0	-1.789019	0	-2.087598	0	-2.284376	0	0.7985567	0	-1.736436	0	0.3762687	0	-0.3219639	0.09629062	-1.299099	-0.9253806	-1.344608	-1.312135	-3.472687	-0.8275312	-0.3999125	-0.3376024	-0.7340553	-0.9844165	-1.297403	0.1645727	-0.2611758	-0.4390008	-0.7791091	-0.5255144	-1.356936	-0.1794724						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531472	399			10	400	1	202	83	160	160	-1.727866	0	-3.179277	0	-0.6140568	0	0.3757614	0	-0.7301595	0	-2.239717	0	-1.78646	0	-2.114394	0	-2.316395	0	0.7830209	0	-1.727866	0	0.3757614	0	-0.3144664	0.1047335	-1.299218	-0.9163598	-1.33811	-1.309646	-3.472796	-0.819895	-0.3971388	-0.3458072	-0.7082196	-0.9739226	-1.292801	0.1804571	-0.2601084	-0.4380911	-0.7813317	-0.5306545	-1.36985	-0.1726568						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531506	433			11	433	1	210	95	149	149	-0.7680068	0	-3.076061	0	-0.1493834	0	-0.05893067	0	0.2913043	0	-2.38892	0	-0.4662179	0	-1.714368	0	-1.521977	0	0.3089523	0	-0.7680068	0	0.2913043	0	0.2011323	0.5800226	-1.144442	-1.764744	-1.436711	-1.66791	-3.928697	-1.253825	0.05731077	0.3506588	-0.6968517	-0.00680614	-0.3654108	-0.2881593	0.2782251	0.2913141	-1.505542	-1.140549	-0.9948497	0.6432797						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531539	466			12	467	1	210	95	149	149	-0.7628374	0	-3.081622	0	-0.1118104	0	-0.06602193	0	0.2854627	0	-2.410892	0	-0.4829057	0	-1.742912	0	-1.539827	0	0.3014318	0	-0.7628374	0	0.2854627	0	0.207506	0.5900473	-1.151383	-1.735579	-1.448427	-1.677377	-3.940305	-1.247795	0.06007328	0.356326	-0.6808858	0.011035	-0.3625984	-0.2947839	0.2895276	0.2960859	-1.499669	-1.126011	-0.9786765	0.6277365						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531572	499			13	500	1	214	105	148	148	-1.130439	0	-3.192101	0	-1.003461	0	-0.7481042	0	0.2899398	0	-1.842807	0	-0.9849266	0	-1.740984	0	-1.26633	0	-0.2443239	0	-1.130439	0	0.2899398	0	0.2113294	0.3445818	-1.596745	-2.296707	-1.721045	-2.140966	-4.617489	-1.766281	-0.2490928	0.5149618	-1.735994	-0.2223076	-0.9470518	-1.328287	0.1788409	0.2842226	-2.466122	-1.641147	-1.346361	-0.0690127						
TianlinLiu	20180411	243cff084__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_143531606	533			14	533	1	214	105	148	148	-1.134915	0	-3.191426	0	-1.007236	0	-0.7485403	0	0.2950569	0	-1.8546	0	-0.9953334	0	-1.744329	0	-1.261214	0	-0.249842	0	-1.134915	0	0.2950569	0	0.2108526	0.345526	-1.596764	-2.289613	-1.720629	-2.138211	-4.62195	-1.77529	-0.2482589	0.5203404	-1.747238	-0.2220231	-0.9496428	-1.330142	0.1808403	0.2882995	-2.472603	-1.641611	-1.338842	-0.08274663						
