#Study : TianlinLiu
#Date : 20180411 09:08:55
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:26:43.397 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643463	66			0	67	1	623	164	265	265	1.180154	0	-2.176957	0	-0.9251471	0	0.1647169	0	-0.3950281	0	-0.3957012	0	-1.241011	0	-2.20799	0	-2.379015	0	-0.9970862	0	1.180154	0	0.1647169	0	0.6498384	0.5755343	-0.8561913	-0.4974996	-0.4040166	-0.7072825	-2.048252	-0.3682244	0.427144	-0.213664	-0.427656	-0.3813175	-1.400686	-0.4920365	-0.04356674	-0.1377718	-0.5930427	-0.7625511	-0.3412518	0.6367656						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643497	100			1	100	1	637	169	265	265	0.9942824	0	-1.829845	0	-0.7396272	0	-0.07810017	0	-0.1376931	0	-0.3185448	0	-0.7934684	0	-1.762666	0	-1.861946	0	-0.4943654	0	0.9942824	0	-0.07810017	0	0.3757229	0.2430084	-0.6787558	-0.65504	-0.4144604	-0.6683576	-1.827736	-0.2813751	0.3529235	-0.05993553	-0.03630931	0.06628885	-0.846731	-0.3666728	0.217269	0.07141975	-0.6453103	-0.5722701	-0.09616858	0.3950682						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643530	133			2	133	1	645	167	261	261	1.090739	0	-2.530911	0	-0.5335875	0	0.1176015	0	-0.2885518	0	-0.6996893	0	-1.052021	0	-2.441442	0	-2.455474	0	-0.5800294	0	1.090739	0	0.1176015	0	0.8064681	0.8191015	-0.851964	-0.6039689	-0.3975511	-0.8219222	-2.289011	-0.3433591	0.534555	-0.3666934	0.08635455	0.006773554	-1.029003	-0.4114903	-0.1078748	-0.0924946	-0.7370237	-0.7286072	-0.492002	0.2591116						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643563	166			3	167	1	639	159	269	269	0.7302919	0	-1.571449	0	-0.3643196	0	0.4191486	0	0.01022193	0	-0.4283697	0	-0.349525	0	-1.120466	0	-1.526812	0	-0.05971332	0	0.7302919	0	0.4191486	0	0.5347056	0.3957239	-0.6459577	-0.4047634	-0.4973642	-0.8339278	-1.765372	-0.3104024	0.1645617	-0.1581187	0.09872143	-0.02412233	-0.7050399	-0.215971	0.1482101	0.1653545	-1.033596	-0.8672591	0.02917071	0.7793632						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643596	199			4	200	1	639	150	259	259	0.793341	0	-1.805098	0	-0.4637308	0	0.5607095	0	-0.3736585	0	-0.3513441	0	-1.112484	0	-1.856404	0	-2.026282	0	-0.8141355	0	0.793341	0	0.5607095	0	0.4243431	0.3107912	-0.4577329	-0.1067094	-0.44	-0.8081264	-1.490296	-0.1406002	0.1548875	-0.0728948	-0.1052087	-0.1256815	-1.527481	0.3665735	-0.1607821	-0.1979967	-0.1948914	-0.3627525	-0.1489195	0.4861327						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643630	233			5	233	1	634	142	253	253	1.344187	0	-2.776204	0	-0.9409432	0	0.04706192	0	-2.348899	0	-1.443138	0	-3.034192	0	-3.823992	0	-3.792254	0	-2.75651	0	1.344187	0	0.04706192	0	0.7997627	1.001947	-0.5586185	0.3432325	-0.4115617	-1.203649	-2.170613	-0.5298951	0.4886301	-0.4621001	-0.5778229	-0.9071855	-3.518157	-0.0719291	-0.8595294	-0.9513341	0.8517626	-0.3389424	-1.410652	0.6632448						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643663	266			6	267	1	625	133	257	257	1.510788	0	-2.976412	0	-1.048191	0	-0.143232	0	-2.388778	0	-1.460372	0	-3.572407	0	-3.711758	0	-3.779023	0	-2.785023	0	1.510788	0	-0.143232	0	0.8210564	1.089424	-0.6663314	0.6440251	-0.2636341	-0.9771888	-2.072502	-0.5084372	0.5911618	-0.5199946	-0.6043008	-1.380355	-3.67222	-0.1392988	-0.8183469	-1.247944	1.069259	-0.2170197	-1.827968	0.670872						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643696	299			7	300	1	628	134	246	246	-0.02979841	0	-3.261047	0	-0.485063	0	1.458719	0	-0.5413557	0	-1.805406	0	-1.740463	0	-2.999136	0	-2.680547	0	-1.36062	0	-0.02979841	0	1.458719	0	1.891569	1.983681	-0.6551061	0.9729527	-1.154416	-1.216501	-3.570034	-0.8490626	-0.2015574	-0.2678747	-0.2741749	-0.8354367	-2.612714	0.4036107	-0.8276823	-0.3177288	-0.3036304	-0.8917153	-1.086316	0.1231322						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643730	333			8	333	1	621	136	248	248	-2.303757	0	-4.831956	0	-0.04839899	0	1.557431	0	-0.4976502	0	-4.254089	0	-2.578505	0	-4.502305	0	-4.718898	0	-1.913232	0	-2.303757	0	1.557431	0	2.627265	2.879885	-1.042111	1.156962	-2.270904	-1.544145	-5.530436	-2.467336	-0.4230751	-0.3772692	-0.2831641	-0.3669782	-2.245575	0.2707716	-1.017974	-0.2766417	-1.205992	-1.182896	-0.9433487	-0.5520416						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643763	366			9	367	1	626	144	239	239	-2.162617	0	-3.657901	0	-0.06260231	0	1.560687	0	-0.4748191	0	-4.252143	0	-1.605487	0	-3.402038	0	-3.212496	0	-0.3721779	0	-2.162617	0	1.560687	0	2.184688	2.327915	-0.8367214	0.4128384	-2.934728	-1.943116	-5.429516	-2.822422	-0.7510776	-0.3110874	-0.1459379	-0.4243687	-1.003003	0.3190014	-0.5037855	-0.2513644	-1.632749	-1.456387	-0.8589776	0.4642099						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643796	399			10	400	1	623	157	244	244	-1.030167	0	-3.701715	0	0.0409274	0	1.187539	0	-0.07061031	0	-3.45283	0	-1.416203	0	-3.704587	0	-3.211677	0	-0.6332745	0	-1.030167	0	1.187539	0	2.290763	2.537658	-0.7417652	0.4943198	-2.422305	-1.679181	-4.925191	-2.343649	-0.2752986	-0.03255304	-0.1308526	-0.1350607	-0.9314963	0.2426319	-0.4227172	-0.02627133	-1.299718	-1.157395	-0.5410029	0.5116939						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643830	433			11	433	1	607	166	275	275	0.3660176	0	-2.718515	0	0.1992088	0	0.6567465	0	0.5396051	0	-2.060117	0	-0.910861	0	-2.297907	0	-2.094385	0	-0.3014288	0	0.3660176	0	0.6567465	0	1.576416	1.823354	-1.11198	0.2146487	-1.868104	-1.604718	-4.187144	-1.637625	0.2302271	0.4816592	-0.4304679	-0.05665423	-0.5165627	-0.6801708	-0.1418803	0.7610197	-1.955044	-1.492335	-0.5557478	0.3043792						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643863	466			12	467	1	599	173	280	280	0.4623627	0	-3.313992	0	1.190655	0	0.4939742	0	-0.5039373	0	-2.080845	0	-2.635597	0	-3.743561	0	-3.220483	0	-1.807612	0	0.4623627	0	0.4939742	0	2.279121	2.592984	-1.089131	0.8844683	-1.635904	-0.8307039	-4.845268	-0.8326741	0.3339369	-0.1111034	-0.825491	-1.160443	-1.74021	-0.3669127	-0.466924	-0.2779943	-0.05790223	-0.5296293	-1.593338	0.4005683						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643896	499			13	500	1	604	183	269	269	0.9066079	0	-2.930949	0	-0.3421539	0	0.8336548	0	-1.578065	0	-1.537354	0	-2.864478	0	-3.901231	0	-3.207227	0	-2.915893	0	0.9066079	0	0.8336548	0	1.370281	1.710797	-0.2684739	0.4548442	-0.842459	-0.8185168	-2.588783	-0.5380059	0.2962159	-0.36762	-0.4289528	-0.7450156	-3.244143	0.7108129	-1.108104	-0.6791705	0.7205964	-0.2072891	-0.6645547	0.1287885						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643930	533			14	533	1	591	177	284	284	1.329266	0	-2.652567	0	-0.09640078	0	0.2345052	0	-2.238245	0	-1.197733	0	-3.358233	0	-4.039809	0	-3.054028	0	-3.10507	0	1.329266	0	0.2345052	0	1.300287	1.701874	-0.6580428	0.6240649	-0.4205358	-0.3104906	-2.537606	-0.02086187	0.441862	-0.5883712	-0.5594195	-1.427342	-3.953262	0.1758907	-0.8588125	-1.210472	1.386669	0.1444882	-0.9645908	0.531099						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643963	566			15	567	1	593	172	282	282	1.453209	0	-4.257354	0	0.2541471	0	0.4610654	0	-3.407078	0	-1.558827	0	-5.239199	0	-6.443577	0	-5.534849	0	-4.578749	0	1.453209	0	0.4610654	0	1.884163	2.239891	-0.6341116	0.3456263	-0.8055838	-1.009111	-3.604371	-0.2585531	0.554866	-0.7484638	-0.6050506	-1.251409	-4.342592	0.07233184	-0.8336208	-1.711845	1.414166	-0.02928361	-1.317987	0.64726						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142643997	600			16	600	1	593	173	275	275	1.654911	0	-3.628927	0	-0.2950042	0	0.3671237	0	-4.225234	0	-1.659382	0	-5.171731	0	-6.108687	0	-5.159741	0	-5.319893	0	1.654911	0	0.3671237	0	1.249905	1.822235	-0.5583923	0.534905	-0.3594567	-0.5999637	-2.448555	-0.3325011	0.5845884	-0.7813035	-0.3979497	-1.312825	-5.006483	0.2917069	-1.051904	-1.817762	1.935158	0.4168043	-1.195386	0.5973964						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644030	633			17	633	1	590	166	281	281	1.52643	0	-4.098075	0	0.2444275	0	0.2151813	0	-5.048868	0	-2.152831	0	-5.97645	0	-6.811667	0	-5.991454	0	-5.516745	0	1.52643	0	0.2151813	0	2.044892	2.594311	-0.319546	0.6737267	-0.7520027	-0.9619431	-3.170832	-0.3985714	0.5410796	-0.9782058	-0.7050195	-1.577942	-5.921438	0.1260284	-1.401899	-2.342359	2.427064	0.4956107	-1.603245	0.3687617						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644063	666			18	667	1	597	165	275	275	2.186667	0	-4.448771	0	-0.3425136	0	-0.03031603	0	-4.757826	0	-2.323324	0	-6.008904	0	-7.196107	0	-6.063853	0	-5.949059	0	2.186667	0	-0.03031603	0	1.678097	2.212057	-0.4920086	0.336471	-0.7290261	-1.103995	-3.100589	-0.6997563	0.7297319	-0.8868326	-0.7399319	-1.488619	-5.27464	0.09040523	-1.311257	-2.114748	2.024911	0.2389687	-1.172681	0.4268163						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644096	699			19	700	1	598	162	275	275	2.310794	0	-4.368401	0	-1.205631	0	-0.06796182	0	-3.762835	0	-2.195333	0	-5.280631	0	-6.366031	0	-5.154776	0	-5.15463	0	2.310794	0	-0.06796182	0	1.47877	1.827268	-0.6638421	0.469837	-0.4415452	-1.081881	-2.979916	-0.5254877	0.9187332	-0.8557197	-1.037348	-1.52967	-4.858113	0.1509518	-0.8965526	-1.872322	1.707566	-0.292894	-1.274288	0.1083159						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644130	733			20	733	1	598	157	273	273	3.734988	0	-5.353827	0	-3.175699	0	-0.8992614	0	-3.157239	0	-3.240546	0	-5.409372	0	-7.252477	0	-5.721555	0	-5.604606	0	3.734988	0	-0.8992614	0	1.380753	1.702649	-0.8636995	0.3568907	0.2419241	-1.011426	-3.117808	-0.5972205	1.606764	-0.5447264	-1.091413	-1.356059	-5.676034	-0.1022324	-1.018299	-1.337155	1.286982	-0.6872664	-1.772949	-0.8474341						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644163	766			21	767	1	587	149	282	282	3.024073	0	-4.63301	0	-3.222624	0	-0.833774	0	-2.693594	0	-3.187523	0	-3.67542	0	-4.923076	0	-4.28613	0	-4.366685	0	3.024073	0	-0.833774	0	0.9729998	1.03364	-0.761576	-0.5469125	0.3072124	-0.5098934	-2.367188	-0.554045	1.733829	-0.2840949	-0.9879549	-1.445985	-5.34955	-0.328771	-1.028393	-0.7368593	0.9128084	-0.9188447	-1.486063	0.1397192						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644196	799			22	800	1	596	144	262	262	4.17049	0	-7.307693	0	-3.542354	0	-1.52832	0	-4.948133	0	-5.277658	0	-5.735755	0	-8.660126	0	-7.139605	0	-7.832014	0	4.17049	0	-1.52832	0	1.880886	1.669962	-0.9918522	-0.3560751	0.6344192	-0.9507934	-3.422832	-0.9864454	2.10343	-0.8694358	-1.791612	-1.778311	-7.679173	0.007896999	-1.058434	-2.106272	2.548832	-0.2970442	-2.056623	-0.7627237						
TianlinLiu	20180411	0e02ee3c5_4__utterance_30	0	MALE	recording	TestImage	Emotient FACET	20180320_142644230	833			23	833	1	589	128	271	271	3.349572	0	-4.981646	0	-2.858567	0	-1.255762	0	-3.377889	0	-3.537754	0	-4.594505	0	-5.963993	0	-4.791107	0	-5.799109	0	3.349572	0	-1.255762	0	1.131381	1.135224	-0.6427103	-0.3367706	0.1537875	-0.9718656	-2.528261	-0.8646343	1.493686	-0.6582488	-1.463767	-1.476871	-5.563128	-0.0244728	-0.927686	-1.207516	1.554774	-0.3246816	-1.638784	0.4757948						
