#Study : TianlinLiu
#Date : 20180411 09:07:51
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:36:06.462 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606528	66			0	67	1	74	124	381	381	4.226299	0	-5.328795	0	-4.346868	0	-2.865297	0	-4.392159	0	-2.545008	0	-5.351354	0	-7.067874	0	-5.856223	0	-5.939934	0	4.226299	0	-2.545008	0	0.2183194	0.2923805	-1.345997	-0.8310195	1.194475	0.2080541	-2.37566	-1.767768	2.289958	-0.3910487	-2.284606	-1.482077	-6.227224	-0.4384873	-1.031405	-2.587468	0.7844471	-0.1439244	-1.596441	0.1789115						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606562	100			1	100	1	73	125	382	382	4.200171	0	-5.294769	0	-4.248568	0	-2.797884	0	-4.482998	0	-2.607441	0	-5.563123	0	-7.318751	0	-5.99826	0	-6.203369	0	4.200171	0	-2.607441	0	0.1061166	0.2486967	-1.371207	-0.6934532	1.190182	0.262157	-2.394781	-1.747511	2.265708	-0.4718011	-2.262331	-1.431321	-6.3473	-0.4007654	-1.040662	-2.653113	0.8637913	-0.142632	-1.712815	-0.1184231						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606595	133			2	133	1	76	129	381	381	3.965291	0	-5.490307	0	-3.422293	0	-2.137321	0	-4.217448	0	-2.435142	0	-5.507276	0	-7.732226	0	-6.375211	0	-5.754972	0	3.965291	0	-2.137321	0	0.3888027	0.5977521	-1.5142	-0.295139	0.9220095	-0.01686696	-2.780988	-1.59576	2.120353	-0.4910832	-2.077262	-1.406094	-5.947219	-0.4244197	-1.001893	-2.594833	0.6995931	-0.3247125	-1.722315	-0.3161409						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606628	166			3	167	1	70	127	389	389	4.298787	0	-5.306032	0	-4.199636	0	-2.857598	0	-4.610808	0	-2.594666	0	-5.691059	0	-7.401412	0	-6.015961	0	-6.316568	0	4.298787	0	-2.594666	0	0.1397474	0.2699082	-1.362023	-0.8647091	1.181828	0.1405043	-2.512473	-1.617655	2.328598	-0.4722731	-2.062669	-1.490379	-6.296372	-0.4592826	-1.080644	-2.54658	0.9733911	-0.09094829	-1.72625	-0.1086316						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606662	200			4	200	1	70	130	393	393	4.1245	0	-5.281529	0	-3.725596	0	-2.642271	0	-4.528617	0	-2.273451	0	-5.626716	0	-7.388302	0	-6.133206	0	-6.014242	0	4.1245	0	-2.273451	0	0.285636	0.4324751	-1.376112	-0.667271	1.213147	0.1026818	-2.537987	-1.46972	2.252052	-0.6556965	-2.065504	-1.622685	-6.044187	-0.5966584	-1.246879	-2.591551	0.8249777	-0.2400877	-2.040634	-0.01946299						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606695	233			5	234	1	69	132	391	391	4.046452	0	-5.103725	0	-3.335457	0	-2.378291	0	-4.354741	0	-2.195372	0	-5.475721	0	-7.258038	0	-6.046615	0	-5.721861	0	4.046452	0	-2.195372	0	0.2937784	0.5064455	-1.391667	-0.5546609	1.097321	0.03351281	-2.593555	-1.498568	2.227736	-0.542026	-2.028475	-1.556938	-5.828918	-0.5658274	-1.077756	-2.486011	0.8168913	-0.2318401	-1.920723	-0.09853604						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606728	266			6	267	1	73	134	385	385	3.702155	0	-4.932414	0	-3.174708	0	-2.187481	0	-3.90952	0	-1.925446	0	-5.037915	0	-6.943158	0	-5.757855	0	-5.195012	0	3.702155	0	-1.925446	0	0.3487927	0.5571925	-1.341064	-0.4742647	0.830678	-0.020504	-2.460957	-1.39811	1.992094	-0.4275349	-1.769347	-1.350881	-5.309865	-0.5513517	-0.9387769	-2.309477	0.7541233	-0.2640121	-1.72722	-0.1842428						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606762	300			7	300	1	74	137	381	381	3.59803	0	-4.78932	0	-2.766283	0	-1.936857	0	-3.487555	0	-2.049935	0	-4.744983	0	-6.623045	0	-5.443148	0	-4.444072	0	3.59803	0	-1.936857	0	0.3071222	0.5786843	-1.410342	-0.2306509	0.603516	-0.1697539	-2.715002	-1.477639	1.837955	-0.2742401	-1.874014	-1.294168	-5.021873	-0.531337	-0.7410614	-2.162744	0.5527444	-0.3455189	-1.583579	-0.414285						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606795	333			8	334	1	74	135	384	384	3.47598	0	-4.720347	0	-2.67393	0	-1.955892	0	-3.406377	0	-1.672007	0	-4.541715	0	-6.310679	0	-5.320156	0	-4.251104	0	3.47598	0	-1.672007	0	0.387014	0.5713053	-1.296937	-0.2649505	0.6805093	-0.1374826	-2.601768	-1.30745	1.772398	-0.3422481	-1.808499	-1.445823	-4.92488	-0.5175373	-0.8904759	-2.188212	0.6852209	-0.3433739	-1.712707	-0.2415234						
TianlinLiu	20180411	2af27e034_1__utterance_1	0	MALE	recording	TestImage	Emotient FACET	20180320_143606829	367			9	367	1	75	133	388	388	3.417754	0	-4.362336	0	-2.810503	0	-1.968764	0	-3.097779	0	-1.493048	0	-4.197309	0	-5.624754	0	-4.712706	0	-3.850186	0	3.417754	0	-1.493048	0	0.304586	0.4376723	-1.206079	-0.3630035	0.7694859	-0.08317267	-2.494461	-1.332166	1.754913	-0.3374144	-1.834324	-1.512071	-4.663317	-0.4391791	-0.8655695	-2.014159	0.5296801	-0.4079168	-1.661804	-0.03985612						
