#Study : TianlinLiuValidation
#Date : 20180411 09:25:38
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:29:30.197 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930263	66			0	67	1	1024	441	80	80	0.6808619	0	-0.6207724	0	0.3801877	0	0.2264901	0	0.06220513	0	-0.2924478	0	-0.4434794	0	-0.4957549	0	-0.9049653	0	0.1465979	0	0.6808619	0	0.2264901	0	0.3413546	0.4549774	-0.9838886	0.06240845	-0.8382406	-0.6659116	-1.958468	0.04180061	-0.04714845	0.1383581	-0.5300801	-0.5126977	-0.532243	-0.162561	-0.252784	0.3822669	-1.130245	-1.452765	-0.2143173	0.0616922						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930297	100			1	100	1	1024	441	80	80	0.7033708	0	-0.6101965	0	0.3252842	0	0.1567151	0	0.0504094	0	-0.2729061	0	-0.3956101	0	-0.455814	0	-0.8480267	0	0.1487816	0	0.7033708	0	0.1567151	0	0.4729243	0.5464441	-0.9315247	-0.02240807	-0.8451759	-0.6304796	-1.936334	0.05545587	-0.06688201	0.1312057	-0.6089206	-0.580372	-0.5554764	-0.2231574	-0.3732895	0.4168803	-1.1926	-1.589729	-0.2220195	0.06316102						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930330	133			2	133	1	1024	441	80	80	0.7036503	0	-0.6062362	0	0.3403091	0	0.1684867	0	0.05514337	0	-0.2736281	0	-0.3965852	0	-0.459363	0	-0.8653701	0	0.1477252	0	0.7036503	0	0.1684867	0	0.4627958	0.5453646	-0.9363267	-0.002269804	-0.8400581	-0.6299413	-1.939377	0.05386902	-0.06845311	0.1447236	-0.6103557	-0.5814103	-0.5336366	-0.2330586	-0.3505822	0.4153689	-1.185735	-1.576062	-0.2270877	0.0478823						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930363	166			3	167	1	1024	441	80	80	0.6489825	0	-0.6265537	0	0.3277121	0	0.1914722	0	0.1241321	0	-0.3060258	0	-0.3974406	0	-0.509976	0	-0.8253313	0	0.1551289	0	0.6489825	0	0.1914722	0	0.368253	0.4949552	-0.9439397	0.09092461	-0.8516803	-0.6956232	-1.94957	0.04750966	-0.08561441	0.07958861	-0.6099862	-0.5221223	-0.6465753	-0.0873737	-0.3881626	0.3411416	-0.9887216	-1.34845	-0.1826292	0.1048558						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930397	200			4	200	1	1024	441	80	80	0.7043007	0	-0.5961682	0	0.33223	0	0.1613448	0	0.06273554	0	-0.2722207	0	-0.3801368	0	-0.4503709	0	-0.8320454	0	0.1562863	0	0.7043007	0	0.1613448	0	0.4577075	0.5556071	-0.9275486	0.02073588	-0.8513377	-0.6526778	-1.935255	0.04594801	-0.08414523	0.1280477	-0.6066021	-0.5642315	-0.5898195	-0.1828872	-0.3497528	0.4013231	-1.160676	-1.54141	-0.2031697	0.06092639						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930430	233			5	234	1	1024	441	79	79	0.6471519	0	-0.7092353	0	0.2459109	0	0.2426904	0	0.03473815	0	-0.2396366	0	-0.3694602	0	-0.4098263	0	-0.8277028	0	0.1978994	0	0.6471519	0	0.2426904	0	0.5230469	0.5593097	-0.7571867	-0.08765046	-0.8274683	-0.5820543	-1.714864	0.1179428	-0.131084	0.1110433	-0.5849697	-0.6399746	-0.7716402	0.06312017	-0.4528473	0.3417447	-0.9333766	-1.477201	-0.04004864	0.1062322						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930463	266			6	267	1	1016	435	88	88	0.2830408	0	-0.4256223	0	0.2382468	0	0.3017182	0	-0.09008212	0	-0.1202937	0	0.2213155	0	0.2643984	0	-0.326105	0	0.8103901	0	0.2830408	0	0.3017182	0	-0.2061976	-0.2740736	-0.4802369	-0.3657346	-0.9995556	-1.135426	-1.397074	0.1343172	-0.374378	0.1996381	-0.3543282	-0.5543624	-0.1648179	0.6312354	0.03031375	-0.1010771	-0.672208	-0.7336774	0.3113373	0.698966						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930497	300			7	300	1	1017	437	87	87	0.4266442	0	-0.3211592	0	-0.2190102	0	1.09282	0	-0.4214788	0	-0.3644865	0	-0.7946399	0	0.5915228	0	0.143957	0	0.4136086	0	0.4266442	0	1.09282	0	-0.4327406	-0.3953471	-0.3240818	-0.2953663	-0.4828013	-0.9281543	-1.063395	0.1263016	-0.1868913	0.07250757	-0.8339314	-0.9262014	-0.4809463	0.9239532	-0.1038121	-0.3417867	-0.1750894	-0.6291407	0.448855	0.4262255						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930530	333			8	334	1	1020	437	84	84	0.6958638	0	-0.6924958	0	-0.1858105	0	0.04087726	0	0.1716976	0	-0.06419027	0	0.00649552	0	-0.2442617	0	-0.474291	0	0.5318074	0	0.6958638	0	0.1716976	0	-0.01619133	-0.04394754	-0.8261527	-0.4743568	-0.9035575	-0.8985448	-1.691031	0.141397	-0.1804434	0.3285769	-0.2809542	-0.4498083	-0.5381759	0.3581632	0.08449353	0.3259308	-0.9898132	-0.957864	-0.05386093	0.5501258						
TianlinLiuValidation	20180411	7d0084def_6___utterance_65	0	MALE	a	TestImage	Emotient FACET	20180325_232930564	367			9	367	1	1017	437	87	87	0.4267857	0	-0.3485956	0	-0.3022446	0	1.129947	0	-0.4098745	0	-0.3681419	0	-0.8177792	0	0.5991122	0	0.1576001	0	0.398625	0	0.4267857	0	1.129947	0	-0.4381656	-0.4111799	-0.3423473	-0.3184896	-0.482352	-0.932535	-1.064235	0.1109006	-0.1703901	0.08127414	-0.8445464	-0.9147397	-0.5265037	0.9565268	-0.09488086	-0.3302885	-0.2139384	-0.6740496	0.4685885	0.4250749						
