#Study : TianlinLiu
#Date : 20180411 09:07:54
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:35:38.040 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538106	66			0	67	1	450	184	351	351	-1.137055	0	-0.3342988	0	-1.591113	0	-0.4488722	0	-0.3528228	0	-0.6374047	0	-1.05956	0	0.4610912	0	0.195147	0	-0.1041861	0	-1.137055	0	-0.3342988	0	-0.4575091	-0.5047393	0.08130595	-0.7247521	-0.1792161	-0.04478439	-1.004732	-0.7716445	-0.0887348	-0.2409128	-0.3970985	-0.3527752	0.0985104	-0.5406072	-0.3905041	-0.1455532	-1.771625	-1.674322	-0.7259431	0.7946628						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538140	100			1	100	1	447	186	353	353	-1.171117	0	-0.3247003	0	-1.500574	0	-0.3838517	0	-0.2678249	0	-0.8476722	0	-1.060586	0	0.4833656	0	0.2038053	0	-0.04682681	0	-1.171117	0	-0.2678249	0	-0.473479	-0.4840994	-0.01086565	-0.6662374	-0.2415812	-0.1410578	-1.160507	-0.9855995	-0.1015425	-0.1777228	-0.4415003	-0.290966	0.1959017	-0.7239901	-0.3558746	-0.03831429	-2.008535	-1.745027	-0.7199777	0.707046						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538173	133			2	133	1	445	188	355	355	-1.778468	0	0.01787475	0	-1.785841	0	-0.6993337	0	-0.5330249	0	-0.952405	0	-0.6816036	0	0.7170086	0	0.4471097	0	-0.05865166	0	-1.778468	0	0.01787475	0	-0.5280418	-0.6003122	-0.01462427	-0.7338138	-0.2838098	-0.1650895	-1.225933	-1.125281	-0.3870786	-0.2481617	-0.1834265	0.04556415	0.3958483	-1.091086	-0.1673312	0.2303706	-2.552484	-2.147686	-1.047	0.7156135						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538206	166			3	167	1	445	193	354	354	-1.875681	0	0.08336975	0	-1.686966	0	-0.8485467	0	-0.5561368	0	-0.8336409	0	-0.6482334	0	0.7126758	0	0.4029871	0	-0.1255192	0	-1.875681	0	0.08336975	0	-0.5500246	-0.6443954	-0.06705637	-0.8199552	-0.3191741	-0.1835692	-1.20741	-1.241943	-0.4252926	-0.2695602	-0.2711295	0.03216452	0.5395665	-1.32296	-0.1172465	0.2789684	-2.659877	-2.227559	-1.305464	0.6980838						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538239	199			4	200	1	445	198	356	356	-1.930434	0	0.1888799	0	-1.893283	0	-1.259369	0	-0.5921814	0	-0.6745387	0	-0.668124	0	0.8354716	0	0.5333631	0	-0.1943944	0	-1.930434	0	0.1888799	0	-0.6623653	-0.8512583	-0.07632341	-1.014213	-0.3278543	-0.1406604	-1.08532	-1.199267	-0.4246239	-0.3236655	-0.311564	0.06772171	0.6348478	-1.482735	-0.1441099	0.2803086	-2.723692	-2.324411	-1.469894	0.6984132						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538273	233			5	233	1	443	201	360	360	-1.490973	0	0.06567859	0	-1.02234	0	-1.254508	0	-0.6943976	0	-0.7480867	0	-1.215376	0	0.5968314	0	0.3361587	0	-0.6516539	0	-1.490973	0	0.06567859	0	-0.6423793	-0.8455999	-0.07335878	-1.04228	-0.5002338	-0.1797437	-1.200905	-1.310786	-0.2242818	-0.3220419	-0.5588831	-0.190022	0.5698324	-1.521354	-0.2260367	0.1093854	-2.127459	-1.627941	-1.595111	1.096004						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538306	266			6	267	1	442	206	357	357	-0.8143032	0	-0.1742449	0	-0.9785281	0	-1.051214	0	-0.6526263	0	-0.6013049	0	-1.697254	0	0.1371268	0	0.07394513	0	-0.9573327	0	-0.8143032	0	-0.1742449	0	-0.6768523	-0.7052289	-0.1489494	-0.8448249	-0.447468	-0.1113713	-1.212453	-1.088624	-0.1267301	-0.3999292	-0.6484296	-0.4026131	-0.04326418	-1.16647	-0.3508923	-0.1554534	-1.74923	-1.292113	-1.308812	0.6998331						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538339	299			7	300	1	438	207	363	363	-0.7381546	0	-0.2348337	0	-1.474211	0	-0.4605723	0	-0.6144068	0	-0.6968432	0	-1.820308	0	0.2780714	0	0.2386893	0	-0.7939925	0	-0.7381546	0	-0.2348337	0	-0.751062	-0.8316079	-0.117944	-0.70619	-0.4745352	-0.07295561	-1.079666	-0.9195322	-0.1567617	-0.2985066	-0.9053048	-0.4521348	0.1415168	-0.488215	-0.366644	-0.3628253	-1.511226	-1.421712	-0.9816738	0.6404539						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538373	333			8	333	1	435	210	364	364	-1.282904	0	-0.03045053	0	-1.85159	0	-1.152228	0	-0.5580702	0	-0.3357734	0	-1.290848	0	0.7398132	0	0.4868862	0	-0.2970534	0	-1.282904	0	-0.03045053	0	-0.8547674	-1.007597	-0.1771387	-0.8661133	-0.2693216	0.01203921	-0.8855171	-0.7096494	-0.2931301	-0.3960023	-0.5129523	-0.2243661	0.3153732	-0.8159515	-0.3051878	-0.2130815	-1.901226	-1.82726	-1.449405	0.392197						
TianlinLiu	20180411	254dc802d_2__utterance_11	0	MALE	recording	TestImage	Emotient FACET	20180320_143538406	366			9	367	1	432	212	365	365	-2.126108	0	0.2491057	0	-0.7850615	0	-0.9849192	0	-1.107478	0	-0.2468148	0	-1.124938	0	0.6607803	0	0.1566705	0	-0.2662306	0	-2.126108	0	0.2491057	0	-0.7073135	-0.7256062	-0.1943451	-0.6182037	-0.451646	-0.09567802	-0.9350218	-0.8464679	-0.5446286	-0.6501257	-0.2868024	-0.1068191	0.6348756	-1.449179	-0.2257986	-0.1723375	-1.845561	-1.585429	-2.092245	0.7632504						
