#Study : TianlinLiu
#Date : 20180411 09:06:57
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:43:36.960 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337026	66			0	67	1	417	147	313	313	-3.102987	0	-1.225315	0	-0.4115332	0	0.1402151	0	-1.30301	0	-2.132124	0	-1.478011	0	-0.3970245	0	-0.5191674	0	0.9904432	0	-3.102987	0	0.1402151	0	-0.2472755	0.04059289	-0.6947631	0.7177222	-1.715278	-0.8497247	-3.24992	-1.010986	-1.232504	-0.5405392	-1.325233	-1.019986	-0.482479	0.3286124	-0.2094247	-0.3063365	-1.172023	-1.409371	-2.120055	-0.7925192						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337060	100			1	100	1	418	147	313	313	-2.969806	0	-1.142144	0	-0.5030524	0	0.1966349	0	-1.331461	0	-2.12868	0	-1.446298	0	-0.2707103	0	-0.409844	0	0.9540089	0	-2.969806	0	0.1966349	0	-0.215351	0.05816218	-0.6152988	0.8032671	-1.575196	-0.6774906	-3.21482	-1.011606	-1.192209	-0.5639911	-1.397296	-1.120768	-0.5526088	0.3137653	-0.2590627	-0.342549	-1.1415	-1.441555	-2.12673	-0.8677278						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337093	133			2	133	1	417	146	314	314	-2.950089	0	-1.122817	0	-0.5284581	0	0.2268382	0	-1.298799	0	-2.205559	0	-1.502923	0	-0.3726453	0	-0.3919493	0	0.8954039	0	-2.950089	0	0.2268382	0	-0.2355164	0.04606533	-0.6687048	0.7804582	-1.67671	-0.7885402	-3.261665	-1.063192	-1.161728	-0.4780715	-1.357422	-1.004078	-0.5369215	0.3117113	-0.1472894	-0.2001545	-1.292169	-1.438295	-1.965143	-0.7973348						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337126	166			3	167	1	417	147	313	313	-2.851359	0	-1.180462	0	-0.5989606	0	0.1436274	0	-1.120232	0	-2.084334	0	-1.465087	0	-0.3617666	0	-0.3935812	0	0.9846939	0	-2.851359	0	0.1436274	0	-0.268905	0.006512521	-0.7112042	0.6824538	-1.716251	-0.8783821	-3.228204	-1.007213	-1.174305	-0.4729282	-1.344702	-0.9854575	-0.5018197	0.329712	-0.1535598	-0.2083041	-1.294591	-1.439558	-1.909663	-0.8194104						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337159	199			4	200	1	415	146	316	316	-2.593523	0	-1.328482	0	-0.6369444	0	-0.04851188	0	-0.5915959	0	-2.007245	0	-1.428446	0	-0.4152532	0	-0.476653	0	1.074145	0	-2.593523	0	-0.04851188	0	-0.2823382	0.01075201	-0.8298216	0.5844689	-1.664428	-0.9775628	-3.162276	-0.9257151	-0.9671086	-0.3475262	-1.336232	-0.9114692	-0.5092716	0.2156957	-0.1674782	-0.2098419	-1.394766	-1.450503	-1.884321	-0.7981845						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337193	233			5	233	1	416	146	315	315	-2.727398	0	-0.9699906	0	-0.6346415	0	0.05340287	0	-0.9986581	0	-1.984115	0	-1.257682	0	-0.06100484	0	-0.1800146	0	1.105459	0	-2.727398	0	0.05340287	0	-0.2829298	-0.01100382	-0.6814799	0.6647084	-1.534389	-0.7559194	-3.024244	-0.9826044	-1.057557	-0.4478061	-1.290149	-0.9653171	-0.5021771	0.1928438	-0.1369957	-0.1839034	-1.35617	-1.512686	-1.922909	-0.8203849						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337226	266			6	267	1	416	146	316	316	-2.709865	0	-0.9749499	0	-0.7474257	0	-0.05408848	0	-0.8021923	0	-1.990217	0	-1.156609	0	-0.03677835	0	-0.1546822	0	1.169803	0	-2.709865	0	-0.05408848	0	-0.2837898	-0.01358733	-0.7300158	0.5799062	-1.525085	-0.8069305	-3.0133	-0.9784946	-1.017985	-0.4135939	-1.245922	-0.8699422	-0.4451322	0.1447451	-0.1052004	-0.1268947	-1.470924	-1.575991	-1.898497	-0.8042709						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337259	299			7	300	1	418	147	314	314	-2.45951	0	-0.9967591	0	-0.814027	0	-0.01079173	0	-0.8494084	0	-1.973986	0	-1.277709	0	-0.09173962	0	-0.09081288	0	1.151297	0	-2.45951	0	-0.01079173	0	-0.3026567	-0.04381024	-0.6903695	0.691494	-1.481597	-0.6298323	-3.213741	-1.021208	-1.032626	-0.4504346	-1.377804	-1.10255	-0.5366129	0.1694941	-0.1965301	-0.2418805	-1.338152	-1.513081	-1.886458	-1.031436						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337293	333			8	333	1	416	145	318	318	-2.662337	0	-1.041794	0	-0.7429007	0	-0.04135757	0	-0.6802434	0	-2.083594	0	-1.192311	0	-0.1344199	0	-0.1933805	0	1.119941	0	-2.662337	0	-0.04135757	0	-0.2713098	0.01477899	-0.7556001	0.6092327	-1.56429	-0.8062837	-3.101658	-0.9985383	-0.9785346	-0.3675909	-1.227443	-0.8608174	-0.4483743	0.1255303	-0.1065373	-0.1278239	-1.451032	-1.511069	-1.856416	-0.9004603						
TianlinLiu	20180411	505f9b3a2_1__utterance_4	0	MALE	recording	TestImage	Emotient FACET	20180320_144337326	366			9	367	1	415	145	318	318	-2.62799	0	-1.073349	0	-0.741677	0	0.04814632	0	-0.6432349	0	-2.046052	0	-1.282685	0	-0.2149703	0	-0.2651539	0	1.059676	0	-2.62799	0	0.04814632	0	-0.3030487	-0.008027803	-0.7574542	0.5871766	-1.601873	-0.9115093	-3.076529	-0.956269	-0.9351159	-0.3251961	-1.252386	-0.8371829	-0.4888336	0.1839393	-0.0659772	-0.1174562	-1.481079	-1.496981	-1.773496	-0.7720965						
