#Study : TianlinLiuValidation
#Date : 20180411 09:25:37
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:29:38.088 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938154	66			0	67	1	149	55	153	153	4.921967	0	-5.847648	0	-6.218702	0	-3.627876	0	-1.443066	0	-4.764867	0	-5.997622	0	-8.310188	0	-6.028407	0	-7.794186	0	4.921967	0	-1.443066	0	-1.279545	-1.107388	-2.414633	-2.041489	1.776298	-0.4737397	-4.008661	-0.4372986	2.795073	0.1346163	-1.689408	-0.3872714	-4.375276	-0.6433475	-0.9306839	-0.9054386	-0.4278528	-0.2334999	-2.812222	-2.653087						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938188	100			1	100	1	149	55	154	154	4.901605	0	-5.793812	0	-6.169289	0	-3.642968	0	-1.427158	0	-4.714869	0	-5.896537	0	-8.239798	0	-5.998886	0	-7.745408	0	4.901605	0	-1.427158	0	-1.293757	-1.124835	-2.413079	-2.058808	1.754838	-0.4862641	-3.996227	-0.3961899	2.809888	0.1506011	-1.693102	-0.3650138	-4.363417	-0.6488272	-0.9041234	-0.8668664	-0.4007179	-0.232488	-2.778569	-2.653465						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938221	133			2	133	1	149	56	153	153	4.802062	0	-5.813883	0	-5.936906	0	-3.466888	0	-1.417798	0	-4.696134	0	-5.826274	0	-8.265494	0	-6.080441	0	-7.612862	0	4.802062	0	-1.417798	0	-1.199133	-1.02338	-2.398581	-2.000999	1.730715	-0.5428645	-4.023277	-0.3298503	2.766749	0.1327569	-1.639815	-0.3173608	-4.263088	-0.6453578	-0.9028019	-0.8623385	-0.4105203	-0.2601851	-2.792731	-2.636668						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938254	166			3	167	1	148	56	154	154	4.767923	0	-5.724094	0	-6.027453	0	-3.56585	0	-1.316318	0	-4.619166	0	-5.755675	0	-8.069308	0	-5.954977	0	-7.60232	0	4.767923	0	-1.316318	0	-1.252747	-1.09676	-2.392425	-2.075118	1.76546	-0.5093973	-3.940091	-0.2779941	2.808418	0.1646599	-1.679284	-0.3190871	-4.15175	-0.6738955	-0.9021763	-0.8091094	-0.3996979	-0.2711788	-2.820143	-2.559438						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938287	199			4	200	1	147	55	155	155	4.756721	0	-5.79574	0	-6.158329	0	-3.593086	0	-1.239498	0	-4.653997	0	-5.804452	0	-8.191033	0	-6.034619	0	-7.717085	0	4.756721	0	-1.239498	0	-1.282215	-1.129976	-2.431685	-2.090449	1.739258	-0.5399507	-3.918397	-0.2516596	2.859682	0.1901376	-1.70398	-0.286429	-4.0458	-0.6908066	-0.9515309	-0.7448394	-0.427119	-0.3328753	-2.885559	-2.546169						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938321	233			5	233	1	147	55	155	155	4.831021	0	-5.836199	0	-6.248056	0	-3.650971	0	-1.396109	0	-4.735147	0	-5.930995	0	-8.290843	0	-6.075261	0	-7.894194	0	4.831021	0	-1.396109	0	-1.293751	-1.145294	-2.416546	-2.117323	1.750997	-0.4912616	-3.914812	-0.2778012	2.888778	0.1992627	-1.760267	-0.3444472	-4.273218	-0.6795897	-0.9674689	-0.782855	-0.3507295	-0.2753406	-2.86668	-2.574589						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938354	266			6	267	1	147	55	155	155	4.843448	0	-5.913489	0	-6.305956	0	-3.633951	0	-1.407099	0	-4.794318	0	-6.013477	0	-8.438007	0	-6.179553	0	-8.07429	0	4.843448	0	-1.407099	0	-1.281091	-1.139882	-2.44508	-2.093336	1.756381	-0.4921417	-3.9264	-0.2686174	2.920134	0.189271	-1.755182	-0.3432874	-4.332205	-0.6646918	-1.006664	-0.8015412	-0.3220079	-0.2796001	-2.931158	-2.585034						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938387	299			7	300	1	147	55	155	155	4.856237	0	-5.905649	0	-6.311652	0	-3.636252	0	-1.456935	0	-4.825221	0	-6.047429	0	-8.461761	0	-6.179377	0	-8.158932	0	4.856237	0	-1.456935	0	-1.282858	-1.144516	-2.427604	-2.089416	1.765552	-0.4750319	-3.915249	-0.2908623	2.913735	0.1820707	-1.79204	-0.3585776	-4.420508	-0.65021	-1.000783	-0.834496	-0.2905388	-0.2428348	-2.913595	-2.56739						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938421	333			8	333	1	147	55	155	155	4.831833	0	-5.877444	0	-6.377508	0	-3.613873	0	-1.578866	0	-4.807806	0	-6.026674	0	-8.511568	0	-6.144735	0	-8.274965	0	4.831833	0	-1.578866	0	-1.311443	-1.179535	-2.394154	-2.106668	1.765919	-0.4510766	-3.820101	-0.3225529	2.880968	0.1439368	-1.835795	-0.3444912	-4.644984	-0.5250356	-1.022292	-0.9268751	-0.226029	-0.1585364	-2.784256	-2.598446						
TianlinLiuValidation	20180411	7e4854cd1_1___utterance_1	0	MALE	a	TestImage	Emotient FACET	20180325_232938454	366			9	367	1	148	55	154	154	4.782006	0	-6.119573	0	-6.303278	0	-3.189222	0	-2.589206	0	-4.585024	0	-5.958459	0	-8.80968	0	-6.584595	0	-7.741551	0	4.782006	0	-2.589206	0	-1.259506	-1.006265	-2.300865	-1.928193	1.784023	-0.4921364	-3.814776	-0.284862	2.765365	-0.2644663	-1.634958	-0.4034103	-5.313786	-0.06485467	-1.223222	-1.462846	0.0166951	-0.2058592	-2.927613	-2.923843						
