#Study : TianlinLiu
#Date : 20180411 09:07:49
#Version : 6.3.5761.0
#TestRunDate : 20180320 14:36:22.907 (+01:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143622973	66			0	67	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623007	100			1	100	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623040	133			2	133	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623073	166			3	167	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623106	199			4	200	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623140	233			5	233	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623173	266			6	267	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623206	299			7	300	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623240	333			8	333	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623273	366			9	367	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623306	399			10	400	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623340	433			11	433	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623373	466			12	467	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623407	500			13	500	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623440	533			14	533	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623473	566			15	567	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623506	599			16	600	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623540	633			17	633	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623573	666			18	667	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623606	699			19	700	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623640	733			20	733	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623673	766			21	767	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623706	799			22	800	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623740	833			23	833	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623773	866			24	867	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623807	900			25	900	0																																																						
TianlinLiu	20180411	2c09795bb_1__utterance_18	0	MALE	recording	TestImage	Emotient FACET	20180320_143623840	933			26	933	0																																																						
