#Study : TianlinLiuValidation
#Date : 20180411 09:25:35
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:29:50.670 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950736	66			0	67	1	209	62	84	84	-3.012653	0	-3.614406	0	-3.610096	0	-2.716115	0	-2.018734	0	0.6437142	0	-1.375633	0	-1.3042	0	-2.836954	0	-0.2937354	0	-3.012653	0	0.6437142	0	0.434202	-0.01674046	0.06453598	-2.202256	-1.12778	-0.7656397	-1.040321	0.4756973	-1.697369	-1.662795	-1.472082	-1.757908	-3.101435	-0.914645	-1.340907	-2.330744	0.3014737	-0.9351447	-3.540495	1.276699						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950770	100			1	100	1	208	62	83	83	-3.262343	0	-3.906554	0	-3.876184	0	-2.931036	0	-2.230784	0	1.003313	0	-1.516782	0	-1.743827	0	-3.321318	0	-0.518031	0	-3.262343	0	1.003313	0	0.4843727	-0.05787349	0.1578904	-2.298321	-1.229244	-0.8705854	-0.6758684	0.5667286	-1.901966	-1.789242	-1.494213	-1.690446	-3.329513	-0.9200717	-1.44929	-2.44116	0.2945323	-1.055444	-3.537425	1.348572						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950803	133			2	133	1	209	62	83	83	-3.247286	0	-3.795785	0	-3.611747	0	-2.878482	0	-2.06418	0	0.6882953	0	-1.35588	0	-1.470295	0	-3.018963	0	-0.1382461	0	-3.247286	0	0.6882953	0	0.4835844	-0.04863906	0.0613366	-2.293151	-1.240076	-0.9414195	-0.9361349	0.4075029	-1.836114	-1.677972	-1.567117	-1.719392	-3.101205	-1.034136	-1.505657	-2.357412	0.0966845	-1.083437	-3.483243	1.349946						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950836	166			3	167	1	209	62	82	82	-3.189087	0	-3.797016	0	-3.634268	0	-2.879683	0	-2.081235	0	0.7312676	0	-1.241382	0	-1.527133	0	-3.101242	0	-0.2414891	0	-3.189087	0	0.7312676	0	0.5875734	0.07425856	0.1219215	-2.292832	-1.168881	-0.8757467	-0.9228919	0.4028099	-1.784946	-1.667448	-1.495574	-1.689254	-3.187006	-1.044357	-1.436189	-2.345487	0.118714	-1.092758	-3.521587	1.363464						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950870	200			4	200	1	210	61	82	82	-2.797466	0	-3.575994	0	-3.662679	0	-3.061778	0	-1.449267	0	0.4307894	0	-1.236486	0	-0.8700444	0	-2.253558	0	0.543249	0	-2.797466	0	0.4307894	0	0.2737396	-0.1025189	-0.2606082	-2.293996	-1.217203	-0.9061238	-1.079277	0.1599827	-1.666287	-1.46471	-1.578351	-1.68002	-2.85932	-1.068433	-1.441695	-2.082788	-0.3006486	-1.273473	-3.144725	1.090512						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950903	233			5	234	1	209	61	83	83	-2.750464	0	-3.658863	0	-3.619835	0	-2.984597	0	-1.447709	0	0.5128024	0	-1.255015	0	-0.9664032	0	-2.300811	0	0.3805017	0	-2.750464	0	0.5128024	0	0.2965179	-0.09368289	-0.1889139	-2.224039	-1.208027	-0.9048602	-0.8786215	0.2307649	-1.64192	-1.444333	-1.589047	-1.624507	-2.851151	-0.9865151	-1.50198	-2.063756	-0.1905223	-1.208035	-3.001359	1.133063						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950936	266			6	267	1	209	61	83	83	-2.689493	0	-3.580215	0	-3.524049	0	-2.968472	0	-1.378915	0	0.4473033	0	-1.225135	0	-0.9096137	0	-2.198641	0	0.4039528	0	-2.689493	0	0.4473033	0	0.2798452	-0.09375109	-0.192932	-2.213465	-1.238977	-0.9399515	-0.9079841	0.2221611	-1.605651	-1.397892	-1.605553	-1.581768	-2.783019	-0.9541636	-1.48341	-2.012265	-0.186251	-1.158426	-2.899134	1.19811						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232950970	300			7	300	1	210	62	82	82	-2.802015	0	-2.460859	0	-4.601743	0	-4.288784	0	-0.8262227	0	-1.089004	0	-0.7501432	0	0.3657329	0	-0.4034151	0	1.019059	0	-2.802015	0	-0.7501432	0	0.3636597	-0.2515731	-0.3079306	-2.502461	-1.333546	-0.9733573	-1.824	-0.8830497	-1.351008	-0.6415097	-1.790822	-1.520034	-1.605125	-1.762387	-0.9400344	-1.022832	-1.516946	-1.732629	-2.473512	0.2603953						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232951003	333			8	334	1	210	62	82	82	-2.893017	0	-2.396785	0	-4.6883	0	-4.259627	0	-0.8316951	0	-1.032526	0	-0.683422	0	0.4446099	0	-0.3395048	0	0.921922	0	-2.893017	0	-0.683422	0	0.3836673	-0.291794	-0.21652	-2.517111	-1.337138	-0.9607852	-1.667524	-0.8073131	-1.398175	-0.619716	-1.778472	-1.524393	-1.554965	-1.716648	-0.9542815	-0.9813135	-1.477882	-1.733076	-2.437304	0.2444543						
TianlinLiuValidation	20180411	8c49a05d3_1___utterance_3	0	MALE	a	TestImage	Emotient FACET	20180325_232951037	367			9	367	1	210	62	83	83	-3.181054	0	-2.400441	0	-4.44766	0	-4.207591	0	-0.7748079	0	-1.301095	0	-0.6776818	0	0.4374666	0	-0.3678912	0	0.9773803	0	-3.181054	0	-0.6776818	0	0.3904134	-0.2550015	-0.2417384	-2.428015	-1.405055	-0.9880596	-1.837012	-0.9160404	-1.449667	-0.5808711	-1.828931	-1.518245	-1.385058	-1.808092	-0.8860121	-0.8920917	-1.572522	-1.778813	-2.524106	0.09686495						
