#Study : TianlinLiuValidation
#Date : 20180411 09:26:36
#Version : 6.3.5761.0
#TestRunDate : 20180325 23:20:54.690 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Confusion Evidence	Confusion Intensity	Frustration Evidence	Frustration Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	AU1 Evidence	AU2 Evidence	AU4 Evidence	AU5 Evidence	AU6 Evidence	AU7 Evidence	AU9 Evidence	AU10 Evidence	AU12 Evidence	AU14 Evidence	AU15 Evidence	AU17 Evidence	AU18 Evidence	AU20 Evidence	AU23 Evidence	AU24 Evidence	AU25 Evidence	AU26 Evidence	AU28 Evidence	AU43 Evidence	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054756	66			0	67	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054790	100			1	100	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054823	133			2	133	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054856	166			3	167	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054889	199			4	200	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054923	233			5	233	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054956	266			6	267	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232054989	299			7	300	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055023	333			8	333	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055056	366			9	367	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055089	399			10	400	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055123	433			11	433	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055156	466			12	467	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055190	500			13	500	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055223	533			14	533	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055256	566			15	567	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055289	599			16	600	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055323	633			17	633	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055356	666			18	667	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055389	699			19	700	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055423	733			20	733	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055456	766			21	767	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055489	799			22	800	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055523	833			23	833	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055556	866			24	867	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055590	900			25	900	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055623	933			26	933	0																																																						
TianlinLiuValidation	20180411	0e02ee3c5_3___utterance_24	0	MALE	a	TestImage	Emotient FACET	20180325_232055656	966			27	967	0																																																						
